sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3533EL,T cell,ARMC3,454,0,0.0,-0.05199921305257295
3533EL,Epithelial cell,ARMC3,436,18,0.04128440366972477,0.2959084596329262
3533EL,Macrophage,ARMC3,66,0,0.0,-0.05199921305257294
3533EL,Natural killer (NK) cell,ARMC3,417,0,0.0,-0.05199921305257295
3533EL,Dendritic cell progenitor,ARMC3,585,0,0.0,-0.05199921305257295
3533EL,Microglial cell,ARMC3,517,0,0.0,-0.05199921305257294
3533EL,Mesenchymal cell,ARMC3,437,0,0.0,-0.05199921305257295
3533EL,Endothelial cell,ARMC3,994,0,0.0,-0.05199921305257294
3533EL,Basal epithelial cell,ARMC3,888,0,0.0,-0.05199921305257295
3533EL,Fibroblast,ARMC3,190,0,0.0,-0.05199921305257295
3533EL,Mesoderm cell,ARMC3,151,0,0.0,-0.05199921305257295
3533EL,Meiotic prophase fetal germ cell,ARMC3,45,0,0.0,-0.05199921305257294
3533EL,Plasmacytoid dendritic cell,ARMC3,27,0,0.0,-0.05199921305257297
3533EL,Granulocyte-monocyte progenitor,ARMC3,20,0,0.0,-0.051999213052572955
3533EL,T cell,BRDT,454,1,0.0022026431718061676,-0.002464101027423693
3533EL,Epithelial cell,BRDT,436,0,0.0,-0.0245445957316785
3533EL,Macrophage,BRDT,66,0,0.0,-0.0245445957316785
3533EL,Natural killer (NK) cell,BRDT,417,0,0.0,-0.0245445957316785
3533EL,Dendritic cell progenitor,BRDT,585,1,0.0017094017094017094,-0.0074086220637611
3533EL,Microglial cell,BRDT,517,1,0.0019342359767891683,-0.005154760923686862
3533EL,Mesenchymal cell,BRDT,437,0,0.0,-0.0245445957316785
3533EL,Endothelial cell,BRDT,994,1,0.001006036217303823,-0.014459540806395119
3533EL,Basal epithelial cell,BRDT,888,0,0.0,-0.024544595731678505
3533EL,Fibroblast,BRDT,190,0,0.0,-0.024544595731678494
3533EL,Mesoderm cell,BRDT,151,0,0.0,-0.024544595731678505
3533EL,Meiotic prophase fetal germ cell,BRDT,45,0,0.0,-0.024544595731678505
3533EL,Plasmacytoid dendritic cell,BRDT,27,0,0.0,-0.02454459573167851
3533EL,Granulocyte-monocyte progenitor,BRDT,20,0,0.0,-0.0245445957316785
3533EL,T cell,CRISP2,454,0,0.0,-0.023964583091663487
3533EL,Epithelial cell,CRISP2,436,4,0.009174311926605505,0.06799839473486552
3533EL,Macrophage,CRISP2,66,0,0.0,-0.023964583091663487
3533EL,Natural killer (NK) cell,CRISP2,417,0,0.0,-0.02396458309166349
3533EL,Dendritic cell progenitor,CRISP2,585,0,0.0,-0.023964583091663487
3533EL,Microglial cell,CRISP2,517,0,0.0,-0.023964583091663487
3533EL,Mesenchymal cell,CRISP2,437,0,0.0,-0.023964583091663487
3533EL,Endothelial cell,CRISP2,994,0,0.0,-0.02396458309166349
3533EL,Basal epithelial cell,CRISP2,888,0,0.0,-0.023964583091663487
3533EL,Fibroblast,CRISP2,190,0,0.0,-0.023964583091663483
3533EL,Mesoderm cell,CRISP2,151,0,0.0,-0.02396458309166349
3533EL,Meiotic prophase fetal germ cell,CRISP2,45,0,0.0,-0.023964583091663483
3533EL,Plasmacytoid dendritic cell,CRISP2,27,0,0.0,-0.023964583091663487
3533EL,Granulocyte-monocyte progenitor,CRISP2,20,0,0.0,-0.023964583091663487
3533EL,T cell,CTCFL,454,0,0.0,-0.050644300444266814
3533EL,Epithelial cell,CTCFL,436,1,0.0022935779816513763,-0.031116607555189427
3533EL,Macrophage,CTCFL,66,0,0.0,-0.05064430044426682
3533EL,Natural killer (NK) cell,CTCFL,417,0,0.0,-0.050644300444266814
3533EL,Dendritic cell progenitor,CTCFL,585,0,0.0,-0.050644300444266814
3533EL,Microglial cell,CTCFL,517,3,0.005802707930367505,0.005805533800635144
3533EL,Mesenchymal cell,CTCFL,437,2,0.004576659038901602,-0.004645928359853689
3533EL,Endothelial cell,CTCFL,994,5,0.005030181086519115,-0.0014064015905063257
3533EL,Basal epithelial cell,CTCFL,888,4,0.0045045045045045045,-0.005371127919743089
3533EL,Fibroblast,CTCFL,190,0,0.0,-0.05064430044426682
3533EL,Mesoderm cell,CTCFL,151,0,0.0,-0.050644300444266814
3533EL,Meiotic prophase fetal germ cell,CTCFL,45,0,0.0,-0.05064430044426682
3533EL,Plasmacytoid dendritic cell,CTCFL,27,0,0.0,-0.05064430044426679
3533EL,Granulocyte-monocyte progenitor,CTCFL,20,0,0.0,-0.05064430044426681
3533EL,T cell,GPAT2,454,0,0.0,-0.13193222251975517
3533EL,Epithelial cell,GPAT2,436,2,0.0045871559633027525,-0.12591472281562707
3533EL,Macrophage,GPAT2,66,0,0.0,-0.13193222251975512
3533EL,Natural killer (NK) cell,GPAT2,417,42,0.10071942446043165,0.5924569169910222
3533EL,Dendritic cell progenitor,GPAT2,585,8,0.013675213675213675,-0.024322678948693603
3533EL,Microglial cell,GPAT2,517,14,0.027079303675048357,-0.04345902220572917
3533EL,Mesenchymal cell,GPAT2,437,1,0.002288329519450801,-0.12180143747953669
3533EL,Endothelial cell,GPAT2,994,41,0.04124748490945674,-0.01054648294875017
3533EL,Basal epithelial cell,GPAT2,888,16,0.018018018018018018,-0.014230671672630445
3533EL,Fibroblast,GPAT2,190,1,0.005263157894736842,-0.09730092075468413
3533EL,Mesoderm cell,GPAT2,151,1,0.006622516556291391,-0.12537334428698851
3533EL,Meiotic prophase fetal germ cell,GPAT2,45,3,0.06666666666666667,0.0030238074255163035
3533EL,Plasmacytoid dendritic cell,GPAT2,27,0,0.0,-0.13193222251975514
3533EL,Granulocyte-monocyte progenitor,GPAT2,20,0,0.0,-0.13193222251975512
3533EL,T cell,IL13RA2,454,0,0.0,-0.08059673046807295
3533EL,Epithelial cell,IL13RA2,436,1,0.0022935779816513763,-0.06353756958113183
3533EL,Macrophage,IL13RA2,66,0,0.0,-0.08059673046807292
3533EL,Natural killer (NK) cell,IL13RA2,417,3,0.007194244604316547,-0.03873301259124886
3533EL,Dendritic cell progenitor,IL13RA2,585,2,0.003418803418803419,-0.0574106670818208
3533EL,Microglial cell,IL13RA2,517,4,0.007736943907156673,-0.02577189317625874
3533EL,Mesenchymal cell,IL13RA2,437,20,0.04576659038901602,0.3218992240212011
3533EL,Endothelial cell,IL13RA2,994,14,0.014084507042253521,0.005578539217255217
3533EL,Basal epithelial cell,IL13RA2,888,0,0.0,-0.08059673046807293
3533EL,Fibroblast,IL13RA2,190,1,0.005263157894736842,-0.027540958202451497
3533EL,Mesoderm cell,IL13RA2,151,0,0.0,-0.0805967304680729
3533EL,Meiotic prophase fetal germ cell,IL13RA2,45,0,0.0,-0.08059673046807295
3533EL,Plasmacytoid dendritic cell,IL13RA2,27,0,0.0,-0.08059673046807295
3533EL,Granulocyte-monocyte progenitor,IL13RA2,20,0,0.0,-0.08059673046807295
3533EL,T cell,MAGEA6,454,0,0.0,-0.02732417583208212
3533EL,Epithelial cell,MAGEA6,436,0,0.0,-0.027324175832082125
3533EL,Macrophage,MAGEA6,66,0,0.0,-0.027324175832082125
3533EL,Natural killer (NK) cell,MAGEA6,417,0,0.0,-0.02732417583208213
3533EL,Dendritic cell progenitor,MAGEA6,585,2,0.003418803418803419,0.006957274341702784
3533EL,Microglial cell,MAGEA6,517,0,0.0,-0.027324175832082125
3533EL,Mesenchymal cell,MAGEA6,437,1,0.002288329519450801,-0.004378353919422894
3533EL,Endothelial cell,MAGEA6,994,0,0.0,-0.02732417583208213
3533EL,Basal epithelial cell,MAGEA6,888,1,0.0011261261261261261,-0.016032144102541494
3533EL,Fibroblast,MAGEA6,190,0,0.0,-0.02732417583208212
