sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3571DL,Mesoderm cell,ADAM29,1026,0,0.0,-0.028781456964483147
3571DL,Luminal epithelial cell,ADAM29,446,0,0.0,-0.028781456964483147
3571DL,Natural killer T (NKT) cell,ADAM29,1096,4,0.0036496350364963502,0.007819935214219356
3571DL,Endothelial cell,ADAM29,726,1,0.0013774104683195593,-0.02354978385577671
3571DL,Dendritic cell,ADAM29,82,0,0.0,-0.028781456964483147
3571DL,Fibroblast,ADAM29,1225,1,0.0008163265306122449,-0.02059469659145092
3571DL,Mesenchymal cell,ADAM29,1407,0,0.0,-0.02878145696448315
3571DL,Luminal progenitor cell,ADAM29,417,0,0.0,-0.028781456964483147
3571DL,Microglial cell,ADAM29,350,0,0.0,-0.02878145696448315
3571DL,Basal epithelial cell,ADAM29,195,0,0.0,-0.028781456964483143
3571DL,Granulocyte-monocyte progenitor,ADAM29,89,0,0.0,-0.028781456964483147
3571DL,Epithelial cell,ADAM29,182,1,0.005494505494505495,0.026321737854003026
3571DL,T cell,ADAM29,54,0,0.0,-0.02878145696448314
3571DL,Mesoderm cell,BRDT,1026,0,0.0,-0.029882149968393616
3571DL,Luminal epithelial cell,BRDT,446,0,0.0,-0.029882149968393616
3571DL,Natural killer T (NKT) cell,BRDT,1096,4,0.0036496350364963502,0.006723259338060367
3571DL,Endothelial cell,BRDT,726,0,0.0,-0.029882149968393616
3571DL,Dendritic cell,BRDT,82,0,0.0,-0.029882149968393612
3571DL,Fibroblast,BRDT,1225,1,0.0008163265306122449,-0.02169449107046024
3571DL,Mesenchymal cell,BRDT,1407,0,0.0,-0.029882149968393612
3571DL,Luminal progenitor cell,BRDT,417,2,0.004796163069544364,-0.0010067019686758553
3571DL,Microglial cell,BRDT,350,1,0.002857142857142857,-0.008505471719459354
3571DL,Basal epithelial cell,BRDT,195,0,0.0,-0.029882149968393616
3571DL,Granulocyte-monocyte progenitor,BRDT,89,0,0.0,-0.029882149968393616
3571DL,Epithelial cell,BRDT,182,1,0.005494505494505495,0.025227092613850297
3571DL,T cell,BRDT,54,0,0.0,-0.029882149968393626
3571DL,Mesoderm cell,CTCFL,1026,1,0.0009746588693957114,-0.055770739495558865
3571DL,Luminal epithelial cell,CTCFL,446,14,0.03139013452914798,0.22149928235209304
3571DL,Natural killer T (NKT) cell,CTCFL,1096,0,0.0,-0.06558124753409113
3571DL,Endothelial cell,CTCFL,726,4,0.005509641873278237,-0.02935650771409282
3571DL,Dendritic cell,CTCFL,82,0,0.0,-0.06558124753409111
3571DL,Fibroblast,CTCFL,1225,6,0.004897959183673469,-0.01628044142372005
3571DL,Mesenchymal cell,CTCFL,1407,1,0.0007107320540156361,-0.05842731629916993
3571DL,Luminal progenitor cell,CTCFL,417,7,0.016786570743405275,0.0481046533923762
3571DL,Microglial cell,CTCFL,350,4,0.011428571428571429,0.04587383856720629
3571DL,Basal epithelial cell,CTCFL,195,0,0.0,-0.06558124753409111
3571DL,Granulocyte-monocyte progenitor,CTCFL,89,0,0.0,-0.06558124753409111
3571DL,Epithelial cell,CTCFL,182,2,0.01098901098901099,0.02109074592130973
3571DL,T cell,CTCFL,54,0,0.0,-0.06558124753409109
3571DL,Mesoderm cell,DDX53,1026,0,0.0,-0.01832679535134419
3571DL,Luminal epithelial cell,DDX53,446,2,0.004484304932735426,0.026598436914805332
3571DL,Natural killer T (NKT) cell,DDX53,1096,0,0.0,-0.018326795351344193
3571DL,Endothelial cell,DDX53,726,0,0.0,-0.01832679535134419
3571DL,Dendritic cell,DDX53,82,0,0.0,-0.01832679535134419
3571DL,Fibroblast,DDX53,1225,1,0.0008163265306122449,-0.010148569395955338
3571DL,Mesenchymal cell,DDX53,1407,0,0.0,-0.01832679535134419
