sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
36639L,Natural killer T (NKT) cell,AKAP3,477,0,0.0,-0.033837354912510505
36639L,Fibroblast,AKAP3,1268,0,0.0,-0.033837354912510526
36639L,Epithelial cell,AKAP3,1268,7,0.005520504731861199,0.015565585156524259
36639L,Natural killer (NK) cell,AKAP3,179,0,0.0,-0.03383735491251052
36639L,Mesenchymal cell,AKAP3,1613,0,0.0,-0.03383735491251051
36639L,B cell,AKAP3,734,1,0.0013623978201634877,-0.02016727677230273
36639L,Microglial cell,AKAP3,613,2,0.0032626427406199023,-0.0011005283059444123
36639L,Luminal epithelial cell,AKAP3,322,1,0.003105590062111801,-0.0026763693382480668
36639L,Dendritic cell,AKAP3,283,0,0.0,-0.033837354912510526
36639L,Lymphoid progenitor cell,AKAP3,75,0,0.0,-0.033837354912510526
36639L,T cell,AKAP3,212,0,0.0,-0.03383735491251052
36639L,Plasma cell,AKAP3,56,0,0.0,-0.033837354912510526
36639L,Mast cell,AKAP3,63,1,0.015873015873015872,0.1254299046892754
36639L,Endothelial cell,AKAP3,242,0,0.0,-0.03383735491251051
36639L,Granulocyte-monocyte progenitor,AKAP3,55,0,0.0,-0.03383735491251054
36639L,Natural killer T (NKT) cell,BRDT,477,1,0.0020964360587002098,0.0031166018579119547
36639L,Fibroblast,BRDT,1268,0,0.0,-0.01788525402053781
36639L,Epithelial cell,BRDT,1268,1,0.0007886435331230284,-0.009984713599385969
36639L,Natural killer (NK) cell,BRDT,179,0,0.0,-0.017885254020537814
36639L,Mesenchymal cell,BRDT,1613,0,0.0,-0.017885254020537814
36639L,B cell,BRDT,734,1,0.0013623978201634877,-0.0042369089878122835
36639L,Microglial cell,BRDT,613,0,0.0,-0.01788525402053781
36639L,Luminal epithelial cell,BRDT,322,0,0.0,-0.017885254020537814
36639L,Dendritic cell,BRDT,283,0,0.0,-0.017885254020537814
36639L,Lymphoid progenitor cell,BRDT,75,0,0.0,-0.017885254020537814
36639L,T cell,BRDT,212,0,0.0,-0.017885254020537814
36639L,Plasma cell,BRDT,56,0,0.0,-0.017885254020537814
36639L,Mast cell,BRDT,63,0,0.0,-0.01788525402053782
36639L,Endothelial cell,BRDT,242,0,0.0,-0.017885254020537814
36639L,Granulocyte-monocyte progenitor,BRDT,55,0,0.0,-0.01788525402053782
36639L,Natural killer T (NKT) cell,CAGE1,477,0,0.0,-0.027019276539918976
36639L,Fibroblast,CAGE1,1268,1,0.0007886435331230284,-0.019111532630975824
36639L,Epithelial cell,CAGE1,1268,1,0.0007886435331230284,-0.019111532630975824
36639L,Natural killer (NK) cell,CAGE1,179,0,0.0,-0.027019276539918976
36639L,Mesenchymal cell,CAGE1,1613,0,0.0,-0.027019276539918976
36639L,B cell,CAGE1,734,2,0.0027247956403269754,0.0003023018702715374
36639L,Microglial cell,CAGE1,613,0,0.0,-0.027019276539918972
36639L,Luminal epithelial cell,CAGE1,322,1,0.003105590062111801,0.004120534877906859
36639L,Dendritic cell,CAGE1,283,0,0.0,-0.027019276539918972
36639L,Lymphoid progenitor cell,CAGE1,75,0,0.0,-0.027019276539918972
36639L,T cell,CAGE1,212,1,0.0047169811320754715,0.020277984198476862
36639L,Plasma cell,CAGE1,56,0,0.0,-0.027019276539918972
36639L,Mast cell,CAGE1,63,0,0.0,-0.02701927653991896
