sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
366C5L,Epithelial cell,AKAP4,651,0,0.0,-0.01807977560180347
366C5L,Epithelial-mesenchymal cell,AKAP4,377,0,0.0,-0.01807977560180347
366C5L,Natural killer T (NKT) cell,AKAP4,355,0,0.0,-0.01807977560180347
366C5L,Fibroblast,AKAP4,1615,1,0.0006191950464396285,-0.011876630229913808
366C5L,Mesoderm cell,AKAP4,1182,0,0.0,-0.01807977560180347
366C5L,B cell,AKAP4,517,0,0.0,-0.01807977560180347
366C5L,Dendritic cell,AKAP4,327,0,0.0,-0.01807977560180347
366C5L,Mitotic fetal germ cell,AKAP4,562,0,0.0,-0.018079775601803474
366C5L,Endothelial cell,AKAP4,781,1,0.0012804097311139564,-0.005252528770046997
366C5L,Natural killer (NK) cell,AKAP4,511,0,0.0,-0.01807977560180347
366C5L,Basal epithelial cell,AKAP4,164,0,0.0,-0.01807977560180347
366C5L,T cell,AKAP4,220,0,0.0,-0.018079775601803467
366C5L,CD8+ T cell,AKAP4,88,0,0.0,-0.01807977560180347
366C5L,Mesenchymal cell,AKAP4,146,0,0.0,-0.01807977560180347
366C5L,Granulocyte-monocyte progenitor,AKAP4,100,1,0.01,0.08210102215421458
366C5L,Microglial cell,AKAP4,93,0,0.0,-0.018079775601803467
366C5L,Epithelial cell,ARMC3,651,165,0.2534562211981567,1.408313126058206
366C5L,Epithelial-mesenchymal cell,ARMC3,377,0,0.0,-0.13779646480096466
366C5L,Natural killer T (NKT) cell,ARMC3,355,0,0.0,-0.13779646480096464
366C5L,Fibroblast,ARMC3,1615,3,0.0018575851393188853,-0.12431306088236237
366C5L,Mesoderm cell,ARMC3,1182,3,0.0025380710659898475,-0.12889681540547257
366C5L,B cell,ARMC3,517,0,0.0,-0.1377964648009647
366C5L,Dendritic cell,ARMC3,327,0,0.0,-0.1377964648009647
366C5L,Mitotic fetal germ cell,ARMC3,562,1,0.0017793594306049821,-0.13166841840865923
366C5L,Endothelial cell,ARMC3,781,2,0.002560819462227913,-0.13165844374292646
366C5L,Natural killer (NK) cell,ARMC3,511,1,0.0019569471624266144,-0.13253217998684202
