sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
37EACL,Fibroblast,BRDT,475,0,0.0,-0.020265849515669548
37EACL,Epithelial-mesenchymal cell,BRDT,1436,0,0.0,-0.020265849515669544
37EACL,Natural killer (NK) cell,BRDT,439,0,0.0,-0.020265849515669548
37EACL,T cell,BRDT,540,3,0.005555555555555556,0.03540229409275086
37EACL,Epithelial cell,BRDT,1069,0,0.0,-0.020265849515669544
37EACL,Granulosa cell,BRDT,549,0,0.0,-0.020265849515669548
37EACL,Trophectoderm cell,BRDT,216,0,0.0,-0.020265849515669544
37EACL,Luminal epithelial cell,BRDT,325,0,0.0,-0.020265849515669544
37EACL,Mesenchymal cell,BRDT,499,0,0.0,-0.020265849515669548
37EACL,Luminal progenitor cell,BRDT,401,0,0.0,-0.02026584951566954
37EACL,Natural killer T (NKT) cell,BRDT,185,0,0.0,-0.020265849515669544
37EACL,Plasmacytoid dendritic cell,BRDT,208,0,0.0,-0.020265849515669544
37EACL,CD4+ T cell,BRDT,28,0,0.0,-0.020265849515669548
37EACL,Macrophage,BRDT,600,0,0.0,-0.020265849515669548
37EACL,Monocyte,BRDT,58,0,0.0,-0.02026584951566955
37EACL,Endothelial progenitor cell,BRDT,163,0,0.0,-0.020265849515669548
37EACL,Meiotic prophase fetal germ cell,BRDT,10,0,0.0,-0.020265849515669544
37EACL,Basophil,BRDT,11,0,0.0,-0.020265849515669544
37EACL,Endothelial cell,BRDT,83,0,0.0,-0.020265849515669548
37EACL,Fibroblast,CTAGE1,475,0,0.0,-0.024108985988692263
37EACL,Epithelial-mesenchymal cell,CTAGE1,1436,1,0.0006963788300835655,-0.0171284087003993
37EACL,Natural killer (NK) cell,CTAGE1,439,0,0.0,-0.02410898598869226
37EACL,T cell,CTAGE1,540,0,0.0,-0.02410898598869226
37EACL,Epithelial cell,CTAGE1,1069,1,0.0009354536950420954,-0.01916447301760825
37EACL,Granulosa cell,CTAGE1,549,0,0.0,-0.02410898598869226
37EACL,Trophectoderm cell,CTAGE1,216,0,0.0,-0.024108985988692263
37EACL,Luminal epithelial cell,CTAGE1,325,0,0.0,-0.02410898598869226
37EACL,Mesenchymal cell,CTAGE1,499,1,0.002004008016032064,-0.004020591227191876
37EACL,Luminal progenitor cell,CTAGE1,401,0,0.0,-0.02410898598869226
37EACL,Natural killer T (NKT) cell,CTAGE1,185,1,0.005405405405405406,0.03007538690854394
37EACL,Plasmacytoid dendritic cell,CTAGE1,208,1,0.004807692307692308,0.024083845674714922
37EACL,CD4+ T cell,CTAGE1,28,0,0.0,-0.02410898598869226
37EACL,Macrophage,CTAGE1,600,1,0.0016666666666666668,-0.007402137678711101
37EACL,Monocyte,CTAGE1,58,0,0.0,-0.02410898598869226
37EACL,Endothelial progenitor cell,CTAGE1,163,0,0.0,-0.02410898598869226
37EACL,Meiotic prophase fetal germ cell,CTAGE1,10,0,0.0,-0.02410898598869226
37EACL,Basophil,CTAGE1,11,0,0.0,-0.024108985988692256
37EACL,Endothelial cell,CTAGE1,83,0,0.0,-0.02410898598869226
37EACL,Fibroblast,CTCFL,475,3,0.00631578947368421,-0.0667377407480323
37EACL,Epithelial-mesenchymal cell,CTCFL,1436,8,0.005571030640668524,-0.07830157793578436
37EACL,Natural killer (NK) cell,CTCFL,439,1,0.002277904328018223,-0.10703765831737547
37EACL,T cell,CTCFL,540,0,0.0,-0.12871006074968638
37EACL,Epithelial cell,CTCFL,1069,99,0.09260991580916744,0.28219326954717017
37EACL,Granulosa cell,CTCFL,549,1,0.0018214936247723133,-0.11056685341428282
37EACL,Trophectoderm cell,CTCFL,216,14,0.06481481481481481,0.09528026391077721
37EACL,Luminal epithelial cell,CTCFL,325,2,0.006153846153846154,-0.10092129368566773
37EACL,Mesenchymal cell,CTCFL,499,4,0.008016032064128256,-0.0728123167462202
37EACL,Luminal progenitor cell,CTCFL,401,46,0.11471321695760599,0.388206338596734
37EACL,Natural killer T (NKT) cell,CTCFL,185,0,0.0,-0.1287100607496864
37EACL,Plasmacytoid dendritic cell,CTCFL,208,0,0.0,-0.12871006074968644
37EACL,CD4+ T cell,CTCFL,28,0,0.0,-0.1287100607496864
37EACL,Macrophage,CTCFL,600,0,0.0,-0.12871006074968638
37EACL,Monocyte,CTCFL,58,0,0.0,-0.12871006074968638
37EACL,Endothelial progenitor cell,CTCFL,163,0,0.0,-0.1287100607496864
37EACL,Meiotic prophase fetal germ cell,CTCFL,10,0,0.0,-0.1287100607496864
37EACL,Basophil,CTCFL,11,0,0.0,-0.1287100607496864
37EACL,Endothelial cell,CTCFL,83,1,0.012048192771084338,-0.01205665326006716
37EACL,Fibroblast,DDX43,475,1,0.002105263157894737,0.0011627564147278478
37EACL,Epithelial-mesenchymal cell,DDX43,1436,1,0.0006963788300835655,-0.012954168516053638
37EACL,Natural killer (NK) cell,DDX43,439,0,0.0,-0.01993183692616935
37EACL,T cell,DDX43,540,1,0.001851851851851852,-0.0013764075985282932
37EACL,Epithelial cell,DDX43,1069,0,0.0,-0.019931836926169354
37EACL,Granulosa cell,DDX43,549,1,0.0018214936247723133,-0.0016805949645551943
37EACL,Trophectoderm cell,DDX43,216,0,0.0,-0.01993183692616935
37EACL,Luminal epithelial cell,DDX43,325,0,0.0,-0.019931836926169354
37EACL,Mesenchymal cell,DDX43,499,0,0.0,-0.019931836926169354
37EACL,Luminal progenitor cell,DDX43,401,0,0.0,-0.019931836926169354
37EACL,Natural killer T (NKT) cell,DDX43,185,0,0.0,-0.019931836926169354
37EACL,Plasmacytoid dendritic cell,DDX43,208,0,0.0,-0.01993183692616935
37EACL,CD4+ T cell,DDX43,28,0,0.0,-0.01993183692616936
37EACL,Macrophage,DDX43,600,0,0.0,-0.019931836926169358
37EACL,Monocyte,DDX43,58,0,0.0,-0.01993183692616936
37EACL,Endothelial progenitor cell,DDX43,163,0,0.0,-0.019931836926169354
37EACL,Meiotic prophase fetal germ cell,DDX43,10,0,0.0,-0.019931836926169354
37EACL,Basophil,DDX43,11,0,0.0,-0.019931836926169354
37EACL,Endothelial cell,DDX43,83,0,0.0,-0.019931836926169358
37EACL,Fibroblast,GPAT2,475,3,0.00631578947368421,-0.00600887082382808
37EACL,Epithelial-mesenchymal cell,GPAT2,1436,3,0.0020891364902506965,-0.042597814358400696
37EACL,Natural killer (NK) cell,GPAT2,439,0,0.0,-0.058420235607186344
37EACL,T cell,GPAT2,540,0,0.0,-0.05842023560718634
37EACL,Epithelial cell,GPAT2,1069,1,0.0009354536950420954,-0.04978081561991328
37EACL,Granulosa cell,GPAT2,549,0,0.0,-0.05842023560718634
37EACL,Trophectoderm cell,GPAT2,216,0,0.0,-0.058420235607186344
37EACL,Luminal epithelial cell,GPAT2,325,0,0.0,-0.058420235607186344
37EACL,Mesenchymal cell,GPAT2,499,21,0.04208416833667335,0.3506288390773571
37EACL,Luminal progenitor cell,GPAT2,401,0,0.0,-0.05842023560718634
37EACL,Natural killer T (NKT) cell,GPAT2,185,0,0.0,-0.05842023560718634
37EACL,Plasmacytoid dendritic cell,GPAT2,208,0,0.0,-0.058420235607186344
37EACL,CD4+ T cell,GPAT2,28,0,0.0,-0.058420235607186344
37EACL,Macrophage,GPAT2,600,0,0.0,-0.058420235607186344
37EACL,Monocyte,GPAT2,58,0,0.0,-0.05842023560718634
37EACL,Endothelial progenitor cell,GPAT2,163,1,0.006134969325153374,-0.0038875451577581044
37EACL,Meiotic prophase fetal germ cell,GPAT2,10,0,0.0,-0.058420235607186344
37EACL,Basophil,GPAT2,11,0,0.0,-0.058420235607186344
37EACL,Endothelial cell,GPAT2,83,2,0.024096385542168676,0.11874930033859094
