sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3BAE2L,Mesenchymal cell,CRISP2,494,0,0.0,-0.06521466276543837
3BAE2L,Luminal progenitor cell,CRISP2,1827,9,0.0049261083743842365,-0.050526355878385956
3BAE2L,Epithelial-mesenchymal cell,CRISP2,984,2,0.0020325203252032522,-0.044756909385833835
3BAE2L,Microglial cell,CRISP2,691,0,0.0,-0.06521466276543839
3BAE2L,Squamous cell,CRISP2,181,0,0.0,-0.06521466276543837
3BAE2L,Macrophage,CRISP2,276,1,0.0036231884057971015,-0.02874649369744765
3BAE2L,T cell,CRISP2,808,0,0.0,-0.06521466276543839
3BAE2L,Trophectoderm cell,CRISP2,926,1,0.0010799136069114472,-0.06252537456140518
3BAE2L,Endothelial cell,CRISP2,325,0,0.0,-0.06521466276543837
3BAE2L,Dendritic cell,CRISP2,41,0,0.0,-0.06521466276543836
3BAE2L,Natural killer (NK) cell,CRISP2,355,0,0.0,-0.06521466276543839
3BAE2L,Epithelial cell,CRISP2,193,35,0.18134715025906736,1.3625273146546357
3BAE2L,Plasmacytoid dendritic cell,CRISP2,174,0,0.0,-0.06521466276543837
3BAE2L,Fibroblast,CRISP2,59,0,0.0,-0.06521466276543836
3BAE2L,Mesenchymal cell,CTCFL,494,0,0.0,-0.10116630784569923
3BAE2L,Luminal progenitor cell,CTCFL,1827,89,0.04871373836891078,0.1933504415952942
3BAE2L,Epithelial-mesenchymal cell,CTCFL,984,2,0.0020325203252032522,-0.08063548201674454
3BAE2L,Microglial cell,CTCFL,691,0,0.0,-0.10116630784569922
3BAE2L,Squamous cell,CTCFL,181,0,0.0,-0.1011663078456992
3BAE2L,Macrophage,CTCFL,276,0,0.0,-0.10116630784569923
3BAE2L,T cell,CTCFL,808,0,0.0,-0.10116630784569923
3BAE2L,Trophectoderm cell,CTCFL,926,10,0.01079913606911447,-0.029174012689632364
3BAE2L,Endothelial cell,CTCFL,325,0,0.0,-0.1011663078456992
3BAE2L,Dendritic cell,CTCFL,41,0,0.0,-0.10116630784569922
3BAE2L,Natural killer (NK) cell,CTCFL,355,0,0.0,-0.10116630784569923
3BAE2L,Epithelial cell,CTCFL,193,4,0.02072538860103627,-0.005241078539121895
3BAE2L,Plasmacytoid dendritic cell,CTCFL,174,0,0.0,-0.10116630784569919
3BAE2L,Fibroblast,CTCFL,59,1,0.01694915254237288,0.07003990076185503
