sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3E5CFL,T cell,CTCFL,212,0,0.0,-0.2419902256101511
3E5CFL,Epithelial cell,CTCFL,1325,172,0.129811320754717,0.22659000055788872
3E5CFL,Monocyte,CTCFL,271,0,0.0,-0.2419902256101511
3E5CFL,Luminal progenitor cell,CTCFL,521,77,0.14779270633397312,0.17605437103872223
3E5CFL,Mitotic fetal germ cell,CTCFL,661,178,0.2692889561270802,0.3497086145968119
3E5CFL,Fibroblast,CTCFL,739,0,0.0,-0.2419902256101511
3E5CFL,Microglial cell,CTCFL,648,0,0.0,-0.24199022561015113
3E5CFL,Granulosa cell,CTCFL,59,11,0.1864406779661017,0.31278087045220765
3E5CFL,Luminal epithelial cell,CTCFL,513,84,0.16374269005847952,0.20967956028227808
3E5CFL,Mesenchymal cell,CTCFL,1236,2,0.0016181229773462784,-0.23119605690562026
3E5CFL,Endothelial cell,CTCFL,41,0,0.0,-0.2419902256101511
3E5CFL,CD4+ T cell,CTCFL,26,0,0.0,-0.24199022561015113
3E5CFL,Migration phase fetal germ cell,CTCFL,23,1,0.043478260869565216,-0.17327575238093862
3E5CFL,Meiotic prophase fetal germ cell,CTCFL,31,0,0.0,-0.24199022561015118
3E5CFL,Lymphoid progenitor cell,CTCFL,14,0,0.0,-0.24199022561015107
3E5CFL,T cell,IL13RA2,212,0,0.0,-0.14086761713539703
3E5CFL,Epithelial cell,IL13RA2,1325,13,0.009811320754716982,-0.12178343504831997
3E5CFL,Monocyte,IL13RA2,271,0,0.0,-0.14086761713539703
3E5CFL,Luminal progenitor cell,IL13RA2,521,6,0.011516314779270634,-0.12805098573515103
3E5CFL,Mitotic fetal germ cell,IL13RA2,661,11,0.01664145234493192,-0.12347531632389334
3E5CFL,Fibroblast,IL13RA2,739,33,0.044654939106901215,0.14982799894939702
3E5CFL,Microglial cell,IL13RA2,648,0,0.0,-0.14086761713539703
3E5CFL,Granulosa cell,IL13RA2,59,4,0.06779661016949153,0.15225120758997443
3E5CFL,Luminal epithelial cell,IL13RA2,513,7,0.01364522417153996,-0.12535749698129378
3E5CFL,Mesenchymal cell,IL13RA2,1236,99,0.08009708737864078,0.3220087863793974
3E5CFL,Endothelial cell,IL13RA2,41,2,0.04878048780487805,0.07619921390467185
3E5CFL,CD4+ T cell,IL13RA2,26,0,0.0,-0.14086761713539703
3E5CFL,Migration phase fetal germ cell,IL13RA2,23,0,0.0,-0.14086761713539703
3E5CFL,Meiotic prophase fetal germ cell,IL13RA2,31,0,0.0,-0.14086761713539703
3E5CFL,Lymphoid progenitor cell,IL13RA2,14,0,0.0,-0.14086761713539703
3E5CFL,T cell,LY6K,212,0,0.0,-0.11556619661858421
3E5CFL,Epithelial cell,LY6K,1325,3,0.0022641509433962265,-0.11020639306424025
3E5CFL,Monocyte,LY6K,271,2,0.007380073800738007,-0.04213668399065907
3E5CFL,Luminal progenitor cell,LY6K,521,5,0.009596928982725527,-0.08842182054424857
3E5CFL,Mitotic fetal germ cell,LY6K,661,6,0.009077155824508321,-0.09276658772522133
3E5CFL,Fibroblast,LY6K,739,58,0.07848443843031123,0.47924293263131557
3E5CFL,Microglial cell,LY6K,648,6,0.009259259259259259,-0.039567520140360635
3E5CFL,Granulosa cell,LY6K,59,3,0.05084745762711865,0.026100172064134338
3E5CFL,Luminal epithelial cell,LY6K,513,1,0.001949317738791423,-0.11237385468070349
3E5CFL,Mesenchymal cell,LY6K,1236,12,0.009708737864077669,-0.04104706567319267
3E5CFL,Endothelial cell,LY6K,41,5,0.12195121951219512,0.7166785761227081
3E5CFL,CD4+ T cell,LY6K,26,0,0.0,-0.11556619661858424
3E5CFL,Migration phase fetal germ cell,LY6K,23,0,0.0,-0.11556619661858426
3E5CFL,Meiotic prophase fetal germ cell,LY6K,31,0,0.0,-0.11556619661858426
3E5CFL,Lymphoid progenitor cell,LY6K,14,1,0.07142857142857142,0.29634229670207296
3E5CFL,T cell,TDRD6,212,0,0.0,-0.04933900956548686
3E5CFL,Epithelial cell,TDRD6,1325,2,0.0015094339622641509,-0.038901951507319496
3E5CFL,Monocyte,TDRD6,271,1,0.0036900369003690036,-0.012256577795872511
3E5CFL,Luminal progenitor cell,TDRD6,521,0,0.0,-0.04933900956548687
3E5CFL,Mitotic fetal germ cell,TDRD6,661,0,0.0,-0.04933900956548686
3E5CFL,Fibroblast,TDRD6,739,1,0.0013531799729364006,-0.03574044527649431
3E5CFL,Microglial cell,TDRD6,648,2,0.0030864197530864196,-0.018322531140902005
3E5CFL,Granulosa cell,TDRD6,59,2,0.03389830508474576,0.1931697420862753
3E5CFL,Luminal epithelial cell,TDRD6,513,0,0.0,-0.04933900956548687
3E5CFL,Mesenchymal cell,TDRD6,1236,11,0.00889967637540453,0.0400968554063743
3E5CFL,Endothelial cell,TDRD6,41,0,0.0,-0.049339009565486855
3E5CFL,CD4+ T cell,TDRD6,26,0,0.0,-0.049339009565486855
3E5CFL,Migration phase fetal germ cell,TDRD6,23,0,0.0,-0.04933900956548686
3E5CFL,Meiotic prophase fetal germ cell,TDRD6,31,0,0.0,-0.049339009565486855
3E5CFL,Lymphoid progenitor cell,TDRD6,14,0,0.0,-0.04933900956548686
