sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3571DL,Mesoderm cell,ADAM29,1026,0,0.0,
3571DL,Luminal epithelial cell,ADAM29,446,0,0.0,
3571DL,Natural killer T (NKT) cell,ADAM29,1096,4,0.0036496350364963502,10.0
3571DL,Endothelial cell,ADAM29,726,1,0.0013774104683195593,3.7694132199563866
3571DL,Dendritic cell,ADAM29,82,0,0.0,
3571DL,Fibroblast,ADAM29,1225,1,0.0008163265306122449,10.0
3571DL,Mesenchymal cell,ADAM29,1407,0,0.0,
3571DL,Luminal progenitor cell,ADAM29,417,0,0.0,
3571DL,Microglial cell,ADAM29,350,0,0.0,
3571DL,Basal epithelial cell,ADAM29,195,0,0.0,
3571DL,Granulocyte-monocyte progenitor,ADAM29,89,0,0.0,
3571DL,Epithelial cell,ADAM29,182,1,0.005494505494505495,10.0
3571DL,T cell,ADAM29,54,0,0.0,
3571DL,Mesoderm cell,BRDT,1026,0,0.0,
3571DL,Luminal epithelial cell,BRDT,446,0,0.0,
3571DL,Natural killer T (NKT) cell,BRDT,1096,4,0.0036496350364963502,10.0
3571DL,Endothelial cell,BRDT,726,0,0.0,
3571DL,Dendritic cell,BRDT,82,0,0.0,
3571DL,Fibroblast,BRDT,1225,1,0.0008163265306122449,10.0
3571DL,Mesenchymal cell,BRDT,1407,0,0.0,
3571DL,Luminal progenitor cell,BRDT,417,2,0.004796163069544364,5.990648757972759
3571DL,Microglial cell,BRDT,350,1,0.002857142857142857,7.451955237158603
3571DL,Basal epithelial cell,BRDT,195,0,0.0,
3571DL,Granulocyte-monocyte progenitor,BRDT,89,0,0.0,
3571DL,Epithelial cell,BRDT,182,1,0.005494505494505495,10.0
3571DL,T cell,BRDT,54,0,0.0,
3571DL,Mesoderm cell,CTCFL,1026,1,0.0009746588693957114,10.0
3571DL,Luminal epithelial cell,CTCFL,446,14,0.03139013452914798,9.079984204554346
3571DL,Natural killer T (NKT) cell,CTCFL,1096,0,0.0,
3571DL,Endothelial cell,CTCFL,726,4,0.005509641873278237,6.509209029795598
3571DL,Dendritic cell,CTCFL,82,0,0.0,
3571DL,Fibroblast,CTCFL,1225,6,0.004897959183673469,10.0
3571DL,Mesenchymal cell,CTCFL,1407,1,0.0007107320540156361,10.0
3571DL,Luminal progenitor cell,CTCFL,417,7,0.016786570743405275,6.70685027908546
3571DL,Microglial cell,CTCFL,350,4,0.011428571428571429,9.68673878632943
3571DL,Basal epithelial cell,CTCFL,195,0,0.0,
3571DL,Granulocyte-monocyte progenitor,CTCFL,89,0,0.0,
3571DL,Epithelial cell,CTCFL,182,2,0.01098901098901099,7.821570156907384
3571DL,T cell,CTCFL,54,0,0.0,
3571DL,Mesoderm cell,DDX53,1026,0,0.0,
3571DL,Luminal epithelial cell,DDX53,446,2,0.004484304932735426,10.0
3571DL,Natural killer T (NKT) cell,DDX53,1096,0,0.0,
3571DL,Endothelial cell,DDX53,726,0,0.0,
3571DL,Dendritic cell,DDX53,82,0,0.0,
3571DL,Fibroblast,DDX53,1225,1,0.0008163265306122449,10.0
3571DL,Mesenchymal cell,DDX53,1407,0,0.0,
3571DL,Luminal progenitor cell,DDX53,417,0,0.0,
3571DL,Microglial cell,DDX53,350,0,0.0,
3571DL,Basal epithelial cell,DDX53,195,0,0.0,
3571DL,Granulocyte-monocyte progenitor,DDX53,89,0,0.0,
3571DL,Epithelial cell,DDX53,182,0,0.0,
3571DL,T cell,DDX53,54,0,0.0,
3571DL,Mesoderm cell,FMR1NB,1026,0,0.0,
3571DL,Luminal epithelial cell,FMR1NB,446,0,0.0,
3571DL,Natural killer T (NKT) cell,FMR1NB,1096,1,0.0009124087591240876,10.0
3571DL,Endothelial cell,FMR1NB,726,1,0.0013774104683195593,4.897992476349503
3571DL,Dendritic cell,FMR1NB,82,0,0.0,
3571DL,Fibroblast,FMR1NB,1225,0,0.0,
3571DL,Mesenchymal cell,FMR1NB,1407,1,0.0007107320540156361,10.0
3571DL,Luminal progenitor cell,FMR1NB,417,1,0.002398081534772182,10.0
3571DL,Microglial cell,FMR1NB,350,0,0.0,
3571DL,Basal epithelial cell,FMR1NB,195,0,0.0,
3571DL,Granulocyte-monocyte progenitor,FMR1NB,89,0,0.0,
3571DL,Epithelial cell,FMR1NB,182,1,0.005494505494505495,10.0
3571DL,T cell,FMR1NB,54,0,0.0,
3571DL,Mesoderm cell,GPAT2,1026,0,0.0,
3571DL,Luminal epithelial cell,GPAT2,446,3,0.006726457399103139,4.564092003411562
3571DL,Natural killer T (NKT) cell,GPAT2,1096,4,0.0036496350364963502,10.0
3571DL,Endothelial cell,GPAT2,726,3,0.004132231404958678,6.274420361428774
3571DL,Dendritic cell,GPAT2,82,0,0.0,
3571DL,Fibroblast,GPAT2,1225,24,0.019591836734693877,9.683621556129678
3571DL,Mesenchymal cell,GPAT2,1407,0,0.0,
3571DL,Luminal progenitor cell,GPAT2,417,1,0.002398081534772182,2.9306649529268265
3571DL,Microglial cell,GPAT2,350,0,0.0,
3571DL,Basal epithelial cell,GPAT2,195,8,0.041025641025641026,10.0
