sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
36186L,Erythrocyte,ARMC3,673,28,0.041604754829123326,0.9820966853450457
36186L,Oogenesis phase fetal germ cell,ARMC3,306,278,0.9084967320261438,1.8678581494646729
36186L,Trophectoderm cell,ARMC3,684,14,0.02046783625730994,0.5036832546365531
36186L,Embryonic stem cell,ARMC3,444,16,0.036036036036036036,0.6763172529534187
36186L,Luminal epithelial cell,ARMC3,627,29,0.046251993620414676,0.5896369955174963
36186L,Fibroblast,ARMC3,375,2,0.005333333333333333,0.75687899659277
36186L,Meiotic prophase fetal germ cell,ARMC3,537,485,0.9031657355679702,2.296989974110984
36186L,Mesenchymal cell,ARMC3,169,0,0.0,
36186L,Luminal progenitor cell,ARMC3,488,201,0.41188524590163933,1.3720446004315487
36186L,B cell,ARMC3,26,0,0.0,
36186L,Dendritic cell,ARMC3,359,1,0.002785515320334262,1.1004136819445194
36186L,T cell,ARMC3,307,1,0.003257328990228013,3.0604703916035354
36186L,Endothelial cell,ARMC3,296,10,0.033783783783783786,0.4494802861517032
36186L,Epithelial-mesenchymal cell,ARMC3,241,1,0.004149377593360996,1.081029568326845
36186L,Erythrocyte,CTCFL,673,12,0.017830609212481426,8.087107809644142
36186L,Oogenesis phase fetal germ cell,CTCFL,306,1,0.0032679738562091504,3.292532192510482
36186L,Trophectoderm cell,CTCFL,684,17,0.024853801169590642,6.685435621642662
36186L,Embryonic stem cell,CTCFL,444,0,0.0,
36186L,Luminal epithelial cell,CTCFL,627,3,0.004784688995215311,9.08315892016958
36186L,Fibroblast,CTCFL,375,1,0.0026666666666666666,7.917461141072623
36186L,Meiotic prophase fetal germ cell,CTCFL,537,1,0.00186219739292365,6.741206265976817
36186L,Mesenchymal cell,CTCFL,169,0,0.0,
36186L,Luminal progenitor cell,CTCFL,488,7,0.014344262295081968,6.312674963422086
36186L,B cell,CTCFL,26,0,0.0,
36186L,Dendritic cell,CTCFL,359,0,0.0,
36186L,T cell,CTCFL,307,0,0.0,
36186L,Endothelial cell,CTCFL,296,2,0.006756756756756757,8.141700590871002
36186L,Epithelial-mesenchymal cell,CTCFL,241,0,0.0,
36186L,Erythrocyte,DDX43,673,2,0.0029717682020802376,10.0
36186L,Oogenesis phase fetal germ cell,DDX43,306,0,0.0,
36186L,Trophectoderm cell,DDX43,684,0,0.0,
36186L,Embryonic stem cell,DDX43,444,1,0.0022522522522522522,10.0
36186L,Luminal epithelial cell,DDX43,627,1,0.001594896331738437,9.049126058142935
36186L,Fibroblast,DDX43,375,2,0.005333333333333333,10.0
36186L,Meiotic prophase fetal germ cell,DDX43,537,1,0.00186219739292365,7.230536678401553
36186L,Mesenchymal cell,DDX43,169,1,0.005917159763313609,10.0
36186L,Luminal progenitor cell,DDX43,488,1,0.0020491803278688526,3.8246912745252013
36186L,B cell,DDX43,26,0,0.0,
36186L,Dendritic cell,DDX43,359,0,0.0,
36186L,T cell,DDX43,307,1,0.003257328990228013,10.0
36186L,Endothelial cell,DDX43,296,0,0.0,
36186L,Epithelial-mesenchymal cell,DDX43,241,3,0.012448132780082987,10.0
36186L,Erythrocyte,IL13RA2,673,0,0.0,
36186L,Oogenesis phase fetal germ cell,IL13RA2,306,13,0.042483660130718956,5.074251856002558
36186L,Trophectoderm cell,IL13RA2,684,5,0.007309941520467836,3.2529471591736807
36186L,Embryonic stem cell,IL13RA2,444,0,0.0,
36186L,Luminal epithelial cell,IL13RA2,627,0,0.0,
36186L,Fibroblast,IL13RA2,375,6,0.016,8.018600873515783
36186L,Meiotic prophase fetal germ cell,IL13RA2,537,16,0.0297951582867784,8.490058429502595
36186L,Mesenchymal cell,IL13RA2,169,1,0.005917159763313609,6.094044853470119
36186L,Luminal progenitor cell,IL13RA2,488,12,0.02459016393442623,3.9394006878748296
36186L,B cell,IL13RA2,26,0,0.0,
36186L,Dendritic cell,IL13RA2,359,0,0.0,
36186L,T cell,IL13RA2,307,0,0.0,
36186L,Endothelial cell,IL13RA2,296,14,0.0472972972972973,6.234461036843668
36186L,Epithelial-mesenchymal cell,IL13RA2,241,22,0.0912863070539419,5.933098551646506
36186L,Erythrocyte,SPA17,673,102,0.1515601783060921,0.46149159058259315
36186L,Oogenesis phase fetal germ cell,SPA17,306,298,0.9738562091503268,1.8159449468654918
36186L,Trophectoderm cell,SPA17,684,42,0.06140350877192982,0.24641626835158284
36186L,Embryonic stem cell,SPA17,444,79,0.17792792792792791,0.5005731038799378
36186L,Luminal epithelial cell,SPA17,627,135,0.215311004784689,0.4993863485596563
36186L,Fibroblast,SPA17,375,23,0.06133333333333333,0.7155570121908509
36186L,Meiotic prophase fetal germ cell,SPA17,537,491,0.9143389199255121,2.1146907518317937
36186L,Mesenchymal cell,SPA17,169,20,0.11834319526627218,0.2903417373234067
36186L,Luminal progenitor cell,SPA17,488,238,0.48770491803278687,1.3662114832183805
36186L,B cell,SPA17,26,0,0.0,
36186L,Dendritic cell,SPA17,359,16,0.04456824512534819,0.7112884492118926
36186L,T cell,SPA17,307,5,0.016286644951140065,1.7014703658003048
36186L,Endothelial cell,SPA17,296,57,0.19256756756756757,0.37360913693306314
36186L,Epithelial-mesenchymal cell,SPA17,241,18,0.07468879668049792,0.4503183257652178
36186L,Erythrocyte,SPAG1,673,50,0.07429420505200594,0.7706132070732612
36186L,Oogenesis phase fetal germ cell,SPAG1,306,274,0.8954248366013072,1.8732617221677792
36186L,Trophectoderm cell,SPAG1,684,144,0.21052631578947367,0.5999845525488667
36186L,Embryonic stem cell,SPAG1,444,18,0.04054054054054054,0.7810056831805153
36186L,Luminal epithelial cell,SPAG1,627,19,0.030303030303030304,0.869271869202586
36186L,Fibroblast,SPAG1,375,15,0.04,0.8774219779565233
36186L,Meiotic prophase fetal germ cell,SPAG1,537,471,0.8770949720670391,2.0425320340693585
36186L,Mesenchymal cell,SPAG1,169,9,0.05325443786982249,0.7359934929827132
36186L,Luminal progenitor cell,SPAG1,488,253,0.5184426229508197,1.4487727434795508
36186L,B cell,SPAG1,26,1,0.038461538461538464,2.196480026788687
36186L,Dendritic cell,SPAG1,359,9,0.025069637883008356,1.0106666991894384
36186L,T cell,SPAG1,307,9,0.029315960912052116,2.7851281170480235
36186L,Endothelial cell,SPAG1,296,32,0.10810810810810811,0.44664523563687486
36186L,Epithelial-mesenchymal cell,SPAG1,241,3,0.012448132780082987,0.541800371635593
36186L,Erythrocyte,SPANXN5,673,2,0.0029717682020802376,10.0
36186L,Oogenesis phase fetal germ cell,SPANXN5,306,0,0.0,
36186L,Trophectoderm cell,SPANXN5,684,5,0.007309941520467836,7.934268908617528
36186L,Embryonic stem cell,SPANXN5,444,0,0.0,
36186L,Luminal epithelial cell,SPANXN5,627,0,0.0,
36186L,Fibroblast,SPANXN5,375,0,0.0,
36186L,Meiotic prophase fetal germ cell,SPANXN5,537,0,0.0,
36186L,Mesenchymal cell,SPANXN5,169,0,0.0,
36186L,Luminal progenitor cell,SPANXN5,488,1,0.0020491803278688526,10.0
36186L,B cell,SPANXN5,26,0,0.0,
36186L,Dendritic cell,SPANXN5,359,0,0.0,
36186L,T cell,SPANXN5,307,0,0.0,
36186L,Endothelial cell,SPANXN5,296,1,0.0033783783783783786,9.679936362334358
36186L,Epithelial-mesenchymal cell,SPANXN5,241,0,0.0,
36186L,Erythrocyte,SPEF2,673,66,0.09806835066864784,0.9274785660007837
36186L,Oogenesis phase fetal germ cell,SPEF2,306,271,0.8856209150326797,1.5697456393294318
36186L,Trophectoderm cell,SPEF2,684,23,0.033625730994152045,0.4864806991969118
36186L,Embryonic stem cell,SPEF2,444,52,0.11711711711711711,0.8376670848792548
36186L,Luminal epithelial cell,SPEF2,627,111,0.17703349282296652,0.836526579118564
36186L,Fibroblast,SPEF2,375,15,0.04,0.8709654465703512
36186L,Meiotic prophase fetal germ cell,SPEF2,537,484,0.9013035381750466,2.2521062611570954
36186L,Mesenchymal cell,SPEF2,169,6,0.03550295857988166,0.42075365595994185
36186L,Luminal progenitor cell,SPEF2,488,176,0.36065573770491804,1.2764938558037533
36186L,B cell,SPEF2,26,0,0.0,
36186L,Dendritic cell,SPEF2,359,9,0.025069637883008356,1.4577881534360548
36186L,T cell,SPEF2,307,7,0.02280130293159609,2.839723492961405
36186L,Endothelial cell,SPEF2,296,27,0.09121621621621621,0.392527612526734
36186L,Epithelial-mesenchymal cell,SPEF2,241,11,0.04564315352697095,0.8986398999865209
36186L,Erythrocyte,TSGA10,673,145,0.21545319465081725,0.824534454511057
36186L,Oogenesis phase fetal germ cell,TSGA10,306,272,0.8888888888888888,1.5087440967049282
36186L,Trophectoderm cell,TSGA10,684,81,0.11842105263157894,0.5385171720142096
36186L,Embryonic stem cell,TSGA10,444,121,0.2725225225225225,0.8780861635734478
36186L,Luminal epithelial cell,TSGA10,627,157,0.2503987240829346,0.8247991527377839
36186L,Fibroblast,TSGA10,375,8,0.021333333333333333,0.7013826008178887
36186L,Meiotic prophase fetal germ cell,TSGA10,537,486,0.9050279329608939,2.0657478746106053
36186L,Mesenchymal cell,TSGA10,169,3,0.01775147928994083,0.6615483668626042
36186L,Luminal progenitor cell,TSGA10,488,204,0.4180327868852459,1.2703018207544798
36186L,B cell,TSGA10,26,0,0.0,
36186L,Dendritic cell,TSGA10,359,19,0.052924791086350974,1.4967505007281043
36186L,T cell,TSGA10,307,2,0.006514657980456026,1.9515916746452735
36186L,Endothelial cell,TSGA10,296,57,0.19256756756756757,0.4760633899325683
36186L,Epithelial-mesenchymal cell,TSGA10,241,11,0.04564315352697095,0.7973051602965793
