sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
366C5L,Epithelial cell,AKAP4,651,0,0.0,
366C5L,Epithelial-mesenchymal cell,AKAP4,377,0,0.0,
366C5L,Natural killer T (NKT) cell,AKAP4,355,0,0.0,
366C5L,Fibroblast,AKAP4,1615,1,0.0006191950464396285,10.0
366C5L,Mesoderm cell,AKAP4,1182,0,0.0,
366C5L,B cell,AKAP4,517,0,0.0,
366C5L,Dendritic cell,AKAP4,327,0,0.0,
366C5L,Mitotic fetal germ cell,AKAP4,562,0,0.0,
366C5L,Endothelial cell,AKAP4,781,1,0.0012804097311139564,10.0
366C5L,Natural killer (NK) cell,AKAP4,511,0,0.0,
366C5L,Basal epithelial cell,AKAP4,164,0,0.0,
366C5L,T cell,AKAP4,220,0,0.0,
366C5L,CD8+ T cell,AKAP4,88,0,0.0,
366C5L,Mesenchymal cell,AKAP4,146,0,0.0,
366C5L,Granulocyte-monocyte progenitor,AKAP4,100,1,0.01,10.0
366C5L,Microglial cell,AKAP4,93,0,0.0,
366C5L,Epithelial cell,ARMC3,651,165,0.2534562211981567,5.9623086482252186
366C5L,Epithelial-mesenchymal cell,ARMC3,377,0,0.0,
366C5L,Natural killer T (NKT) cell,ARMC3,355,0,0.0,
366C5L,Fibroblast,ARMC3,1615,3,0.0018575851393188853,7.120769311379924
366C5L,Mesoderm cell,ARMC3,1182,3,0.0025380710659898475,3.368665397022918
366C5L,B cell,ARMC3,517,0,0.0,
366C5L,Dendritic cell,ARMC3,327,0,0.0,
366C5L,Mitotic fetal germ cell,ARMC3,562,1,0.0017793594306049821,3.306165607674691
366C5L,Endothelial cell,ARMC3,781,2,0.002560819462227913,2.2591007583629517
366C5L,Natural killer (NK) cell,ARMC3,511,1,0.0019569471624266144,2.552253075215705
366C5L,Basal epithelial cell,ARMC3,164,0,0.0,
366C5L,T cell,ARMC3,220,0,0.0,
366C5L,CD8+ T cell,ARMC3,88,0,0.0,
366C5L,Mesenchymal cell,ARMC3,146,0,0.0,
366C5L,Granulocyte-monocyte progenitor,ARMC3,100,0,0.0,
366C5L,Microglial cell,ARMC3,93,0,0.0,
366C5L,Epithelial cell,CTCFL,651,14,0.021505376344086023,5.992234763328049
366C5L,Epithelial-mesenchymal cell,CTCFL,377,1,0.002652519893899204,10.0
366C5L,Natural killer T (NKT) cell,CTCFL,355,0,0.0,
366C5L,Fibroblast,CTCFL,1615,6,0.0037151702786377707,10.0
366C5L,Mesoderm cell,CTCFL,1182,2,0.001692047377326565,9.713416030823556
366C5L,B cell,CTCFL,517,0,0.0,
366C5L,Dendritic cell,CTCFL,327,1,0.0030581039755351682,9.702336422539723
366C5L,Mitotic fetal germ cell,CTCFL,562,10,0.017793594306049824,9.801873028684454
366C5L,Endothelial cell,CTCFL,781,9,0.011523687580025609,7.93422186462231
366C5L,Natural killer (NK) cell,CTCFL,511,2,0.003913894324853229,9.79846505082783
366C5L,Basal epithelial cell,CTCFL,164,0,0.0,
366C5L,T cell,CTCFL,220,0,0.0,
366C5L,CD8+ T cell,CTCFL,88,0,0.0,
366C5L,Mesenchymal cell,CTCFL,146,1,0.00684931506849315,10.0
366C5L,Granulocyte-monocyte progenitor,CTCFL,100,0,0.0,
366C5L,Microglial cell,CTCFL,93,1,0.010752688172043012,10.0
366C5L,Epithelial cell,IL13RA2,651,11,0.016897081413210446,1.895958307096414
366C5L,Epithelial-mesenchymal cell,IL13RA2,377,17,0.04509283819628647,5.251987716010092
366C5L,Natural killer T (NKT) cell,IL13RA2,355,0,0.0,
366C5L,Fibroblast,IL13RA2,1615,36,0.022291021671826627,5.381188045438259
366C5L,Mesoderm cell,IL13RA2,1182,111,0.09390862944162437,5.549358458649977
366C5L,B cell,IL13RA2,517,0,0.0,
366C5L,Dendritic cell,IL13RA2,327,0,0.0,
366C5L,Mitotic fetal germ cell,IL13RA2,562,44,0.07829181494661921,3.8191084838374922
366C5L,Endothelial cell,IL13RA2,781,12,0.015364916773367477,3.403129205010084
366C5L,Natural killer (NK) cell,IL13RA2,511,4,0.007827788649706457,3.8011065091401264
366C5L,Basal epithelial cell,IL13RA2,164,1,0.006097560975609756,0.711645952999563
366C5L,T cell,IL13RA2,220,1,0.004545454545454545,7.376519740996733
366C5L,CD8+ T cell,IL13RA2,88,0,0.0,
366C5L,Mesenchymal cell,IL13RA2,146,14,0.0958904109589041,4.878429730415915
366C5L,Granulocyte-monocyte progenitor,IL13RA2,100,0,0.0,
366C5L,Microglial cell,IL13RA2,93,1,0.010752688172043012,2.8326153437593087
366C5L,Epithelial cell,MAGEA12,651,0,0.0,
366C5L,Epithelial-mesenchymal cell,MAGEA12,377,0,0.0,
366C5L,Natural killer T (NKT) cell,MAGEA12,355,0,0.0,
366C5L,Fibroblast,MAGEA12,1615,3,0.0018575851393188853,10.0
366C5L,Mesoderm cell,MAGEA12,1182,0,0.0,
366C5L,B cell,MAGEA12,517,0,0.0,
366C5L,Dendritic cell,MAGEA12,327,0,0.0,
366C5L,Mitotic fetal germ cell,MAGEA12,562,0,0.0,
366C5L,Endothelial cell,MAGEA12,781,0,0.0,
366C5L,Natural killer (NK) cell,MAGEA12,511,1,0.0019569471624266144,10.0
366C5L,Basal epithelial cell,MAGEA12,164,0,0.0,
366C5L,T cell,MAGEA12,220,0,0.0,
366C5L,CD8+ T cell,MAGEA12,88,0,0.0,
366C5L,Mesenchymal cell,MAGEA12,146,0,0.0,
366C5L,Granulocyte-monocyte progenitor,MAGEA12,100,0,0.0,
366C5L,Microglial cell,MAGEA12,93,0,0.0,
366C5L,Epithelial cell,NOL4,651,0,0.0,
366C5L,Epithelial-mesenchymal cell,NOL4,377,0,0.0,
366C5L,Natural killer T (NKT) cell,NOL4,355,0,0.0,
366C5L,Fibroblast,NOL4,1615,1,0.0006191950464396285,10.0
366C5L,Mesoderm cell,NOL4,1182,1,0.0008460236886632825,10.0
366C5L,B cell,NOL4,517,0,0.0,
366C5L,Dendritic cell,NOL4,327,0,0.0,
366C5L,Mitotic fetal germ cell,NOL4,562,0,0.0,
366C5L,Endothelial cell,NOL4,781,1,0.0012804097311139564,10.0
366C5L,Natural killer (NK) cell,NOL4,511,0,0.0,
366C5L,Basal epithelial cell,NOL4,164,0,0.0,
366C5L,T cell,NOL4,220,0,0.0,
366C5L,CD8+ T cell,NOL4,88,0,0.0,
366C5L,Mesenchymal cell,NOL4,146,0,0.0,
366C5L,Granulocyte-monocyte progenitor,NOL4,100,0,0.0,
366C5L,Microglial cell,NOL4,93,0,0.0,
366C5L,Epithelial cell,PAGE5,651,1,0.0015360983102918587,10.0
366C5L,Epithelial-mesenchymal cell,PAGE5,377,0,0.0,
366C5L,Natural killer T (NKT) cell,PAGE5,355,4,0.011267605633802818,10.0
366C5L,Fibroblast,PAGE5,1615,0,0.0,
366C5L,Mesoderm cell,PAGE5,1182,0,0.0,
366C5L,B cell,PAGE5,517,1,0.0019342359767891683,10.0
366C5L,Dendritic cell,PAGE5,327,0,0.0,
366C5L,Mitotic fetal germ cell,PAGE5,562,0,0.0,
366C5L,Endothelial cell,PAGE5,781,0,0.0,
366C5L,Natural killer (NK) cell,PAGE5,511,0,0.0,
366C5L,Basal epithelial cell,PAGE5,164,0,0.0,
366C5L,T cell,PAGE5,220,0,0.0,
366C5L,CD8+ T cell,PAGE5,88,0,0.0,
366C5L,Mesenchymal cell,PAGE5,146,0,0.0,
366C5L,Granulocyte-monocyte progenitor,PAGE5,100,0,0.0,
366C5L,Microglial cell,PAGE5,93,0,0.0,
366C5L,Epithelial cell,SPA17,651,200,0.30721966205837176,4.581163847626727
366C5L,Epithelial-mesenchymal cell,SPA17,377,3,0.007957559681697613,3.2898336393265937
366C5L,Natural killer T (NKT) cell,SPA17,355,2,0.005633802816901409,5.182351123524891
366C5L,Fibroblast,SPA17,1615,50,0.030959752321981424,3.7549878038267277
366C5L,Mesoderm cell,SPA17,1182,24,0.02030456852791878,2.841926998645046
366C5L,B cell,SPA17,517,3,0.005802707930367505,5.234446724395422
366C5L,Dendritic cell,SPA17,327,9,0.027522935779816515,1.7303453173943748
366C5L,Mitotic fetal germ cell,SPA17,562,23,0.04092526690391459,2.138190728899219
366C5L,Endothelial cell,SPA17,781,41,0.052496798975672214,1.8346390335586715
366C5L,Natural killer (NK) cell,SPA17,511,19,0.03718199608610567,3.4960918760789674
366C5L,Basal epithelial cell,SPA17,164,7,0.042682926829268296,2.9761848215507416
366C5L,T cell,SPA17,220,1,0.004545454545454545,5.911814570059816
366C5L,CD8+ T cell,SPA17,88,1,0.011363636363636364,3.251886914553893
366C5L,Mesenchymal cell,SPA17,146,6,0.0410958904109589,2.4529662548197235
366C5L,Granulocyte-monocyte progenitor,SPA17,100,1,0.01,1.747968051116691
366C5L,Microglial cell,SPA17,93,7,0.07526881720430108,2.7629975409971728
