sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
37EACL,Fibroblast,BRDT,475,0,0.0,
37EACL,Epithelial-mesenchymal cell,BRDT,1436,0,0.0,
37EACL,Natural killer (NK) cell,BRDT,439,0,0.0,
37EACL,T cell,BRDT,540,3,0.005555555555555556,10.0
37EACL,Epithelial cell,BRDT,1069,0,0.0,
37EACL,Granulosa cell,BRDT,549,0,0.0,
37EACL,Trophectoderm cell,BRDT,216,0,0.0,
37EACL,Luminal epithelial cell,BRDT,325,0,0.0,
37EACL,Mesenchymal cell,BRDT,499,0,0.0,
37EACL,Luminal progenitor cell,BRDT,401,0,0.0,
37EACL,Natural killer T (NKT) cell,BRDT,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,BRDT,208,0,0.0,
37EACL,CD4+ T cell,BRDT,28,0,0.0,
37EACL,Macrophage,BRDT,600,0,0.0,
37EACL,Monocyte,BRDT,58,0,0.0,
37EACL,Endothelial progenitor cell,BRDT,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,BRDT,10,0,0.0,
37EACL,Basophil,BRDT,11,0,0.0,
37EACL,Endothelial cell,BRDT,83,0,0.0,
37EACL,Fibroblast,CTAGE1,475,0,0.0,
37EACL,Epithelial-mesenchymal cell,CTAGE1,1436,1,0.0006963788300835655,10.0
37EACL,Natural killer (NK) cell,CTAGE1,439,0,0.0,
37EACL,T cell,CTAGE1,540,0,0.0,
37EACL,Epithelial cell,CTAGE1,1069,1,0.0009354536950420954,5.261575380100117
37EACL,Granulosa cell,CTAGE1,549,0,0.0,
37EACL,Trophectoderm cell,CTAGE1,216,0,0.0,
37EACL,Luminal epithelial cell,CTAGE1,325,0,0.0,
37EACL,Mesenchymal cell,CTAGE1,499,1,0.002004008016032064,10.0
37EACL,Luminal progenitor cell,CTAGE1,401,0,0.0,
37EACL,Natural killer T (NKT) cell,CTAGE1,185,1,0.005405405405405406,10.0
37EACL,Plasmacytoid dendritic cell,CTAGE1,208,1,0.004807692307692308,10.0
37EACL,CD4+ T cell,CTAGE1,28,0,0.0,
37EACL,Macrophage,CTAGE1,600,1,0.0016666666666666668,10.0
37EACL,Monocyte,CTAGE1,58,0,0.0,
37EACL,Endothelial progenitor cell,CTAGE1,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,CTAGE1,10,0,0.0,
37EACL,Basophil,CTAGE1,11,0,0.0,
37EACL,Endothelial cell,CTAGE1,83,0,0.0,
37EACL,Fibroblast,CTCFL,475,3,0.00631578947368421,9.683573939512216
37EACL,Epithelial-mesenchymal cell,CTCFL,1436,8,0.005571030640668524,8.91961260434573
37EACL,Natural killer (NK) cell,CTCFL,439,1,0.002277904328018223,9.385474607034817
37EACL,T cell,CTCFL,540,0,0.0,
37EACL,Epithelial cell,CTCFL,1069,99,0.09260991580916744,4.3082157987183916
37EACL,Granulosa cell,CTCFL,549,1,0.0018214936247723133,9.831910766386873
37EACL,Trophectoderm cell,CTCFL,216,14,0.06481481481481481,3.32714066258318
37EACL,Luminal epithelial cell,CTCFL,325,2,0.006153846153846154,4.386964587153349
37EACL,Mesenchymal cell,CTCFL,499,4,0.008016032064128256,6.844533503682723
37EACL,Luminal progenitor cell,CTCFL,401,46,0.11471321695760599,4.377452463987586
37EACL,Natural killer T (NKT) cell,CTCFL,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,CTCFL,208,0,0.0,
37EACL,CD4+ T cell,CTCFL,28,0,0.0,
37EACL,Macrophage,CTCFL,600,0,0.0,
37EACL,Monocyte,CTCFL,58,0,0.0,
37EACL,Endothelial progenitor cell,CTCFL,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,CTCFL,10,0,0.0,
37EACL,Basophil,CTCFL,11,0,0.0,
37EACL,Endothelial cell,CTCFL,83,1,0.012048192771084338,9.55352276088871
37EACL,Fibroblast,DDX43,475,1,0.002105263157894737,10.0
37EACL,Epithelial-mesenchymal cell,DDX43,1436,1,0.0006963788300835655,10.0
37EACL,Natural killer (NK) cell,DDX43,439,0,0.0,
37EACL,T cell,DDX43,540,1,0.001851851851851852,10.0
37EACL,Epithelial cell,DDX43,1069,0,0.0,
37EACL,Granulosa cell,DDX43,549,1,0.0018214936247723133,10.0
37EACL,Trophectoderm cell,DDX43,216,0,0.0,
37EACL,Luminal epithelial cell,DDX43,325,0,0.0,
37EACL,Mesenchymal cell,DDX43,499,0,0.0,
37EACL,Luminal progenitor cell,DDX43,401,0,0.0,
37EACL,Natural killer T (NKT) cell,DDX43,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,DDX43,208,0,0.0,
37EACL,CD4+ T cell,DDX43,28,0,0.0,
37EACL,Macrophage,DDX43,600,0,0.0,
37EACL,Monocyte,DDX43,58,0,0.0,
37EACL,Endothelial progenitor cell,DDX43,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,DDX43,10,0,0.0,
37EACL,Basophil,DDX43,11,0,0.0,
37EACL,Endothelial cell,DDX43,83,0,0.0,
37EACL,Fibroblast,GPAT2,475,3,0.00631578947368421,8.240045855091207
37EACL,Epithelial-mesenchymal cell,GPAT2,1436,3,0.0020891364902506965,7.515245402144878
37EACL,Natural killer (NK) cell,GPAT2,439,0,0.0,
37EACL,T cell,GPAT2,540,0,0.0,
37EACL,Epithelial cell,GPAT2,1069,1,0.0009354536950420954,9.177119730787721
37EACL,Granulosa cell,GPAT2,549,0,0.0,
37EACL,Trophectoderm cell,GPAT2,216,0,0.0,
37EACL,Luminal epithelial cell,GPAT2,325,0,0.0,
37EACL,Mesenchymal cell,GPAT2,499,21,0.04208416833667335,9.661364919992206
37EACL,Luminal progenitor cell,GPAT2,401,0,0.0,
37EACL,Natural killer T (NKT) cell,GPAT2,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,GPAT2,208,0,0.0,
37EACL,CD4+ T cell,GPAT2,28,0,0.0,
37EACL,Macrophage,GPAT2,600,0,0.0,
37EACL,Monocyte,GPAT2,58,0,0.0,
37EACL,Endothelial progenitor cell,GPAT2,163,1,0.006134969325153374,8.830408307649616
37EACL,Meiotic prophase fetal germ cell,GPAT2,10,0,0.0,
37EACL,Basophil,GPAT2,11,0,0.0,
37EACL,Endothelial cell,GPAT2,83,2,0.024096385542168676,7.294115506142572
37EACL,Fibroblast,PAGE4,475,2,0.004210526315789474,10.0
37EACL,Epithelial-mesenchymal cell,PAGE4,1436,0,0.0,
37EACL,Natural killer (NK) cell,PAGE4,439,0,0.0,
37EACL,T cell,PAGE4,540,0,0.0,
37EACL,Epithelial cell,PAGE4,1069,0,0.0,
37EACL,Granulosa cell,PAGE4,549,1,0.0018214936247723133,10.0
37EACL,Trophectoderm cell,PAGE4,216,0,0.0,
37EACL,Luminal epithelial cell,PAGE4,325,0,0.0,
37EACL,Mesenchymal cell,PAGE4,499,0,0.0,
37EACL,Luminal progenitor cell,PAGE4,401,0,0.0,
37EACL,Natural killer T (NKT) cell,PAGE4,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,PAGE4,208,0,0.0,
37EACL,CD4+ T cell,PAGE4,28,0,0.0,
37EACL,Macrophage,PAGE4,600,0,0.0,
37EACL,Monocyte,PAGE4,58,0,0.0,
37EACL,Endothelial progenitor cell,PAGE4,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,PAGE4,10,0,0.0,
37EACL,Basophil,PAGE4,11,0,0.0,
37EACL,Endothelial cell,PAGE4,83,0,0.0,
37EACL,Fibroblast,TDRD1,475,0,0.0,
37EACL,Epithelial-mesenchymal cell,TDRD1,1436,2,0.001392757660167131,10.0
37EACL,Natural killer (NK) cell,TDRD1,439,0,0.0,
37EACL,T cell,TDRD1,540,0,0.0,
37EACL,Epithelial cell,TDRD1,1069,0,0.0,
37EACL,Granulosa cell,TDRD1,549,0,0.0,
37EACL,Trophectoderm cell,TDRD1,216,0,0.0,
37EACL,Luminal epithelial cell,TDRD1,325,0,0.0,
37EACL,Mesenchymal cell,TDRD1,499,0,0.0,
37EACL,Luminal progenitor cell,TDRD1,401,0,0.0,
37EACL,Natural killer T (NKT) cell,TDRD1,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,TDRD1,208,0,0.0,
37EACL,CD4+ T cell,TDRD1,28,0,0.0,
37EACL,Macrophage,TDRD1,600,0,0.0,
37EACL,Monocyte,TDRD1,58,0,0.0,
37EACL,Endothelial progenitor cell,TDRD1,163,1,0.006134969325153374,10.0
37EACL,Meiotic prophase fetal germ cell,TDRD1,10,0,0.0,
37EACL,Basophil,TDRD1,11,0,0.0,
37EACL,Endothelial cell,TDRD1,83,0,0.0,
37EACL,Fibroblast,TEX14,475,3,0.00631578947368421,7.890288384774192
37EACL,Epithelial-mesenchymal cell,TEX14,1436,1,0.0006963788300835655,5.722252919741742
37EACL,Natural killer (NK) cell,TEX14,439,3,0.00683371298405467,10.0
37EACL,T cell,TEX14,540,0,0.0,
37EACL,Epithelial cell,TEX14,1069,1,0.0009354536950420954,7.448613298119843
37EACL,Granulosa cell,TEX14,549,4,0.007285974499089253,10.0
37EACL,Trophectoderm cell,TEX14,216,0,0.0,
37EACL,Luminal epithelial cell,TEX14,325,4,0.012307692307692308,4.804982863394119
37EACL,Mesenchymal cell,TEX14,499,0,0.0,
37EACL,Luminal progenitor cell,TEX14,401,2,0.004987531172069825,3.442033026745339
37EACL,Natural killer T (NKT) cell,TEX14,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,TEX14,208,21,0.10096153846153846,8.663520473716275
37EACL,CD4+ T cell,TEX14,28,0,0.0,
37EACL,Macrophage,TEX14,600,0,0.0,
37EACL,Monocyte,TEX14,58,2,0.034482758620689655,9.484483980931635
37EACL,Endothelial progenitor cell,TEX14,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,TEX14,10,0,0.0,
37EACL,Basophil,TEX14,11,0,0.0,
37EACL,Endothelial cell,TEX14,83,0,0.0,
37EACL,Fibroblast,TSSK6,475,0,0.0,
37EACL,Epithelial-mesenchymal cell,TSSK6,1436,0,0.0,
37EACL,Natural killer (NK) cell,TSSK6,439,0,0.0,
37EACL,T cell,TSSK6,540,1,0.001851851851851852,10.0
37EACL,Epithelial cell,TSSK6,1069,0,0.0,
37EACL,Granulosa cell,TSSK6,549,0,0.0,
37EACL,Trophectoderm cell,TSSK6,216,0,0.0,
37EACL,Luminal epithelial cell,TSSK6,325,2,0.006153846153846154,9.360869619445685
37EACL,Mesenchymal cell,TSSK6,499,0,0.0,
37EACL,Luminal progenitor cell,TSSK6,401,0,0.0,
37EACL,Natural killer T (NKT) cell,TSSK6,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,TSSK6,208,0,0.0,
37EACL,CD4+ T cell,TSSK6,28,0,0.0,
37EACL,Macrophage,TSSK6,600,3,0.005,10.0
37EACL,Monocyte,TSSK6,58,0,0.0,
37EACL,Endothelial progenitor cell,TSSK6,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,TSSK6,10,0,0.0,
37EACL,Basophil,TSSK6,11,0,0.0,
37EACL,Endothelial cell,TSSK6,83,0,0.0,
37EACL,Fibroblast,XAGE2,475,0,0.0,
37EACL,Epithelial-mesenchymal cell,XAGE2,1436,5,0.003481894150417827,2.72581533364328
37EACL,Natural killer (NK) cell,XAGE2,439,1,0.002277904328018223,0.9729926230617166
37EACL,T cell,XAGE2,540,0,0.0,
37EACL,Epithelial cell,XAGE2,1069,67,0.0626753975678204,1.7598630527211665
37EACL,Granulosa cell,XAGE2,549,2,0.0036429872495446266,3.209984728526594
37EACL,Trophectoderm cell,XAGE2,216,9,0.041666666666666664,1.357995469383725
37EACL,Luminal epithelial cell,XAGE2,325,276,0.8492307692307692,4.435903691717186
37EACL,Mesenchymal cell,XAGE2,499,0,0.0,
37EACL,Luminal progenitor cell,XAGE2,401,35,0.08728179551122195,1.3324863818264647
37EACL,Natural killer T (NKT) cell,XAGE2,185,0,0.0,
37EACL,Plasmacytoid dendritic cell,XAGE2,208,1,0.004807692307692308,2.6689582001386167
37EACL,CD4+ T cell,XAGE2,28,0,0.0,
37EACL,Macrophage,XAGE2,600,1,0.0016666666666666668,1.478026345079977
37EACL,Monocyte,XAGE2,58,0,0.0,
37EACL,Endothelial progenitor cell,XAGE2,163,0,0.0,
37EACL,Meiotic prophase fetal germ cell,XAGE2,10,0,0.0,
37EACL,Basophil,XAGE2,11,0,0.0,
37EACL,Endothelial cell,XAGE2,83,0,0.0,
