sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
38FE7L,Zygote,ARX,646,3,0.0046439628482972135,9.355234275077022
38FE7L,Trophectoderm cell,ARX,612,10,0.016339869281045753,3.557700886035704
38FE7L,Endothelial cell,ARX,865,2,0.0023121387283236996,4.341254329486694
38FE7L,Decidual cell,ARX,656,9,0.013719512195121951,4.802186258688637
38FE7L,Microglial cell,ARX,694,13,0.018731988472622477,3.533148983116359
38FE7L,Epithelial-mesenchymal cell,ARX,1085,73,0.06728110599078341,7.4927222705073415
38FE7L,Natural killer (NK) cell,ARX,584,10,0.017123287671232876,4.6152525026604305
38FE7L,Retinoid acid signaling-responsive fetal germ cell,ARX,961,9,0.009365244536940686,3.640642609776132
38FE7L,Mesenchymal cell,ARX,254,3,0.011811023622047244,4.648827148341835
38FE7L,Migration phase fetal germ cell,ARX,71,1,0.014084507042253521,3.2049024085466717
38FE7L,T cell,ARX,37,0,0.0,
38FE7L,Erythrocyte,ARX,506,8,0.015810276679841896,3.842441175061313
38FE7L,Luminal epithelial cell,ARX,512,11,0.021484375,4.139917511053238
38FE7L,Zygote,CTCFL,646,4,0.006191950464396285,10.0
38FE7L,Trophectoderm cell,CTCFL,612,17,0.027777777777777776,4.740642922750132
38FE7L,Endothelial cell,CTCFL,865,4,0.004624277456647399,7.493790594025358
38FE7L,Decidual cell,CTCFL,656,13,0.019817073170731708,6.189968842460207
38FE7L,Microglial cell,CTCFL,694,30,0.043227665706051875,6.382812909592357
38FE7L,Epithelial-mesenchymal cell,CTCFL,1085,0,0.0,
38FE7L,Natural killer (NK) cell,CTCFL,584,9,0.015410958904109588,5.867044451854199
38FE7L,Retinoid acid signaling-responsive fetal germ cell,CTCFL,961,23,0.023933402705515087,6.219623861780872
38FE7L,Mesenchymal cell,CTCFL,254,2,0.007874015748031496,6.959083875648472
38FE7L,Migration phase fetal germ cell,CTCFL,71,9,0.1267605633802817,6.470531232904878
38FE7L,T cell,CTCFL,37,0,0.0,
38FE7L,Erythrocyte,CTCFL,506,9,0.017786561264822136,6.590346182818337
38FE7L,Luminal epithelial cell,CTCFL,512,14,0.02734375,6.572169243134043
38FE7L,Zygote,ELOVL4,646,0,0.0,
38FE7L,Trophectoderm cell,ELOVL4,612,0,0.0,
38FE7L,Endothelial cell,ELOVL4,865,5,0.005780346820809248,6.820144564316161
38FE7L,Decidual cell,ELOVL4,656,0,0.0,
38FE7L,Microglial cell,ELOVL4,694,2,0.002881844380403458,5.7956047985575125
38FE7L,Epithelial-mesenchymal cell,ELOVL4,1085,17,0.01566820276497696,9.24080372895925
38FE7L,Natural killer (NK) cell,ELOVL4,584,1,0.0017123287671232876,10.0
38FE7L,Retinoid acid signaling-responsive fetal germ cell,ELOVL4,961,1,0.001040582726326743,8.612857416906447
38FE7L,Mesenchymal cell,ELOVL4,254,6,0.023622047244094488,8.83677027674594
38FE7L,Migration phase fetal germ cell,ELOVL4,71,0,0.0,
38FE7L,T cell,ELOVL4,37,0,0.0,
38FE7L,Erythrocyte,ELOVL4,506,0,0.0,
38FE7L,Luminal epithelial cell,ELOVL4,512,0,0.0,
38FE7L,Zygote,FAM133A,646,0,0.0,
38FE7L,Trophectoderm cell,FAM133A,612,1,0.0016339869281045752,3.2398793163685933
38FE7L,Endothelial cell,FAM133A,865,0,0.0,
38FE7L,Decidual cell,FAM133A,656,0,0.0,
38FE7L,Microglial cell,FAM133A,694,0,0.0,
38FE7L,Epithelial-mesenchymal cell,FAM133A,1085,15,0.013824884792626729,10.0
38FE7L,Natural killer (NK) cell,FAM133A,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,FAM133A,961,0,0.0,
38FE7L,Mesenchymal cell,FAM133A,254,0,0.0,
38FE7L,Migration phase fetal germ cell,FAM133A,71,0,0.0,
38FE7L,T cell,FAM133A,37,0,0.0,
38FE7L,Erythrocyte,FAM133A,506,0,0.0,
38FE7L,Luminal epithelial cell,FAM133A,512,0,0.0,
38FE7L,Zygote,FATE1,646,0,0.0,
38FE7L,Trophectoderm cell,FATE1,612,0,0.0,
38FE7L,Endothelial cell,FATE1,865,5,0.005780346820809248,10.0
38FE7L,Decidual cell,FATE1,656,0,0.0,
38FE7L,Microglial cell,FATE1,694,0,0.0,
38FE7L,Epithelial-mesenchymal cell,FATE1,1085,1,0.0009216589861751152,10.0
38FE7L,Natural killer (NK) cell,FATE1,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,FATE1,961,0,0.0,
38FE7L,Mesenchymal cell,FATE1,254,0,0.0,
38FE7L,Migration phase fetal germ cell,FATE1,71,0,0.0,
38FE7L,T cell,FATE1,37,0,0.0,
38FE7L,Erythrocyte,FATE1,506,0,0.0,
38FE7L,Luminal epithelial cell,FATE1,512,0,0.0,
38FE7L,Zygote,GPAT2,646,0,0.0,
38FE7L,Trophectoderm cell,GPAT2,612,0,0.0,
38FE7L,Endothelial cell,GPAT2,865,27,0.03121387283236994,6.972342028405125
38FE7L,Decidual cell,GPAT2,656,0,0.0,
38FE7L,Microglial cell,GPAT2,694,2,0.002881844380403458,6.3440378544386
38FE7L,Epithelial-mesenchymal cell,GPAT2,1085,0,0.0,
38FE7L,Natural killer (NK) cell,GPAT2,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,GPAT2,961,0,0.0,
38FE7L,Mesenchymal cell,GPAT2,254,27,0.1062992125984252,9.232642836849994
38FE7L,Migration phase fetal germ cell,GPAT2,71,0,0.0,
38FE7L,T cell,GPAT2,37,0,0.0,
38FE7L,Erythrocyte,GPAT2,506,0,0.0,
38FE7L,Luminal epithelial cell,GPAT2,512,1,0.001953125,6.884676639291833
38FE7L,Zygote,IL13RA2,646,1,0.0015479876160990713,5.6959078718929295
38FE7L,Trophectoderm cell,IL13RA2,612,0,0.0,
38FE7L,Endothelial cell,IL13RA2,865,16,0.018497109826589597,3.5626215686956773
38FE7L,Decidual cell,IL13RA2,656,2,0.003048780487804878,3.141193607406514
38FE7L,Microglial cell,IL13RA2,694,0,0.0,
38FE7L,Epithelial-mesenchymal cell,IL13RA2,1085,141,0.12995391705069123,6.004854580545577
38FE7L,Natural killer (NK) cell,IL13RA2,584,1,0.0017123287671232876,4.510021679291152
38FE7L,Retinoid acid signaling-responsive fetal germ cell,IL13RA2,961,3,0.003121748178980229,1.9271035834050523
38FE7L,Mesenchymal cell,IL13RA2,254,7,0.027559055118110236,3.865421169659574
38FE7L,Migration phase fetal germ cell,IL13RA2,71,0,0.0,
38FE7L,T cell,IL13RA2,37,0,0.0,
38FE7L,Erythrocyte,IL13RA2,506,1,0.001976284584980237,2.3333814361911456
38FE7L,Luminal epithelial cell,IL13RA2,512,0,0.0,
38FE7L,Zygote,LY6K,646,0,0.0,
38FE7L,Trophectoderm cell,LY6K,612,11,0.017973856209150325,2.3345922181836856
38FE7L,Endothelial cell,LY6K,865,161,0.1861271676300578,4.133921174194795
38FE7L,Decidual cell,LY6K,656,1,0.001524390243902439,2.442488678951983
38FE7L,Microglial cell,LY6K,694,1,0.001440922190201729,1.1177247162628163
38FE7L,Epithelial-mesenchymal cell,LY6K,1085,47,0.04331797235023042,5.577054354914176
38FE7L,Natural killer (NK) cell,LY6K,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,LY6K,961,1,0.001040582726326743,2.165631794125809
38FE7L,Mesenchymal cell,LY6K,254,12,0.047244094488188976,4.911781203244353
38FE7L,Migration phase fetal germ cell,LY6K,71,1,0.014084507042253521,0.6599485823255126
38FE7L,T cell,LY6K,37,1,0.02702702702702703,10.0
38FE7L,Erythrocyte,LY6K,506,0,0.0,
38FE7L,Luminal epithelial cell,LY6K,512,0,0.0,
38FE7L,Zygote,MORC1,646,0,0.0,
38FE7L,Trophectoderm cell,MORC1,612,0,0.0,
38FE7L,Endothelial cell,MORC1,865,0,0.0,
38FE7L,Decidual cell,MORC1,656,0,0.0,
38FE7L,Microglial cell,MORC1,694,1,0.001440922190201729,10.0
38FE7L,Epithelial-mesenchymal cell,MORC1,1085,0,0.0,
38FE7L,Natural killer (NK) cell,MORC1,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,MORC1,961,1,0.001040582726326743,10.0
38FE7L,Mesenchymal cell,MORC1,254,1,0.003937007874015748,10.0
38FE7L,Migration phase fetal germ cell,MORC1,71,0,0.0,
38FE7L,T cell,MORC1,37,0,0.0,
38FE7L,Erythrocyte,MORC1,506,2,0.003952569169960474,10.0
38FE7L,Luminal epithelial cell,MORC1,512,0,0.0,
38FE7L,Zygote,RGS22,646,0,0.0,
38FE7L,Trophectoderm cell,RGS22,612,1,0.0016339869281045752,9.068047440959136
38FE7L,Endothelial cell,RGS22,865,1,0.0011560693641618498,10.0
38FE7L,Decidual cell,RGS22,656,0,0.0,
38FE7L,Microglial cell,RGS22,694,0,0.0,
38FE7L,Epithelial-mesenchymal cell,RGS22,1085,11,0.010138248847926268,9.835353961076915
38FE7L,Natural killer (NK) cell,RGS22,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,RGS22,961,1,0.001040582726326743,10.0
38FE7L,Mesenchymal cell,RGS22,254,0,0.0,
38FE7L,Migration phase fetal germ cell,RGS22,71,0,0.0,
38FE7L,T cell,RGS22,37,0,0.0,
38FE7L,Erythrocyte,RGS22,506,0,0.0,
38FE7L,Luminal epithelial cell,RGS22,512,0,0.0,
38FE7L,Zygote,SPAG9,646,118,0.1826625386996904,1.0250823624824188
38FE7L,Trophectoderm cell,SPAG9,612,207,0.3382352941176471,0.4482450296204982
38FE7L,Endothelial cell,SPAG9,865,771,0.8913294797687862,1.7245951972060276
38FE7L,Decidual cell,SPAG9,656,198,0.3018292682926829,0.4542731710621418
38FE7L,Microglial cell,SPAG9,694,190,0.2737752161383285,0.41397492243324846
38FE7L,Epithelial-mesenchymal cell,SPAG9,1085,695,0.6405529953917051,1.334100606389563
38FE7L,Natural killer (NK) cell,SPAG9,584,139,0.238013698630137,0.45979950166586664
38FE7L,Retinoid acid signaling-responsive fetal germ cell,SPAG9,961,237,0.24661810613943808,0.3756282228758864
38FE7L,Mesenchymal cell,SPAG9,254,137,0.5393700787401575,1.1210129231776682
38FE7L,Migration phase fetal germ cell,SPAG9,71,22,0.30985915492957744,0.2709902709426996
38FE7L,T cell,SPAG9,37,11,0.2972972972972973,1.4485884582072623
38FE7L,Erythrocyte,SPAG9,506,167,0.3300395256916996,0.44367214111725933
38FE7L,Luminal epithelial cell,SPAG9,512,146,0.28515625,0.39926381839342057
38FE7L,Zygote,TEX15,646,0,0.0,
38FE7L,Trophectoderm cell,TEX15,612,0,0.0,
38FE7L,Endothelial cell,TEX15,865,0,0.0,
38FE7L,Decidual cell,TEX15,656,0,0.0,
38FE7L,Microglial cell,TEX15,694,0,0.0,
38FE7L,Epithelial-mesenchymal cell,TEX15,1085,4,0.003686635944700461,10.0
38FE7L,Natural killer (NK) cell,TEX15,584,0,0.0,
38FE7L,Retinoid acid signaling-responsive fetal germ cell,TEX15,961,0,0.0,
38FE7L,Mesenchymal cell,TEX15,254,1,0.003937007874015748,10.0
