sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3BAE2L,Mesenchymal cell,CRISP2,494,0,0.0,
3BAE2L,Luminal progenitor cell,CRISP2,1827,9,0.0049261083743842365,2.9165116353062057
3BAE2L,Epithelial-mesenchymal cell,CRISP2,984,2,0.0020325203252032522,10.0
3BAE2L,Microglial cell,CRISP2,691,0,0.0,
3BAE2L,Squamous cell,CRISP2,181,0,0.0,
3BAE2L,Macrophage,CRISP2,276,1,0.0036231884057971015,10.0
3BAE2L,T cell,CRISP2,808,0,0.0,
3BAE2L,Trophectoderm cell,CRISP2,926,1,0.0010799136069114472,2.4250662141693136
3BAE2L,Endothelial cell,CRISP2,325,0,0.0,
3BAE2L,Dendritic cell,CRISP2,41,0,0.0,
3BAE2L,Natural killer (NK) cell,CRISP2,355,0,0.0,
3BAE2L,Epithelial cell,CRISP2,193,35,0.18134715025906736,7.807762527008114
3BAE2L,Plasmacytoid dendritic cell,CRISP2,174,0,0.0,
3BAE2L,Fibroblast,CRISP2,59,0,0.0,
3BAE2L,Mesenchymal cell,CTCFL,494,0,0.0,
3BAE2L,Luminal progenitor cell,CTCFL,1827,89,0.04871373836891078,5.944699998094692
3BAE2L,Epithelial-mesenchymal cell,CTCFL,984,2,0.0020325203252032522,10.0
3BAE2L,Microglial cell,CTCFL,691,0,0.0,
3BAE2L,Squamous cell,CTCFL,181,0,0.0,
3BAE2L,Macrophage,CTCFL,276,0,0.0,
3BAE2L,T cell,CTCFL,808,0,0.0,
3BAE2L,Trophectoderm cell,CTCFL,926,10,0.01079913606911447,6.565320223606091
3BAE2L,Endothelial cell,CTCFL,325,0,0.0,
3BAE2L,Dendritic cell,CTCFL,41,0,0.0,
3BAE2L,Natural killer (NK) cell,CTCFL,355,0,0.0,
3BAE2L,Epithelial cell,CTCFL,193,4,0.02072538860103627,4.527226006196657
3BAE2L,Plasmacytoid dendritic cell,CTCFL,174,0,0.0,
3BAE2L,Fibroblast,CTCFL,59,1,0.01694915254237288,10.0
3BAE2L,Mesenchymal cell,PAGE2,494,1,0.0020242914979757085,0.7678884145717996
3BAE2L,Luminal progenitor cell,PAGE2,1827,1308,0.715927750410509,1.621873682960761
3BAE2L,Epithelial-mesenchymal cell,PAGE2,984,13,0.013211382113821139,1.0974549621279266
3BAE2L,Microglial cell,PAGE2,691,6,0.008683068017366137,1.1550606441231064
3BAE2L,Squamous cell,PAGE2,181,53,0.292817679558011,2.1638445069351784
3BAE2L,Macrophage,PAGE2,276,5,0.018115942028985508,1.2745101009919124
3BAE2L,T cell,PAGE2,808,5,0.006188118811881188,2.138332015786827
3BAE2L,Trophectoderm cell,PAGE2,926,369,0.398488120950324,0.7781523024631445
3BAE2L,Endothelial cell,PAGE2,325,8,0.024615384615384615,1.0094084183338623
3BAE2L,Dendritic cell,PAGE2,41,0,0.0,
3BAE2L,Natural killer (NK) cell,PAGE2,355,2,0.005633802816901409,2.2406903509100653
3BAE2L,Epithelial cell,PAGE2,193,144,0.7461139896373057,2.431209709560491
3BAE2L,Plasmacytoid dendritic cell,PAGE2,174,0,0.0,
3BAE2L,Fibroblast,PAGE2,59,16,0.2711864406779661,1.2377104072291578
3BAE2L,Mesenchymal cell,SEMG1,494,0,0.0,
3BAE2L,Luminal progenitor cell,SEMG1,1827,2,0.0010946907498631637,10.0
3BAE2L,Epithelial-mesenchymal cell,SEMG1,984,1,0.0010162601626016261,10.0
3BAE2L,Microglial cell,SEMG1,691,0,0.0,
3BAE2L,Squamous cell,SEMG1,181,0,0.0,
3BAE2L,Macrophage,SEMG1,276,0,0.0,
3BAE2L,T cell,SEMG1,808,0,0.0,
3BAE2L,Trophectoderm cell,SEMG1,926,0,0.0,
3BAE2L,Endothelial cell,SEMG1,325,0,0.0,
3BAE2L,Dendritic cell,SEMG1,41,0,0.0,
3BAE2L,Natural killer (NK) cell,SEMG1,355,0,0.0,
3BAE2L,Epithelial cell,SEMG1,193,0,0.0,
3BAE2L,Plasmacytoid dendritic cell,SEMG1,174,0,0.0,
3BAE2L,Fibroblast,SEMG1,59,0,0.0,
3BAE2L,Mesenchymal cell,SPAG8,494,1,0.0020242914979757085,10.0
3BAE2L,Luminal progenitor cell,SPAG8,1827,20,0.010946907498631636,2.892862012794269
3BAE2L,Epithelial-mesenchymal cell,SPAG8,984,2,0.0020325203252032522,7.053299297671478
3BAE2L,Microglial cell,SPAG8,691,0,0.0,
3BAE2L,Squamous cell,SPAG8,181,1,0.0055248618784530384,9.023253091670083
3BAE2L,Macrophage,SPAG8,276,0,0.0,
3BAE2L,T cell,SPAG8,808,2,0.0024752475247524753,10.0
3BAE2L,Trophectoderm cell,SPAG8,926,4,0.004319654427645789,2.8376025517993546
3BAE2L,Endothelial cell,SPAG8,325,0,0.0,
3BAE2L,Dendritic cell,SPAG8,41,0,0.0,
3BAE2L,Natural killer (NK) cell,SPAG8,355,0,0.0,
3BAE2L,Epithelial cell,SPAG8,193,48,0.24870466321243523,6.307671199293807
3BAE2L,Plasmacytoid dendritic cell,SPAG8,174,0,0.0,
3BAE2L,Fibroblast,SPAG8,59,0,0.0,
3BAE2L,Mesenchymal cell,TSSK6,494,1,0.0020242914979757085,10.0
3BAE2L,Luminal progenitor cell,TSSK6,1827,0,0.0,
3BAE2L,Epithelial-mesenchymal cell,TSSK6,984,0,0.0,
3BAE2L,Microglial cell,TSSK6,691,0,0.0,
3BAE2L,Squamous cell,TSSK6,181,0,0.0,
3BAE2L,Macrophage,TSSK6,276,0,0.0,
3BAE2L,T cell,TSSK6,808,2,0.0024752475247524753,10.0
3BAE2L,Trophectoderm cell,TSSK6,926,0,0.0,
3BAE2L,Endothelial cell,TSSK6,325,0,0.0,
3BAE2L,Dendritic cell,TSSK6,41,0,0.0,
3BAE2L,Natural killer (NK) cell,TSSK6,355,0,0.0,
