sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3CCF1L,Granulosa cell,CTCFL,99,2,0.020202020202020204,6.764208424147084
3CCF1L,Microglial cell,CTCFL,1096,1,0.0009124087591240876,10.0
3CCF1L,Fibroblast,CTCFL,1453,37,0.025464556090846524,6.79045434531194
3CCF1L,Plasmacytoid dendritic cell,CTCFL,135,1,0.007407407407407408,2.00283972708742
3CCF1L,Endothelial cell,CTCFL,733,12,0.01637107776261937,5.0430940133489015
3CCF1L,Epithelial cell,CTCFL,1725,104,0.06028985507246377,5.209557085744673
3CCF1L,Neutrophil,CTCFL,515,0,0.0,
3CCF1L,Natural killer (NK) cell,CTCFL,93,0,0.0,
3CCF1L,Mesenchymal cell,CTCFL,873,9,0.010309278350515464,7.257288020982951
3CCF1L,Luminal progenitor cell,CTCFL,156,4,0.02564102564102564,5.157191643341994
3CCF1L,T cell,CTCFL,577,0,0.0,
3CCF1L,Gonadal mitotic phase fetal germ cell,CTCFL,424,0,0.0,
3CCF1L,Luminal epithelial cell,CTCFL,255,23,0.09019607843137255,3.684938341715604
3CCF1L,Retinoid acid signaling-responsive fetal germ cell,CTCFL,4,0,0.0,
3CCF1L,Granulosa cell,DMRT1,99,0,0.0,
3CCF1L,Microglial cell,DMRT1,1096,0,0.0,
3CCF1L,Fibroblast,DMRT1,1453,1,0.0006882312456985547,10.0
3CCF1L,Plasmacytoid dendritic cell,DMRT1,135,0,0.0,
3CCF1L,Endothelial cell,DMRT1,733,0,0.0,
3CCF1L,Epithelial cell,DMRT1,1725,11,0.006376811594202898,9.722826812991462
3CCF1L,Neutrophil,DMRT1,515,0,0.0,
3CCF1L,Natural killer (NK) cell,DMRT1,93,0,0.0,
3CCF1L,Mesenchymal cell,DMRT1,873,0,0.0,
3CCF1L,Luminal progenitor cell,DMRT1,156,2,0.01282051282051282,4.659865783184522
3CCF1L,T cell,DMRT1,577,0,0.0,
3CCF1L,Gonadal mitotic phase fetal germ cell,DMRT1,424,0,0.0,
3CCF1L,Luminal epithelial cell,DMRT1,255,3,0.011764705882352941,8.376692454993167
3CCF1L,Retinoid acid signaling-responsive fetal germ cell,DMRT1,4,0,0.0,
3CCF1L,Granulosa cell,IL13RA2,99,4,0.04040404040404041,2.9151680909110005
3CCF1L,Microglial cell,IL13RA2,1096,0,0.0,
3CCF1L,Fibroblast,IL13RA2,1453,178,0.12250516173434274,4.831286687580349
3CCF1L,Plasmacytoid dendritic cell,IL13RA2,135,0,0.0,
3CCF1L,Endothelial cell,IL13RA2,733,27,0.036834924965893585,4.7819574867488335
3CCF1L,Epithelial cell,IL13RA2,1725,7,0.004057971014492754,3.8883515069021324
3CCF1L,Neutrophil,IL13RA2,515,1,0.001941747572815534,4.5903886329844665
3CCF1L,Natural killer (NK) cell,IL13RA2,93,0,0.0,
3CCF1L,Mesenchymal cell,IL13RA2,873,16,0.018327605956471937,3.2850575373864395
3CCF1L,Luminal progenitor cell,IL13RA2,156,0,0.0,
3CCF1L,T cell,IL13RA2,577,0,0.0,
3CCF1L,Gonadal mitotic phase fetal germ cell,IL13RA2,424,11,0.025943396226415096,5.012365014018914
3CCF1L,Luminal epithelial cell,IL13RA2,255,2,0.00784313725490196,2.68566323403643
3CCF1L,Retinoid acid signaling-responsive fetal germ cell,IL13RA2,4,2,0.5,4.86056637222481
3CCF1L,Granulosa cell,POTEC,99,0,0.0,
3CCF1L,Microglial cell,POTEC,1096,0,0.0,
3CCF1L,Fibroblast,POTEC,1453,1,0.0006882312456985547,10.0
3CCF1L,Plasmacytoid dendritic cell,POTEC,135,0,0.0,
3CCF1L,Endothelial cell,POTEC,733,0,0.0,
3CCF1L,Epithelial cell,POTEC,1725,1,0.0005797101449275362,9.775817448222005
3CCF1L,Neutrophil,POTEC,515,0,0.0,
3CCF1L,Natural killer (NK) cell,POTEC,93,0,0.0,
3CCF1L,Mesenchymal cell,POTEC,873,0,0.0,
3CCF1L,Luminal progenitor cell,POTEC,156,1,0.00641025641025641,10.0
3CCF1L,T cell,POTEC,577,0,0.0,
3CCF1L,Gonadal mitotic phase fetal germ cell,POTEC,424,0,0.0,
3CCF1L,Luminal epithelial cell,POTEC,255,2,0.00784313725490196,10.0
3CCF1L,Retinoid acid signaling-responsive fetal germ cell,POTEC,4,0,0.0,
3CCF1L,Granulosa cell,SEMG1,99,0,0.0,
3CCF1L,Microglial cell,SEMG1,1096,0,0.0,
3CCF1L,Fibroblast,SEMG1,1453,2,0.0013764624913971094,10.0
3CCF1L,Plasmacytoid dendritic cell,SEMG1,135,0,0.0,
