sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3E4D1L,T cell,BRDT,516,0,0.0,
3E4D1L,Migration phase fetal germ cell,BRDT,2052,1,0.0004873294346978557,10.0
3E4D1L,CD4+ T cell,BRDT,230,0,0.0,
3E4D1L,Mitotic fetal germ cell,BRDT,1057,0,0.0,
3E4D1L,Granulosa cell,BRDT,719,0,0.0,
3E4D1L,Mitotic arrest phase fetal germ cell,BRDT,580,0,0.0,
3E4D1L,Epithelial-mesenchymal cell,BRDT,705,0,0.0,
3E4D1L,Granulocyte-monocyte progenitor,BRDT,169,0,0.0,
3E4D1L,Embryonic stem cell,BRDT,566,0,0.0,
3E4D1L,Meiotic prophase fetal germ cell,BRDT,448,0,0.0,
3E4D1L,Natural killer T (NKT) cell,BRDT,303,0,0.0,
3E4D1L,B cell,BRDT,894,8,0.008948545861297539,10.0
3E4D1L,Dendritic cell,BRDT,458,0,0.0,
3E4D1L,Lymphoid progenitor cell,BRDT,154,0,0.0,
3E4D1L,Endothelial cell,BRDT,28,0,0.0,
3E4D1L,Mesenchymal cell,BRDT,32,0,0.0,
3E4D1L,Natural killer (NK) cell,BRDT,145,0,0.0,
3E4D1L,T cell,CTCFL,516,0,0.0,
3E4D1L,Migration phase fetal germ cell,CTCFL,2052,0,0.0,
3E4D1L,CD4+ T cell,CTCFL,230,0,0.0,
3E4D1L,Mitotic fetal germ cell,CTCFL,1057,0,0.0,
3E4D1L,Granulosa cell,CTCFL,719,0,0.0,
3E4D1L,Mitotic arrest phase fetal germ cell,CTCFL,580,0,0.0,
3E4D1L,Epithelial-mesenchymal cell,CTCFL,705,0,0.0,
3E4D1L,Granulocyte-monocyte progenitor,CTCFL,169,0,0.0,
3E4D1L,Embryonic stem cell,CTCFL,566,0,0.0,
3E4D1L,Meiotic prophase fetal germ cell,CTCFL,448,0,0.0,
3E4D1L,Natural killer T (NKT) cell,CTCFL,303,0,0.0,
3E4D1L,B cell,CTCFL,894,0,0.0,
3E4D1L,Dendritic cell,CTCFL,458,0,0.0,
3E4D1L,Lymphoid progenitor cell,CTCFL,154,0,0.0,
3E4D1L,Endothelial cell,CTCFL,28,0,0.0,
3E4D1L,Mesenchymal cell,CTCFL,32,0,0.0,
3E4D1L,Natural killer (NK) cell,CTCFL,145,0,0.0,
3E4D1L,T cell,DDX43,516,0,0.0,
3E4D1L,Migration phase fetal germ cell,DDX43,2052,1,0.0004873294346978557,8.699409810508289
3E4D1L,CD4+ T cell,DDX43,230,1,0.004347826086956522,10.0
3E4D1L,Mitotic fetal germ cell,DDX43,1057,1,0.000946073793755913,10.0
3E4D1L,Granulosa cell,DDX43,719,1,0.0013908205841446453,10.0
3E4D1L,Mitotic arrest phase fetal germ cell,DDX43,580,0,0.0,
3E4D1L,Epithelial-mesenchymal cell,DDX43,705,0,0.0,
3E4D1L,Granulocyte-monocyte progenitor,DDX43,169,0,0.0,
3E4D1L,Embryonic stem cell,DDX43,566,0,0.0,
3E4D1L,Meiotic prophase fetal germ cell,DDX43,448,0,0.0,
3E4D1L,Natural killer T (NKT) cell,DDX43,303,3,0.009900990099009901,10.0
3E4D1L,B cell,DDX43,894,3,0.003355704697986577,10.0
3E4D1L,Dendritic cell,DDX43,458,4,0.008733624454148471,10.0
3E4D1L,Lymphoid progenitor cell,DDX43,154,1,0.006493506493506494,10.0
3E4D1L,Endothelial cell,DDX43,28,1,0.03571428571428571,4.932463074750649
