sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
3E5CFL,T cell,CTCFL,212,0,0.0,
3E5CFL,Epithelial cell,CTCFL,1325,172,0.129811320754717,3.367712098068063
3E5CFL,Monocyte,CTCFL,271,0,0.0,
3E5CFL,Luminal progenitor cell,CTCFL,521,77,0.14779270633397312,2.5865972400270305
3E5CFL,Mitotic fetal germ cell,CTCFL,661,178,0.2692889561270802,1.955273445046043
3E5CFL,Fibroblast,CTCFL,739,0,0.0,
3E5CFL,Microglial cell,CTCFL,648,0,0.0,
3E5CFL,Granulosa cell,CTCFL,59,11,0.1864406779661017,2.7336001987243184
3E5CFL,Luminal epithelial cell,CTCFL,513,84,0.16374269005847952,2.5164216810900415
3E5CFL,Mesenchymal cell,CTCFL,1236,2,0.0016181229773462784,6.42880603378994
3E5CFL,Endothelial cell,CTCFL,41,0,0.0,
3E5CFL,CD4+ T cell,CTCFL,26,0,0.0,
3E5CFL,Migration phase fetal germ cell,CTCFL,23,1,0.043478260869565216,1.3384426586617353
3E5CFL,Meiotic prophase fetal germ cell,CTCFL,31,0,0.0,
3E5CFL,Lymphoid progenitor cell,CTCFL,14,0,0.0,
3E5CFL,T cell,IL13RA2,212,0,0.0,
3E5CFL,Epithelial cell,IL13RA2,1325,13,0.009811320754716982,1.8042509417397627
3E5CFL,Monocyte,IL13RA2,271,0,0.0,
3E5CFL,Luminal progenitor cell,IL13RA2,521,6,0.011516314779270634,0.9720432094526306
3E5CFL,Mitotic fetal germ cell,IL13RA2,661,11,0.01664145234493192,0.9042515498104134
3E5CFL,Fibroblast,IL13RA2,739,33,0.044654939106901215,6.368952391551356
3E5CFL,Microglial cell,IL13RA2,648,0,0.0,
3E5CFL,Granulosa cell,IL13RA2,59,4,0.06779661016949153,4.182635047563832
3E5CFL,Luminal epithelial cell,IL13RA2,513,7,0.01364522417153996,0.9958026170153117
3E5CFL,Mesenchymal cell,IL13RA2,1236,99,0.08009708737864078,5.6380741479584
3E5CFL,Endothelial cell,IL13RA2,41,2,0.04878048780487805,4.309002419186015
3E5CFL,CD4+ T cell,IL13RA2,26,0,0.0,
3E5CFL,Migration phase fetal germ cell,IL13RA2,23,0,0.0,
3E5CFL,Meiotic prophase fetal germ cell,IL13RA2,31,0,0.0,
3E5CFL,Lymphoid progenitor cell,IL13RA2,14,0,0.0,
3E5CFL,T cell,LY6K,212,0,0.0,
3E5CFL,Epithelial cell,LY6K,1325,3,0.0022641509433962265,2.251680373216671
3E5CFL,Monocyte,LY6K,271,2,0.007380073800738007,9.834132764465272
3E5CFL,Luminal progenitor cell,LY6K,521,5,0.009596928982725527,2.7128777903271883
3E5CFL,Mitotic fetal germ cell,LY6K,661,6,0.009077155824508321,2.3961907164668945
3E5CFL,Fibroblast,LY6K,739,58,0.07848443843031123,7.46312253641031
3E5CFL,Microglial cell,LY6K,648,6,0.009259259259259259,8.092290863029563
3E5CFL,Granulosa cell,LY6K,59,3,0.05084745762711865,2.6705390541415475
3E5CFL,Luminal epithelial cell,LY6K,513,1,0.001949317738791423,1.5221052175142216
3E5CFL,Mesenchymal cell,LY6K,1236,12,0.009708737864077669,7.559904290756745
3E5CFL,Endothelial cell,LY6K,41,5,0.12195121951219512,6.708840939860013
3E5CFL,CD4+ T cell,LY6K,26,0,0.0,
3E5CFL,Migration phase fetal germ cell,LY6K,23,0,0.0,
3E5CFL,Meiotic prophase fetal germ cell,LY6K,31,0,0.0,
3E5CFL,Lymphoid progenitor cell,LY6K,14,1,0.07142857142857142,5.6511527098706145
3E5CFL,T cell,TDRD6,212,0,0.0,
3E5CFL,Epithelial cell,TDRD6,1325,2,0.0015094339622641509,6.865211953970387
3E5CFL,Monocyte,TDRD6,271,1,0.0036900369003690036,10.0
3E5CFL,Luminal progenitor cell,TDRD6,521,0,0.0,
3E5CFL,Mitotic fetal germ cell,TDRD6,661,0,0.0,
3E5CFL,Fibroblast,TDRD6,739,1,0.0013531799729364006,10.0
3E5CFL,Microglial cell,TDRD6,648,2,0.0030864197530864196,10.0
3E5CFL,Granulosa cell,TDRD6,59,2,0.03389830508474576,7.104669164161493
3E5CFL,Luminal epithelial cell,TDRD6,513,0,0.0,
3E5CFL,Mesenchymal cell,TDRD6,1236,11,0.00889967637540453,10.0
3E5CFL,Endothelial cell,TDRD6,41,0,0.0,
3E5CFL,CD4+ T cell,TDRD6,26,0,0.0,
3E5CFL,Migration phase fetal germ cell,TDRD6,23,0,0.0,
3E5CFL,Meiotic prophase fetal germ cell,TDRD6,31,0,0.0,
3E5CFL,Lymphoid progenitor cell,TDRD6,14,0,0.0,
