sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
16030X2_HJVMLDMXX,Mitotic fetal germ cell,CTCFL,691,10,0.01447178002894356,-0.025241047779610244
16030X2_HJVMLDMXX,Natural killer (NK) cell,CTCFL,452,3,0.00663716814159292,-0.042991577802763976
16030X2_HJVMLDMXX,Epithelial cell,CTCFL,689,37,0.05370101596516691,0.22193087046941626
16030X2_HJVMLDMXX,Gonadal mitotic phase fetal germ cell,CTCFL,385,1,0.0025974025974025974,-0.07746651937319951
16030X2_HJVMLDMXX,Luminal progenitor cell,CTCFL,1096,16,0.014598540145985401,-0.040908814503490896
16030X2_HJVMLDMXX,Zygote,CTCFL,2032,10,0.004921259842519685,-0.04446730843672755
16030X2_HJVMLDMXX,T cell,CTCFL,212,0,0.0,-0.09098489182643968
16030X2_HJVMLDMXX,Mitotic arrest phase fetal germ cell,CTCFL,377,9,0.023872679045092837,-0.003850145971166032
16030X2_HJVMLDMXX,Dendritic cell,CTCFL,202,0,0.0,-0.09098489182643968
16030X2_HJVMLDMXX,Epithelial-mesenchymal cell,CTCFL,94,0,0.0,-0.09098489182643964
16030X2_HJVMLDMXX,Mesenchymal cell,CTCFL,94,1,0.010638297872340425,-0.048411078696607726
16030X2_HJVMLDMXX,Plasmacytoid dendritic cell,CTCFL,49,0,0.0,-0.09098489182643969
16030X2_HJVMLDMXX,Mitotic fetal germ cell,DDX43,691,0,0.0,-0.027513339629199742
16030X2_HJVMLDMXX,Natural killer (NK) cell,DDX43,452,0,0.0,-0.027513339629199735
16030X2_HJVMLDMXX,Epithelial cell,DDX43,689,0,0.0,-0.027513339629199742
16030X2_HJVMLDMXX,Gonadal mitotic phase fetal germ cell,DDX43,385,0,0.0,-0.02751333962919974
16030X2_HJVMLDMXX,Luminal progenitor cell,DDX43,1096,1,0.0009124087591240876,-0.01836414862588843
16030X2_HJVMLDMXX,Zygote,DDX43,2032,0,0.0,-0.027513339629199732
16030X2_HJVMLDMXX,T cell,DDX43,212,1,0.0047169811320754715,0.019786251595466292
16030X2_HJVMLDMXX,Mitotic arrest phase fetal germ cell,DDX43,377,0,0.0,-0.027513339629199735
16030X2_HJVMLDMXX,Dendritic cell,DDX43,202,3,0.01485148514851485,0.12141012581083784
16030X2_HJVMLDMXX,Epithelial-mesenchymal cell,DDX43,94,0,0.0,-0.02751333962919974
16030X2_HJVMLDMXX,Mesenchymal cell,DDX43,94,0,0.0,-0.02751333962919974
