sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
16030X3_HJTWLDMXX,Hemangioblast,CABYR,142,2,0.014084507042253521,-0.10617568016723354
16030X3_HJTWLDMXX,Dendritic cell,CABYR,104,1,0.009615384615384616,-0.10770584015942233
16030X3_HJTWLDMXX,Microglial cell,CABYR,190,11,0.05789473684210526,0.07295499496433548
16030X3_HJTWLDMXX,Epithelial-mesenchymal cell,CABYR,74,1,0.013513513513513514,-0.13701137867692623
16030X3_HJTWLDMXX,Epithelial cell,CABYR,212,15,0.07075471698113207,-0.03020352186710775
16030X3_HJTWLDMXX,Monocyte,CABYR,97,5,0.05154639175257732,0.2283820183430758
16030X3_HJTWLDMXX,Trophectoderm cell,CABYR,91,7,0.07692307692307693,-0.0915516002593097
16030X3_HJTWLDMXX,Fibroblast,CABYR,14,1,0.07142857142857142,-0.04431335231078691
16030X3_HJTWLDMXX,T cell,CABYR,143,2,0.013986013986013986,-0.06178052925620683
16030X3_HJTWLDMXX,Natural killer (NK) cell,CABYR,55,0,0.0,-0.14725978887562363
16030X3_HJTWLDMXX,Basophil,CABYR,137,2,0.014598540145985401,-0.053959438662813594
16030X3_HJTWLDMXX,Erythrocyte,CABYR,33,0,0.0,-0.14725978887562366
16030X3_HJTWLDMXX,Luminal progenitor cell,CABYR,8,1,0.125,-0.0926419038710447
16030X3_HJTWLDMXX,Luminal epithelial cell,CABYR,51,6,0.11764705882352941,0.6995232058268946
16030X3_HJTWLDMXX,Hemangioblast,CTCFL,142,1,0.007042253521126761,0.03104971473023117
16030X3_HJTWLDMXX,Dendritic cell,CTCFL,104,0,0.0,-0.03965206034260409
16030X3_HJTWLDMXX,Microglial cell,CTCFL,190,0,0.0,-0.03965206034260409
16030X3_HJTWLDMXX,Epithelial-mesenchymal cell,CTCFL,74,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Epithelial cell,CTCFL,212,1,0.0047169811320754715,-0.02497420078382438
16030X3_HJTWLDMXX,Monocyte,CTCFL,97,0,0.0,-0.03965206034260409
16030X3_HJTWLDMXX,Trophectoderm cell,CTCFL,91,4,0.04395604395604396,0.12175492082527377
16030X3_HJTWLDMXX,Fibroblast,CTCFL,14,0,0.0,-0.03965206034260409
16030X3_HJTWLDMXX,T cell,CTCFL,143,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Natural killer (NK) cell,CTCFL,55,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Basophil,CTCFL,137,0,0.0,-0.03965206034260409
16030X3_HJTWLDMXX,Erythrocyte,CTCFL,33,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Luminal progenitor cell,CTCFL,8,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Luminal epithelial cell,CTCFL,51,0,0.0,-0.03965206034260408
16030X3_HJTWLDMXX,Hemangioblast,HORMAD1,142,0,0.0,-0.05942317906866927
16030X3_HJTWLDMXX,Dendritic cell,HORMAD1,104,1,0.009615384615384616,-0.03352252669535855
16030X3_HJTWLDMXX,Microglial cell,HORMAD1,190,4,0.021052631578947368,0.07419408210726423
16030X3_HJTWLDMXX,Epithelial-mesenchymal cell,HORMAD1,74,1,0.013513513513513514,-0.03811922341747507
16030X3_HJTWLDMXX,Epithelial cell,HORMAD1,212,1,0.0047169811320754715,-0.054522709710289434
16030X3_HJTWLDMXX,Monocyte,HORMAD1,97,1,0.010309278350515464,0.044282214529976736
16030X3_HJTWLDMXX,Trophectoderm cell,HORMAD1,91,1,0.01098901098901099,-0.05412693382923049
16030X3_HJTWLDMXX,Fibroblast,HORMAD1,14,0,0.0,-0.059423179068669264
16030X3_HJTWLDMXX,T cell,HORMAD1,143,1,0.006993006993006993,0.01092243756817455
16030X3_HJTWLDMXX,Natural killer (NK) cell,HORMAD1,55,0,0.0,-0.0594231790686693
16030X3_HJTWLDMXX,Basophil,HORMAD1,137,0,0.0,-0.05942317906866927
16030X3_HJTWLDMXX,Erythrocyte,HORMAD1,33,0,0.0,-0.05942317906866928
16030X3_HJTWLDMXX,Luminal progenitor cell,HORMAD1,8,0,0.0,-0.05942317906866928
16030X3_HJTWLDMXX,Luminal epithelial cell,HORMAD1,51,0,0.0,-0.059423179068669285
16030X3_HJTWLDMXX,Hemangioblast,POTEE,142,67,0.47183098591549294,1.2635241106164654
16030X3_HJTWLDMXX,Dendritic cell,POTEE,104,1,0.009615384615384616,-0.326938969031192
16030X3_HJTWLDMXX,Microglial cell,POTEE,190,1,0.005263157894736842,-0.3331881266253261
16030X3_HJTWLDMXX,Epithelial-mesenchymal cell,POTEE,74,0,0.0,-0.3396595238744173
16030X3_HJTWLDMXX,Epithelial cell,POTEE,212,81,0.38207547169811323,0.02379824110747698
16030X3_HJTWLDMXX,Monocyte,POTEE,97,0,0.0,-0.3396595238744173
16030X3_HJTWLDMXX,Trophectoderm cell,POTEE,91,39,0.42857142857142855,0.05632913005277026
16030X3_HJTWLDMXX,Fibroblast,POTEE,14,0,0.0,-0.3396595238744172
16030X3_HJTWLDMXX,T cell,POTEE,143,0,0.0,-0.3396595238744173
16030X3_HJTWLDMXX,Natural killer (NK) cell,POTEE,55,0,0.0,-0.3396595238744172
16030X3_HJTWLDMXX,Basophil,POTEE,137,2,0.014598540145985401,-0.2724175243925742
