sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
16030X4_HJTWLDMXX,Retinoid acid signaling-responsive fetal germ cell,ARX,905,0,0.0,
16030X4_HJTWLDMXX,Luminal progenitor cell,ARX,565,0,0.0,
16030X4_HJTWLDMXX,Microglial cell,ARX,130,0,0.0,
16030X4_HJTWLDMXX,Granulosa cell,ARX,496,0,0.0,
16030X4_HJTWLDMXX,Epithelial cell,ARX,336,1,0.002976190476190476,10.0
16030X4_HJTWLDMXX,Decidual cell,ARX,1522,0,0.0,
16030X4_HJTWLDMXX,Mitotic arrest phase fetal germ cell,ARX,618,0,0.0,
16030X4_HJTWLDMXX,Trophoblast cell,ARX,307,0,0.0,
16030X4_HJTWLDMXX,Endothelial cell,ARX,235,0,0.0,
16030X4_HJTWLDMXX,Fibroblast,ARX,303,1,0.0033003300330033004,10.0
16030X4_HJTWLDMXX,Natural killer (NK) cell,ARX,283,0,0.0,
16030X4_HJTWLDMXX,Meiotic prophase fetal germ cell,ARX,61,1,0.01639344262295082,6.9206365537811685
16030X4_HJTWLDMXX,Retinoid acid signaling-responsive fetal germ cell,CSAG1,905,0,0.0,
16030X4_HJTWLDMXX,Luminal progenitor cell,CSAG1,565,0,0.0,
16030X4_HJTWLDMXX,Microglial cell,CSAG1,130,0,0.0,
16030X4_HJTWLDMXX,Granulosa cell,CSAG1,496,0,0.0,
16030X4_HJTWLDMXX,Epithelial cell,CSAG1,336,0,0.0,
16030X4_HJTWLDMXX,Decidual cell,CSAG1,1522,2,0.001314060446780552,10.0
16030X4_HJTWLDMXX,Mitotic arrest phase fetal germ cell,CSAG1,618,5,0.008090614886731391,6.7628948127081205
16030X4_HJTWLDMXX,Trophoblast cell,CSAG1,307,1,0.003257328990228013,10.0
16030X4_HJTWLDMXX,Endothelial cell,CSAG1,235,0,0.0,
16030X4_HJTWLDMXX,Fibroblast,CSAG1,303,4,0.013201320132013201,9.221982413924117
16030X4_HJTWLDMXX,Natural killer (NK) cell,CSAG1,283,2,0.007067137809187279,10.0
16030X4_HJTWLDMXX,Meiotic prophase fetal germ cell,CSAG1,61,0,0.0,
16030X4_HJTWLDMXX,Retinoid acid signaling-responsive fetal germ cell,CTCFL,905,3,0.0033149171270718232,10.0
16030X4_HJTWLDMXX,Luminal progenitor cell,CTCFL,565,2,0.0035398230088495575,10.0
16030X4_HJTWLDMXX,Microglial cell,CTCFL,130,0,0.0,
16030X4_HJTWLDMXX,Granulosa cell,CTCFL,496,2,0.004032258064516129,8.169703123090445
16030X4_HJTWLDMXX,Epithelial cell,CTCFL,336,2,0.005952380952380952,10.0
16030X4_HJTWLDMXX,Decidual cell,CTCFL,1522,0,0.0,
16030X4_HJTWLDMXX,Mitotic arrest phase fetal germ cell,CTCFL,618,3,0.0048543689320388345,8.244535087996859
16030X4_HJTWLDMXX,Trophoblast cell,CTCFL,307,4,0.013029315960912053,10.0
16030X4_HJTWLDMXX,Endothelial cell,CTCFL,235,2,0.00851063829787234,7.785088534774788
16030X4_HJTWLDMXX,Fibroblast,CTCFL,303,0,0.0,
16030X4_HJTWLDMXX,Natural killer (NK) cell,CTCFL,283,0,0.0,
16030X4_HJTWLDMXX,Meiotic prophase fetal germ cell,CTCFL,61,0,0.0,
16030X4_HJTWLDMXX,Retinoid acid signaling-responsive fetal germ cell,DDX43,905,0,0.0,
16030X4_HJTWLDMXX,Luminal progenitor cell,DDX43,565,0,0.0,
16030X4_HJTWLDMXX,Microglial cell,DDX43,130,1,0.007692307692307693,10.0
16030X4_HJTWLDMXX,Granulosa cell,DDX43,496,0,0.0,
16030X4_HJTWLDMXX,Epithelial cell,DDX43,336,0,0.0,
16030X4_HJTWLDMXX,Decidual cell,DDX43,1522,1,0.000657030223390276,10.0
16030X4_HJTWLDMXX,Mitotic arrest phase fetal germ cell,DDX43,618,0,0.0,
16030X4_HJTWLDMXX,Trophoblast cell,DDX43,307,0,0.0,
16030X4_HJTWLDMXX,Endothelial cell,DDX43,235,1,0.00425531914893617,10.0
16030X4_HJTWLDMXX,Fibroblast,DDX43,303,2,0.006600660066006601,8.1011802180486
16030X4_HJTWLDMXX,Natural killer (NK) cell,DDX43,283,0,0.0,
16030X4_HJTWLDMXX,Meiotic prophase fetal germ cell,DDX43,61,0,0.0,
16030X4_HJTWLDMXX,Retinoid acid signaling-responsive fetal germ cell,SSX1,905,0,0.0,
16030X4_HJTWLDMXX,Luminal progenitor cell,SSX1,565,1,0.0017699115044247787,10.0
16030X4_HJTWLDMXX,Microglial cell,SSX1,130,0,0.0,
16030X4_HJTWLDMXX,Granulosa cell,SSX1,496,2,0.004032258064516129,8.042342253211011
16030X4_HJTWLDMXX,Epithelial cell,SSX1,336,0,0.0,
16030X4_HJTWLDMXX,Decidual cell,SSX1,1522,0,0.0,
16030X4_HJTWLDMXX,Mitotic arrest phase fetal germ cell,SSX1,618,0,0.0,
16030X4_HJTWLDMXX,Trophoblast cell,SSX1,307,0,0.0,
16030X4_HJTWLDMXX,Endothelial cell,SSX1,235,0,0.0,
16030X4_HJTWLDMXX,Fibroblast,SSX1,303,0,0.0,
16030X4_HJTWLDMXX,Natural killer (NK) cell,SSX1,283,0,0.0,
16030X4_HJTWLDMXX,Meiotic prophase fetal germ cell,SSX1,61,0,0.0,
