sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Cancer7,Epithelial cell,COX6B2,537,4,0.0074487895716946,0.003275616123920203
Cancer7,Luminal epithelial cell,COX6B2,142,3,0.02112676056338028,0.03794605608014875
Cancer7,Plasma cell,COX6B2,612,0,0.0,-0.03221902557184931
Cancer7,CD4+ T cell,COX6B2,277,0,0.0,-0.03221902557184931
Cancer7,Dendritic cell,COX6B2,217,0,0.0,-0.0322190255718493
Cancer7,Mast cell,COX6B2,249,1,0.004016064257028112,0.008071010675427185
Cancer7,Endothelial cell,COX6B2,95,0,0.0,-0.03221902557184932
Cancer7,Lymphoid progenitor cell,COX6B2,349,0,0.0,-0.03221902557184931
Cancer7,CD8+ T cell,COX6B2,442,0,0.0,-0.03221902557184931
Cancer7,Natural killer (NK) cell,COX6B2,270,1,0.003703703703703704,0.004937341189527895
Cancer7,Natural killer T (NKT) cell,COX6B2,710,0,0.0,-0.032219025571849316
Cancer7,T cell,COX6B2,273,0,0.0,-0.03221902557184931
Cancer7,B cell,COX6B2,108,1,0.009259259259259259,0.06067189133159372
Cancer7,Luminal progenitor cell,COX6B2,336,0,0.0,-0.03221902557184931
Cancer7,Plasmacytoid dendritic cell,COX6B2,54,0,0.0,-0.03221902557184931
Cancer7,Epithelial cell,CTCFL,537,239,0.4450651769087523,0.9112028784651249
Cancer7,Luminal epithelial cell,CTCFL,142,104,0.7323943661971831,1.6374384612361972
Cancer7,Plasma cell,CTCFL,612,4,0.006535947712418301,-0.31246337104264305
Cancer7,CD4+ T cell,CTCFL,277,1,0.0036101083032490976,-0.3068216215475869
Cancer7,Dendritic cell,CTCFL,217,2,0.009216589861751152,-0.30906356931344137
Cancer7,Mast cell,CTCFL,249,0,0.0,-0.3218195424548803
Cancer7,Endothelial cell,CTCFL,95,0,0.0,-0.3218195424548802
Cancer7,Lymphoid progenitor cell,CTCFL,349,1,0.0028653295128939827,-0.29749245134693647
Cancer7,CD8+ T cell,CTCFL,442,2,0.004524886877828055,-0.29266127318849566
Cancer7,Natural killer (NK) cell,CTCFL,270,0,0.0,-0.32181954245488037
Cancer7,Natural killer T (NKT) cell,CTCFL,710,4,0.005633802816901409,-0.2928289262136772
Cancer7,T cell,CTCFL,273,3,0.01098901098901099,-0.2690411908270202
Cancer7,B cell,CTCFL,108,0,0.0,-0.32181954245488037
Cancer7,Luminal progenitor cell,CTCFL,336,224,0.6666666666666666,1.142863483458815
Cancer7,Plasmacytoid dendritic cell,CTCFL,54,1,0.018518518518518517,-0.2991146814261654
