sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Norm3,Basal epithelial cell,CAGE1,730,0,0.0,-0.03712223738239655
Norm3,Hemangioblast,CAGE1,538,1,0.0018587360594795538,-0.03399997750892366
Norm3,Luminal progenitor cell,CAGE1,165,0,0.0,-0.03712223738239654
Norm3,Natural killer (NK) cell,CAGE1,250,0,0.0,-0.03712223738239654
Norm3,T cell,CAGE1,185,0,0.0,-0.03712223738239655
Norm3,Granulocyte-monocyte progenitor,CAGE1,19,0,0.0,-0.037122237382396533
Norm3,Natural killer T (NKT) cell,CAGE1,365,2,0.005479452054794521,0.01787569268545218
Norm3,Fibroblast,CAGE1,475,1,0.002105263157894737,-0.019647845780921245
Norm3,CD4+ T cell,CAGE1,471,0,0.0,-0.03712223738239655
Norm3,B cell,CAGE1,31,1,0.03225806451612903,0.06302935064541597
Norm3,Dendritic cell,CAGE1,194,1,0.005154639175257732,0.014615506109265293
Norm3,CD8+ T cell,CAGE1,131,0,0.0,-0.03712223738239654
Norm3,Decidual cell,CAGE1,178,1,0.0056179775280898875,0.019266089793909053
Norm3,Endothelial cell,CAGE1,73,0,0.0,-0.03712223738239654
Norm3,Monocyte,CAGE1,111,0,0.0,-0.03712223738239655
Norm3,Epithelial cell,CAGE1,88,2,0.022727272727272728,0.14342712062729304
Norm3,Lymphoid progenitor cell,CAGE1,11,0,0.0,-0.03712223738239655
Norm3,Mesenchymal cell,CAGE1,35,0,0.0,-0.03712223738239654
Norm3,Basal epithelial cell,CCDC62,730,1,0.0013698630136986301,-0.022002856580447618
Norm3,Hemangioblast,CCDC62,538,1,0.0018587360594795538,-0.015321815927805182
Norm3,Luminal progenitor cell,CCDC62,165,0,0.0,-0.033972322102717285
Norm3,Natural killer (NK) cell,CCDC62,250,0,0.0,-0.033972322102717285
Norm3,T cell,CCDC62,185,0,0.0,-0.033972322102717285
Norm3,Granulocyte-monocyte progenitor,CCDC62,19,0,0.0,-0.03397232210271729
Norm3,Natural killer T (NKT) cell,CCDC62,365,2,0.005479452054794521,0.021008348155379757
Norm3,Fibroblast,CCDC62,475,1,0.002105263157894737,-0.013109290770318674
Norm3,CD4+ T cell,CCDC62,471,0,0.0,-0.033972322102717285
Norm3,B cell,CCDC62,31,0,0.0,-0.03397232210271729
Norm3,Dendritic cell,CCDC62,194,0,0.0,-0.033972322102717285
Norm3,CD8+ T cell,CCDC62,131,0,0.0,-0.033972322102717285
Norm3,Decidual cell,CCDC62,178,0,0.0,-0.033972322102717285
Norm3,Endothelial cell,CCDC62,73,1,0.0136986301369863,0.02402075427500117
Norm3,Monocyte,CCDC62,111,1,0.009009009009009009,0.05642382494325308
Norm3,Epithelial cell,CCDC62,88,2,0.022727272727272728,-0.0015732635237326422
Norm3,Lymphoid progenitor cell,CCDC62,11,0,0.0,-0.033972322102717285
Norm3,Mesenchymal cell,CCDC62,35,0,0.0,-0.03397232210271729
Norm3,Basal epithelial cell,CTCFL,730,1,0.0013698630136986301,-0.01965130610856413
Norm3,Hemangioblast,CTCFL,538,0,0.0,-0.03339568375754706
Norm3,Luminal progenitor cell,CTCFL,165,0,0.0,-0.03339568375754707
Norm3,Natural killer (NK) cell,CTCFL,250,0,0.0,-0.03339568375754707
Norm3,T cell,CTCFL,185,0,0.0,-0.03339568375754707
Norm3,Granulocyte-monocyte progenitor,CTCFL,19,0,0.0,-0.03339568375754707
Norm3,Natural killer T (NKT) cell,CTCFL,365,0,0.0,-0.03339568375754707
Norm3,Fibroblast,CTCFL,475,2,0.004210526315789474,0.008850192805642594
Norm3,CD4+ T cell,CTCFL,471,0,0.0,-0.033395683757547076
Norm3,B cell,CTCFL,31,0,0.0,-0.03339568375754707
Norm3,Dendritic cell,CTCFL,194,0,0.0,-0.03339568375754707
