group,names,scores,logfoldchanges,pvals,pvals_adj
0,FTL,48.766525,2.289378,0.0,0.0
0,SPP1,44.550606,3.3049414,0.0,0.0
0,RNASE1,34.67436,3.2264304,1.9186790365504974e-263,1.2791193577003315e-260
0,SAT1,31.108517,1.5606669,1.8474740071787054e-212,9.237370035893527e-210
0,C1QA,30.331053,2.0077124,4.4671558276368305e-202,1.786862331054732e-199
0,C1QB,25.956783,1.780539,1.5244050468473397e-148,5.081350156157799e-146
0,TMSB4X,25.884155,0.7278336,1.0043859663684054e-147,2.8696741896240154e-145
0,APOE,25.113249,1.6466141,3.564237673569305e-139,8.910594183923262e-137
0,APOC1,24.461859,2.8388658,3.7636476207698135e-132,8.363661379488475e-130
0,C15orf48,23.755707,2.3242114,9.592194164858803e-125,1.9184388329717605e-122
1,SLPI,8.803543,1.9705992,1.3256348884822966e-18,2.6512697769645932e-15
1,LCN2,8.555791,1.9178156,1.1706315095423303e-17,1.1706315095423303e-14
1,KRT18,8.049328,1.5310347,8.324998355478391e-16,5.54999890365226e-13
1,RARRES1,7.9764066,1.8345228,1.5065526440480438e-15,7.532763220240219e-13
1,LYPD2,7.923001,1.9735551,2.318464969806812e-15,9.273859879227247e-13
1,TACSTD2,7.851745,1.7101545,4.1028753703270406e-15,1.367625123442347e-12
1,CLDN10,7.417216,2.001454,1.1960814609762294e-13,3.4173756027892265e-11
1,MS4A6A,7.2155633,1.5122974,5.37111870162954e-13,1.342779675407385e-10
1,CCL3,7.171201,1.5417832,7.434257071893056e-13,1.652057127087346e-10
1,CP,7.043422,1.9158982,1.8757481988027196e-12,3.751496397605439e-10
10,NKG7,33.64192,5.8673315,4.092985505989024e-248,8.185971011978047e-245
10,KLRB1,31.614807,6.055657,2.311026485536145e-219,2.311026485536145e-216
10,KLRD1,28.893263,6.4822326,1.4508962201158152e-183,9.672641467438767e-181
10,CCL4,25.106428,3.784888,4.231160316610192e-139,2.115580158305096e-136
10,GNLY,24.479937,5.423158,2.4164331899105365e-132,9.665732759642146e-130
10,AREG,24.308964,3.5955958,1.5759609761951192e-130,5.25320325398373e-128
10,CTSW,23.54391,4.9723363,1.4493576506419495e-122,4.141021858976998e-120
10,BTG1,22.169403,1.9318805,6.780315626397176e-109,1.6950789065992939e-106
10,TRDC,21.828693,6.7297254,1.2391236618912966e-105,2.753608137536215e-103
10,GZMB,21.123398,4.3566318,4.8479084167569015e-99,9.695816833513802e-97
11,GZMB,17.667437,7.325134,7.471683414948119e-70,1.4943366829896237e-66
11,JCHAIN,17.626354,7.061417,1.5461915726016645e-69,1.5461915726016644e-66
11,GPR183,15.771707,4.3121476,4.871552081747689e-56,3.247701387831793e-53
11,IRF7,14.750607,4.8000546,3.0491232438754024e-49,1.5245616219377012e-46
11,AREG,13.989309,4.28541,1.8116334417156477e-44,7.246533766862591e-42
11,PLAC8,13.688032,5.0609975,1.1970764719171848e-42,3.990254906390616e-40
11,CD74,12.7723,2.2763824,2.3413327698334187e-37,6.689522199524053e-35
11,SERPINF1,12.730105,3.4658988,4.0229604290697816e-37,1.0057401072674454e-34
11,CLIC3,12.378974,4.893955,3.396589907369577e-35,7.547977571932395e-33
11,CXCR4,11.935861,2.7315154,7.695918609229795e-33,1.5391837218459589e-30
12,CD79A,23.16916,7.408141,9.319752372795492e-119,1.8639504745590982e-115
12,IGHM,20.437895,7.4491796,7.698958315974479e-93,7.6989583159744785e-90
12,BTG1,20.390049,2.5464709,2.04940517276191e-92,1.3662701151746067e-89
12,CD74,19.261,2.2408526,1.141550641583881e-82,5.707753207919405e-80
12,CXCR4,18.723843,2.8641174,3.164736758575324e-78,1.2658947034301297e-75
12,MALAT1,14.580599,0.98717374,3.732302078625318e-48,1.244100692875106e-45
12,MS4A1,14.526864,7.5960827,8.18843581207848e-48,2.33955308916528e-45
12,TXNIP,13.616532,2.9149225,3.193779777000972e-42,7.98444944250243e-40
12,HLA-DQB1,12.995983,1.7181422,1.2894000310934183e-38,2.5788000621868364e-36
12,IGKC,12.589487,1.2177781,2.412368593371185e-36,4.386124715220337e-34
13,CD74,35.683853,3.0563078,7.03790097556949e-279,1.407580195113898e-275
13,HLA-DPB1,35.52146,3.5686328,2.2924101619691977e-276,2.2924101619691977e-273
13,HLA-DQB1,34.805298,3.357502,2.0223912206303247e-265,1.3482608137535498e-262
13,HLA-DPA1,34.77011,3.5969863,6.884710180340819e-265,3.4423550901704094e-262
13,HLA-DRB1,34.055218,2.9778836,3.3973921791295143e-254,1.3589568716518056e-251
13,HLA-DQA1,33.99784,3.7669373,2.3977329216563716e-253,7.992443072187904e-251
13,CST3,30.536364,2.4375348,8.580041203802869e-205,2.451440343943677e-202
13,LYZ,28.509998,3.4933155,8.806286958928496e-179,2.201571739732124e-176
13,MS4A6A,25.013657,2.9684284,4.342460961698617e-138,9.64991324821915e-136
13,GPR183,23.642433,2.613632,1.4120071419686081e-123,2.8240142839372164e-121
14,LYZ,29.845524,4.176201,1.003488026325564e-195,2.006976052651128e-192
14,CST3,28.127449,2.352928,4.523645356263428e-174,4.523645356263428e-171
14,SAT1,26.733717,2.1489198,1.9096914288310106e-157,1.2731276192206736e-154
14,FTL,23.995695,1.345468,3.0839304310903018e-127,1.541965215545151e-124
14,HLA-DRB1,21.583422,1.8776624,2.5711323819250894e-103,1.0284529527700358e-100
14,CD74,20.865948,1.7390469,1.092066634924259e-96,3.6402221164141964e-94
14,FCN1,20.676332,5.3844,5.658230656605917e-95,1.6166373304588333e-92
14,AREG,20.22376,2.941744,6.049220864486722e-91,1.5123052161216803e-88
14,OLR1,19.139414,2.915508,1.1859723891163916e-81,2.635494198036426e-79
14,S100A9,19.08331,3.5659935,3.475366201557852e-81,6.950732403115704e-79
15,IL32,32.619656,3.610657,2.1590672631486653e-233,4.318134526297331e-230
15,LTB,32.528725,4.6775937,4.1865433526405464e-232,4.186543352640546e-229
15,TRAC,30.58085,4.329305,2.200087430595823e-205,1.4667249537305487e-202
15,HLA-A,28.996593,1.805971,7.263719871002822e-185,3.6318599355014114e-182
15,CD2,25.364471,3.8815362,6.2226199177563925e-142,2.489047967102557e-139
15,TNFRSF18,23.591116,5.325881,4.7547272103775535e-123,1.5849090701258512e-120
15,BTG1,23.259792,1.9213017,1.132364357673154e-119,3.235326736209011e-117
15,CD3D,22.306469,3.4601946,3.19763814436567e-110,7.994095360914175e-108
15,TNFRSF4,22.212814,5.0255413,2.5824983092288984e-109,5.738885131619774e-107
15,CD27,21.425156,4.285581,7.787509983123286e-102,1.557501996624657e-99
16,IGFBP7,20.315931,6.444743,9.297010912668681e-92,1.8594021825337362e-88
16,RGS5,18.827288,8.315205,4.5128334045302914e-79,4.5128334045302914e-76
16,SPARCL1,18.075481,5.778378,4.9720335167267876e-73,3.3146890111511915e-70
16,CALD1,17.645256,3.6703057,1.1067184019966455e-69,5.533592009983228e-67
16,NDUFA4L2,17.42535,5.59246,5.298353534249974e-68,2.1193414136999897e-65
16,SPARC,16.939552,4.0999994,2.2986938226187944e-64,7.662312742062648e-62
16,BGN,16.804445,4.243779,2.2641919738573776e-63,6.469119925306793e-61
16,TPPP3,16.523956,5.3277,2.4667671216831572e-61,6.166917804207893e-59
