celltype_leiden_res_1.0,BRDT,PAGE5,PAGE2,SLCO6A1,ADAM29,PBK,CAGE1,ARX,SPAG6
Activated T cells,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0038910505836575876,0.0
B cells,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0
CAF,0.0,0.0005671077504725897,0.0001890359168241966,0.0001890359168241966,0.0,0.004914933837429111,0.0013232514177693763,0.0005671077504725897,0.0001890359168241966
Cycling tumor,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0
Endothelial,0.0,0.003205128205128205,0.0,0.0,0.0,0.016025641025641024,0.0016025641025641025,0.0,0.0
Erythroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mast cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.000462962962962963,0.0,0.0,0.0,0.004166666666666667,0.000462962962962963,0.0,0.0
NK cells,0.002105263157894737,0.0,0.0,0.0,0.002105263157894737,0.0,0.002105263157894737,0.0,0.0
Perivascular,0.0,0.0,0.0,0.0,0.0,0.023222060957910014,0.0,0.0,0.0
Plasma cells,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.012,0.0
T cells,0.0012594458438287153,0.0022670025188916876,0.0005037783375314861,0.00025188916876574307,0.00025188916876574307,0.0027707808564231737,0.0,0.00025188916876574307,0.00025188916876574307
Tumor epithelial,0.0,0.008995502248875561,0.013493253373313344,0.0014992503748125937,0.0014992503748125937,0.046476761619190406,0.0014992503748125937,0.0,0.004497751124437781
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
