celltype_leiden_res_1.0,BRDT,PAGE5,PAGE2,SLCO6A1,ADAM29,PBK,CAGE1,ARX,SPAG6
Activated T cells,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,-0.03594707796256564,-0.0256560162287377,0.017721069461949148,-0.013007826085632637
B cells,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,0.11048280638553691,-0.07514999623585691,-0.0256560162287377,-0.021272207610465114,-0.013007826085632637
CAF,-0.01985572712462923,-0.026196471693559605,-0.018077810302971786,-0.010519953300494994,-0.014700955558949964,-0.03261269363692282,-0.012389552691194945,-0.015589066471933657,-0.011115007971060683
Cycling tumor,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,2.679092428639325,-0.0256560162287377,-0.021272207610465114,-0.013007826085632637
Endothelial,-0.01985572712462923,-0.009642227700239866,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,0.013397350323928348,-0.009589259792473695,-0.021272207610465114,-0.013007826085632637
Erythroid,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,-0.07514999623585691,-0.0256560162287377,-0.021272207610465114,-0.013007826085632637
Mast cells,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,-0.07514999623585691,-0.0256560162287377,-0.021272207610465114,-0.013007826085632637
Myeloid,-0.01985572712462923,-0.02724124029100296,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,-0.04063459394692189,-0.021014508813816987,-0.021272207610465114,-0.013007826085632637
NK cells,0.0012387059851068308,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,0.00638262540012151,-0.07514999623585691,-0.004549371984045619,-0.021272207610465114,-0.013007826085632637
Perivascular,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093687,-0.014700955558949964,0.09169241987679169,-0.025656016228737703,-0.021272207610465114,-0.013007826085632637
Plasma cells,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093688,-0.014700955558949964,-0.029729938680571947,-0.0256560162287377,0.09898305888086047,-0.013007826085632637
T cells,-0.007236261473338765,-0.009143321790705825,-0.014924100077619198,-0.009890640605101976,-0.012178360859816727,-0.04723396350069459,-0.0256560162287377,-0.01874795768411487,-0.010485657867475046
Tumor epithelial,-0.01985572712462923,0.02645201973044608,0.10372825945863683,0.0025984545245511287,0.0003135886023078323,0.17676182460584286,-0.010625047688664629,-0.021272207610465114,0.030221435253632245
Unknown,-0.01985572712462923,-0.03188563178720074,-0.019971944886126063,-0.012412658907093687,-0.014700955558949964,-0.07514999623585691,0.09811751483581463,-0.021272207610465114,-0.013007826085632637
