celltype_leiden_res_1.0,MAGEB2,GAGE2A,SSX1,IL13RA2,CCDC36,SYCE1,PBK,TMEFF2
B cells,0.0,0.0,0.0,0.043010752688172046,0.0,0.0,0.021505376344086023,0.0
CAF,0.003013344812742144,0.0008609556607834697,0.0012914334911752045,0.012914334911752045,0.011192423590185106,0.0,0.04735256134309083,0.0017219113215669393
Endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.008620689655172414
Mast cells,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0
Myeloid,0.0006353240152477764,0.0006353240152477764,0.0006353240152477764,0.0019059720457433292,0.0012706480304955528,0.0,0.012706480304955527,0.0006353240152477764
NK cells,0.0,0.0,0.007017543859649123,0.0035087719298245615,0.03859649122807018,0.0,0.056140350877192984,0.0
Perivascular,0.0,0.0,0.005194805194805195,0.0025974025974025974,0.0,0.0,0.01818181818181818,0.0
Plasma cells,0.0,0.003968253968253968,0.0,0.0,0.007936507936507936,0.0,0.007936507936507936,0.003968253968253968
T cells,0.0,0.0,0.0011634671320535194,0.0029086678301337987,0.0017452006980802793,0.0029086678301337987,0.012216404886561954,0.0005817335660267597
Tumor epithelial,0.00510204081632653,0.0,0.0,0.007653061224489796,0.030612244897959183,0.0,0.3239795918367347,0.01020408163265306
Unknown,0.0,0.0,0.0,0.09523809523809523,0.0,0.023809523809523808,0.023809523809523808,0.0
