celltype_leiden_res_1.0,MAGEB2,GAGE2A,SSX1,IL13RA2,CCDC36,SYCE1,PBK,TMEFF2
B cells,-0.025405764911559162,-0.018517776436624212,-0.028448226066991607,0.365407928067883,-0.06430159716011558,-0.027472571704150853,-0.09333496878921435,-0.03120313235784292
CAF,-0.00037411530734027325,-0.010495288074851394,-0.018027543150048057,0.008808181485662413,0.003652579785307558,-0.027472571704150853,-0.05493274616764558,-0.013930290115298201
Endothelial,-0.025405764911559155,-0.018517776436624212,-0.028448226066991607,-0.06717219460213487,-0.06430159716011558,-0.027472571704150853,0.06652530145324605,0.05527275671420745
Mast cells,-0.02540576491155916,-0.018517776436624212,-0.028448226066991607,-0.06717219460213487,-0.06430159716011558,-0.027472571704150857,1.312722371130792,-0.031203132357842916
Myeloid,-0.019036383866507342,-0.012152771496067272,-0.022076912073302285,-0.04798444581953869,-0.05151341215737083,-0.027472571704150853,-0.06937431263240118,-0.02483006810602726
NK cells,-0.02540576491155916,-0.018517776436624212,0.02829355324368526,-0.04395332553913518,0.17609797904006408,-0.027472571704150853,-0.04587276599882142,-0.031203132357842913
Perivascular,-0.02540576491155916,-0.018517776436624212,0.015745824469252195,-0.05294770995531518,-0.06430159716011558,-0.027472571704150853,-0.06486582713220995,-0.031203132357842916
Plasma cells,-0.02540576491155916,0.021238246485743344,-0.028448226066991607,-0.06717219460213487,-0.0020443264555837217,-0.027472571704150853,-0.12515993267699319,0.008603229278497729
T cells,-0.02540576491155916,-0.018517776436624212,-0.01859815344001726,-0.05180107342358814,-0.051179296798639605,0.001694015182714041,-0.12022125303637132,-0.025617590131705642
Tumor epithelial,0.01902631743040901,-0.018517776436624212,-0.02844822606699161,0.009872490560636566,0.1289450690240591,-0.027472571704150853,1.1841062282470065,0.03003213473101849
Unknown,-0.025405764911559155,-0.018517776436624212,-0.028448226066991607,0.7323112095625303,-0.06430159716011558,0.21127677524118604,-0.14146198412890668,-0.031203132357842916
