celltype_leiden_res_1.0,CSAG1,COX6B2,OIP5,ELOVL4
B cells,0.0,0.0,0.0,0.0
CAF,0.0026041666666666665,0.03125,0.09895833333333333,0.0546875
Cycling tumor,0.0,0.0,0.0056657223796034,0.0
Endothelial,0.0,0.004166666666666667,0.0,0.0
Epithelial (stress/EMT),0.001388888888888889,0.0,0.006944444444444444,0.0006944444444444445
Myeloid,0.0,0.0,0.16071428571428573,0.0
NK cells,0.0,0.0,0.0,0.002793296089385475
Plasma cells,0.0,0.0,0.08823529411764706,0.0
T cells,0.0,0.0011001100110011,0.0011001100110011,0.0022002200220022
Tumor epithelial,0.0,0.0012658227848101266,0.0,0.006329113924050633
Unknown,0.0,0.0056925996204933585,0.011385199240986717,0.007590132827324478
