celltype_leiden_res_1.0,CSAG1,COX6B2,OIP5,ELOVL4
B cells,-0.02162641005451054,-0.03952831990748423,-0.09615718062521161,-0.05978939770177415
CAF,0.004471575388339748,0.1119725496720767,0.17212996085151533,0.19193229095848333
Cycling tumor,-0.02162641005451054,-0.039528319907484226,-0.0651237390437642,-0.059789397701774154
Endothelial,-0.02162641005451054,0.002303048092130292,-0.09615718062521163,-0.05978939770177415
Epithelial (stress/EMT),-0.007707484484990388,-0.039528319907484226,-0.03828623008349692,-0.05369775863363316
Myeloid,-0.02162641005451054,-0.039528319907484226,1.4151872607861022,-0.05978939770177415
NK cells,-0.02162641005451054,-0.039528319907484226,-0.09615718062521164,-0.04213130372393279
Plasma cells,-0.02162641005451054,-0.039528319907484226,0.45613443949372223,-0.05978939770177415
T cells,-0.02162641005451054,-0.028483734297024946,-0.08505029703816519,-0.03765564765182525
Tumor epithelial,-0.021626410054510537,-0.026820056211398803,-0.09615718062521164,0.0038801554482370826
Unknown,-0.02162641005451054,0.005690238438346113,-0.019757529132584117,0.0030862603890315274
