celltype_leiden_res_1.0,BRDT,PAGE5,PAGE4,SPA17,DSCR8,CTCFL,TEX15,FATE1,CT45A1,COX6B2,CCDC33,CCDC36,OIP5,PLAC1,PRAME,SPAG6,GAGE12E
B cells,0.0,0.0,0.011627906976744186,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
CAF,0.0,0.0,0.014218009478672985,0.061611374407582936,0.0,0.009478672985781991,0.0,0.0,0.0,0.009478672985781991,0.004739336492890996,0.0,0.009478672985781991,0.004739336492890996,0.03317535545023697,0.0,0.0
CD8 T cells,0.007633587786259542,0.0,0.006361323155216285,0.002544529262086514,0.001272264631043257,0.001272264631043257,0.0,0.0,0.001272264631043257,0.002544529262086514,0.0,0.0,0.005089058524173028,0.0,0.008905852417302799,0.0,0.0
Cycling tumor,0.0,0.0022675736961451248,0.13151927437641722,0.036281179138321996,0.0,0.09750566893424037,0.0022675736961451248,0.0,0.013605442176870748,0.0022675736961451248,0.03854875283446712,0.0,0.14965986394557823,0.006802721088435374,0.1360544217687075,0.0,0.0
Endothelial,0.0,0.0,0.011494252873563218,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.011494252873563218,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0
IFN-response,0.0,0.020833333333333332,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.0,0.014124293785310734,0.005649717514124294,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.01694915254237288,0.002824858757062147,0.014124293785310734,0.005649717514124294,0.0
NK cells,0.0,0.0,0.017857142857142856,0.005952380952380952,0.0,0.011904761904761904,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.005952380952380952,0.0,0.011904761904761904,0.0,0.0
Perivascular,0.0,0.0,0.0,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,0.0
Plasma cells,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0
T cells,0.004816955684007707,0.0038535645472061657,0.007707129094412331,0.005780346820809248,0.0,0.0038535645472061657,0.0,0.0,0.0009633911368015414,0.0019267822736030828,0.0,0.0,0.009633911368015413,0.0,0.009633911368015413,0.0,0.0
Tumor epithelial,0.0021645021645021645,0.0,0.1774891774891775,0.050865800865800864,0.005411255411255411,0.09199134199134198,0.0021645021645021645,0.0,0.012987012987012988,0.006493506493506494,0.07034632034632035,0.003246753246753247,0.06277056277056277,0.007575757575757576,0.2662337662337662,0.0021645021645021645,0.005411255411255411
pDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
