gene,fraction_expressing,mean_expression
BRDT,0.002979601191840477,-0.0231806361767827
PAGE5,0.0013752005500802201,-0.02236999114213318
PAGE4,0.057300022920009165,1.2214234513409927e-17
SPA17,0.021544808617923447,-0.012462425798798402
DSCR8,0.0016044006417602567,-0.018720358225709263
CTCFL,0.03300481320192528,-0.004440593878805271
TEX15,0.0006876002750401101,-0.012551737701304248
FATE1,0.0009168003667201467,-0.0172880854208882
CT45A1,0.0045840018336007335,-0.019170101851281304
COX6B2,0.0032088012835205133,-0.021696144494909676
CCDC33,0.019482007792803117,-0.013850275306421696
CCDC36,0.0009168003667201467,-0.01612587544491598
OIP5,0.0343800137520055,-0.003487799582389358
PLAC1,0.002979601191840477,-0.019163381382699823
PRAME,0.07884483153793262,-1.9542775221455885e-17
SPAG6,0.0009168003667201467,-0.015056862644107511
GAGE12E,0.0011460004584001834,-0.01791602024465638
