celltype_leiden_res_1.0,BRDT,PAGE5,PAGE4,SPA17,DSCR8,CTCFL,TEX15,FATE1,CT45A1,COX6B2,CCDC33,CCDC36,OIP5,PLAC1,PRAME,SPAG6,GAGE12E
B cells,-0.05018621130278904,-0.036171740039735376,-0.15088018123410613,-0.1163514585464003,-0.03220783407686069,-0.11097648724491208,-0.01902552191197986,-0.025257708934588598,-0.053641286217526465,-0.046608304540855516,-0.10846023979342667,-0.02370897162407032,-0.15588820811273332,-0.04197228832367743,-0.13194288475745014,-0.0237166719934826,-0.028028971010180582
CAF,-0.050186211302789045,-0.036171740039735376,-0.187204864195506,0.10489086074324477,-0.03220783407686069,-0.11824859725919913,-0.01902552191197986,-0.025257708934588598,-0.05364128621752647,0.028889135998521023,-0.09575635530154557,-0.023708971624070315,-0.13269709750419315,-0.012435699966462255,-0.16892864350191475,-0.0237166719934826,-0.028028971010180582
CD8 T cells,0.026532767409445993,-0.036171740039735376,-0.16876746713559246,-0.09061010623457741,-0.019444210878289618,-0.1458767950484372,-0.01902552191197986,-0.025257708934588594,-0.04085039399587567,-0.02104441572522992,-0.10846023979342667,-0.02370897162407032,-0.11752461967401401,-0.04197228832367743,-0.19378634077636428,-0.0237166719934826,-0.028028971010180582
Cycling tumor,-0.05018621130278904,-0.013413980992026226,0.38475202537110464,0.10191435076864558,-0.03220783407686069,0.4264897495816818,0.0036933568225144264,-0.025257708934588594,0.05278892192552749,-0.023826879814005497,0.14098868536579362,-0.023708971624070315,0.6334131987600531,0.014542272502629412,0.29275027658766734,-0.0237166719934826,-0.028028971010180582
Endothelial,-0.05018621130278904,-0.036171740039735376,-0.15518351594326724,0.18113689284064113,-0.03220783407686069,-0.15440315852048114,-0.01902552191197986,0.32044083275281104,-0.05364128621752647,-0.0466083045408555,-0.038381665169463904,0.09150607402678107,-0.15588820811273332,-0.04197228832367743,-0.2027557040136976,-0.023716671993482596,-0.028028971010180582
IFN-response,-0.05018621130278903,0.17291517121109246,-0.20764808584184688,-0.11635145854640032,-0.03220783407686069,0.15217646248629066,-0.01902552191197986,-0.025257708934588594,-0.05364128621752647,-0.04660830454085551,-0.10846023979342667,-0.023708971624070315,-0.15588820811273332,-0.04197228832367742,-0.24460150188146615,-0.0237166719934826,-0.028028971010180582
Myeloid,-0.05018621130278904,-0.036171740039735376,-0.15539745450874345,-0.08836305710092902,-0.03220783407686069,-0.10999411194454652,-0.01902552191197986,-0.025257708934588598,-0.053641286217526465,-0.04660830454085551,-0.09871333970737341,-0.02370897162407031,-0.06523118512414765,-0.01360513496683088,-0.20084492903030915,0.03291449564489866,-0.028028971010180582
NK cells,-0.05018621130278903,-0.036171740039735376,-0.08668002665820598,-0.05613508081695745,-0.03220783407686069,-0.0637950764984562,-0.01902552191197986,-0.025257708934588594,-0.05364128621752647,0.013192935367125775,-0.10846023979342669,-0.023708971624070315,-0.12550521445507382,-0.04197228832367743,-0.1980991509314223,-0.0237166719934826,-0.028028971010180585
Perivascular,-0.05018621130278904,-0.036171740039735376,-0.20764808584184688,0.16697727860703815,0.11752661120786857,-0.09307800011827808,-0.01902552191197986,0.04482728007244199,-0.05364128621752647,-0.04660830454085551,-0.10846023979342667,-0.023708971624070315,-0.14252211195448472,0.10790789508413864,-0.20119192171207742,-0.0237166719934826,-0.028028971010180582
Plasma cells,-0.05018621130278904,-0.036171740039735376,-0.1586122566081606,-0.05339520671502289,-0.03220783407686069,-0.15440315852048114,-0.01902552191197986,-0.02525770893458859,-0.053641286217526465,-0.04660830454085551,-0.10846023979342667,-0.023708971624070315,0.03366652022652836,-0.04197228832367743,-0.24460150188146615,-0.0237166719934826,-0.02802897101018058
T cells,-0.0017749097069181864,0.002503295567354165,-0.16925756192105784,-0.061742026043029016,-0.03220783407686069,-0.13363446335962348,-0.01902552191197986,-0.025257708934588594,-0.043955697309802456,-0.02725067774983267,-0.10846023979342667,-0.023708971624070315,-0.0844660758787292,-0.04197228832367743,-0.19364604356588916,-0.0237166719934826,-0.028028971010180582
Tumor epithelial,-0.04231470053392,-0.036171740039735376,0.34911218400865596,0.06269571772439068,0.00976342292575826,0.17567011227843557,0.0006996891153639861,-0.025257708934588594,0.03656950710109454,-0.011454468502535071,0.20598623294580715,0.0012491881789884567,0.017571905169937313,0.010274654251067411,0.4789398376241855,-0.004522608305888924,0.019722981576380135
pDC,-0.05018621130278904,-0.036171740039735376,-0.20764808584184688,-0.1163514585464003,-0.03220783407686069,-0.15440315852048114,-0.01902552191197986,-0.025257708934588594,-0.05364128621752647,-0.04660830454085551,-0.10846023979342667,-0.023708971624070315,-0.15588820811273332,-0.04197228832367743,-0.04215511063869583,-0.0237166719934826,-0.02802897101018058
