gene,fraction_expressing,mean_expression
XAGE2,0.00515033407572383,-0.010235430184392425
XAGE3,0.0004175946547884187,-0.014855974937300535
PAGE2,0.00013919821826280623,-0.010727583047618297
IL13RA2,0.030414810690423164,0.00945044162393588
CTCFL,0.06660634743875278,0.055038251566386316
ZNF165,0.02032293986636971,0.015091936617992656
CCDC62,0.003549554565701559,-0.02074811532632846
CEP55,0.2874443207126949,0.043053239803646504
TMEFF2,0.045169821826280626,0.04259808753441946
ATAD2,0.40151726057906456,0.009510595142766715
