celltype_leiden_res_1.0,XAGE2,XAGE3,PAGE2,IL13RA2,CTCFL,ZNF165,CCDC62,CEP55,TMEFF2,ATAD2
Cycling tumor,-0.029539412778590898,-0.012809126244816362,-0.01212125248699566,-0.15182761814290624,-0.18256061519160183,0.226123421681565,-0.04297557178144852,0.6910003823833274,-0.09101777033879833,0.6413215730397831
Hypoxic tumor,-0.06082306659262268,-0.00770611692233775,-0.006458287977670437,0.3993481061678876,-0.17070160955989763,-0.11789228594914321,-0.04410741059537385,-0.028389880478833958,-0.14044447263883883,-0.2242068156036707
Secretory tumor,-0.0043123378416745186,-0.013788803318609556,-0.01212125248699566,-0.15269322153910284,-0.21038272889808943,-0.02000975768338403,-0.02152134784039582,-0.35949066305315175,-0.18011587159723802,-0.3627212329714578
Transitional tumor state,0.03938328127285089,-0.019039872434141077,-0.01212125248699566,-0.14804101811727968,-0.15911745754594792,0.41630268070920234,0.016707383398671873,0.49233917257173554,-0.18220501048571708,0.40724089822195697
Tumor (IFN-response),-0.030568910014480154,-0.016483342739720522,-0.00956648819700153,0.1776712198791233,0.6456409361309954,-0.06021787068543328,-0.015082485248815537,0.13487033942678653,0.533900139369584,-0.1947595539201072
Tumor epithelial,0.019203113026590213,-0.019039872434141077,-0.01212125248699566,-0.14380927388759704,-0.1288531491134111,-0.11439419995053328,-0.019777171356458418,-0.2501242376588602,-0.10036283529090251,-0.236049122152674
Tumor epithelial (classical),-0.04407811554886838,-0.01027430824128531,-0.01212125248699566,-0.15449707395120396,-0.1985554375239371,0.25092854367800677,-0.02029260103166513,0.0554452799816434,-0.17782004872547094,1.2279488396716767
Tumor epithelial (mixed stromal),-0.06082306659262269,-0.019039872434141077,-0.01212125248699566,0.05891841653220855,-0.1484748334565249,-0.12096377954524443,-0.055482390675323304,-0.06859513470042052,-0.11696882375092772,-0.10389109738870969
Tumor epithelial (ribosomal),0.08038146767534395,-0.019039872434141077,-0.01212125248699566,-0.1421527067220561,-0.18846564730142798,-0.1097592656284519,-0.020199996322076554,-0.2915585492035121,-0.1768532263649713,-0.34864388390005624
Tumor epithelial (stress-responsive),0.35842626872087374,-0.019039872434141077,-0.01212125248699566,-0.11136763014411653,0.22007642827774426,0.019352156613879918,0.10002116079287231,-0.3105712766057082,-0.18220501048571705,-0.3970480713787103
