group,names,scores,logfoldchanges,pvals,pvals_adj
0,TPX2,36.30434,3.0646615,1.3818624735043567e-288,2.7637249470087133e-285
0,CENPF,35.723305,3.200584,1.7187751420953697e-279,1.7187751420953698e-276
0,AKAP12,33.70113,2.4094453,5.564801032640823e-249,2.7824005163204117e-246
0,UBE2S,31.122229,2.113659,1.2053285346380127e-212,4.8213141385520506e-210
0,IGF2,30.94149,3.0626676,3.306937695055264e-210,1.1023125650184213e-207
0,KRT81,30.25489,3.5829368,4.4991144472372405e-201,1.2854612706392115e-198
0,RPS21,30.19668,1.53362,2.6186289758253405e-200,6.546572439563351e-198
0,PRR11,29.570354,2.2876804,3.595645499781742e-192,7.990323332848317e-190
0,HMMR,26.724298,2.6180031,2.4572649380635514e-157,3.5103784829479306e-155
0,CENPE,26.087486,2.6631043,5.05602809846833e-150,6.741370797957774e-148
1,RPS21,36.130726,1.6930586,7.470852109402953e-286,7.470852109402953e-283
1,IGF2,35.467884,3.3563209,1.5377109887108966e-275,1.0251406591405977e-272
1,AKAP12,35.36426,2.3274915,6.052852948475139e-274,3.026426474237569e-271
1,KRT81,34.76239,3.9708767,9.007689555543214e-265,3.6030758222172857e-262
1,H4C3,33.09226,2.4590573,3.840624209284391e-240,1.2802080697614638e-237
1,ENSG00000223367,28.481821,0.8346853,1.9675397464994197e-178,3.93507949299884e-176
1,KRT18,27.649124,1.4367551,2.859262653206893e-168,4.3988656203182976e-166
1,KISS1,27.094627,3.0492015,1.1391577837723637e-161,1.4239472297154545e-159
1,ENSG00000237550,27.00498,1.5188055,1.2917093900143797e-160,1.5196581058992702e-158
1,SOX11,26.836308,2.7147548,1.2187626347244808e-158,1.3541807052494232e-156
10,RPS21,12.221469,1.4793769,2.3873163241331367e-34,4.774632648266273e-31
10,KRT81,10.750627,2.933583,5.886024242960901e-27,5.886024242960901e-24
10,COL1A1,10.528481,2.2642655,6.385695386313238e-26,4.2571302575421584e-23
10,ENSG00000223367,9.688248,0.71566945,3.3828144094181024e-22,1.691407204709051e-19
10,CCDC80,9.601657,1.6968306,7.866932538314758e-22,3.146773015325903e-19
10,IGF2,9.368886,2.212127,7.330209131665186e-21,2.1907557475997778e-18
10,MT-CO2,9.364134,0.53756696,7.667645116599222e-21,2.1907557475997778e-18
10,RPS2,9.286658,0.6713868,1.5920892398739817e-20,3.980223099684954e-18
10,IGFBP4,8.783082,1.6380496,1.590555999006268e-18,3.35273518297879e-16
10,TGFBI,8.777172,1.3864394,1.676367591489395e-18,3.35273518297879e-16
11,DIRAS3,39.67125,4.7406783,0.0,0.0
11,IGFBP4,35.974915,3.124273,2.06451820912456e-283,2.06451820912456e-280
11,BNIP3,34.768646,2.3740928,7.245225447631464e-265,4.8301502984209764e-262
11,ENSG00000288299,34.73161,1.9914138,2.6268894822909024e-264,1.3134447411454512e-261
11,PGK1,34.469975,1.8757107,2.2610574228813883e-260,9.044229691525552e-258
11,VIM,33.552296,1.80691,8.335440775262546e-247,2.7784802584208485e-244
11,ANXA10,33.51033,3.5779283,3.408322551754931e-246,9.738064433585517e-244
11,TIMP1,33.014492,3.4067025,5.032188272138735e-239,1.2580470680346836e-236
11,ENO1,32.516823,1.6611401,6.1682861028409164e-232,1.3707302450757593e-229
11,SERPINE1,32.341488,2.4562178,1.827567252976162e-229,3.6551345059523235e-227
12,FN1,16.741005,3.511775,6.586751765493734e-63,1.3173503530987469e-59
12,PTGS2,12.381728,3.0977395,3.281999380011616e-35,3.281999380011616e-32
12,RPS2,11.267643,0.8044754,1.895763799969184e-29,1.2638425333127893e-26
12,TPT1,10.953063,1.3619344,6.423822178517185e-28,3.2119110892585923e-25
12,ENSG00000288411,10.371004,2.0142593,3.3597409340391813e-25,1.3438963736156725e-22
