sample_id,predicted_cell_type,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,Proliferative cell,ACRBP,ACRBP,2062,2,0.0009699321047526673,-0.03920999330205912
mtab_tumors,Pericyte,ACRBP,ACRBP,1216,0,0.0,-0.048956799120798984
mtab_tumors,Columnar epithelial cell,ACRBP,ACRBP,1701,9,0.005291005291005291,0.004212284472432777
mtab_tumors,Meiotic prophase fetal germ cell,ACRBP,ACRBP,1730,13,0.007514450867052023,0.024559382403646784
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),ACRBP,ACRBP,598,0,0.0,-0.048956799120798984
mtab_tumors,Neutrophil,ACRBP,ACRBP,515,0,0.0,-0.048956799120798984
mtab_tumors,Granulosa cell,ACRBP,ACRBP,198,0,0.0,-0.048956799120799
mtab_tumors,Fibroblast,ACRBP,ACRBP,1260,1,0.0007936507936507937,-0.04098143658181422
mtab_tumors,Endothelial cell,ACRBP,ACRBP,519,2,0.0038535645472061657,-0.010232495463300698
mtab_tumors,Myeloid cell,ACRBP,ACRBP,639,0,0.0,-0.048956799120798984
mtab_tumors,Progenitor cell,ACRBP,ACRBP,237,0,0.0,-0.04895679912079899
mtab_tumors,Epithelial cell,ACRBP,ACRBP,1431,0,0.0,-0.048956799120798984
mtab_tumors,Natural killer cell,ACRBP,ACRBP,1427,2,0.001401541695865452,-0.03487276716688056
mtab_tumors,Cycling cell,ACRBP,ACRBP,351,0,0.0,-0.048956799120799
mtab_tumors,Pre-tubular aggregate cell,ACRBP,ACRBP,1809,4,0.002211166390270868,-0.027209891843449626
mtab_tumors,Granulocyte,ACRBP,ACRBP,2271,15,0.0066050198150594455,0.017416759658070238
mtab_tumors,Proliferative cell,ATAD2,ATAD2,2062,1170,0.5674102812803103,0.1356285492113715
mtab_tumors,Pericyte,ATAD2,ATAD2,1216,389,0.3199013157894737,-0.11079529923659927
mtab_tumors,Columnar epithelial cell,ATAD2,ATAD2,1701,368,0.21634332745443857,-0.46358371254134256
mtab_tumors,Meiotic prophase fetal germ cell,ATAD2,ATAD2,1730,805,0.4653179190751445,0.0842147854538333
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),ATAD2,ATAD2,598,189,0.31605351170568563,-0.3284918337499545
mtab_tumors,Neutrophil,ATAD2,ATAD2,515,149,0.28932038834951457,-0.31507434628419895
mtab_tumors,Granulosa cell,ATAD2,ATAD2,198,66,0.3333333333333333,-0.27882206017310174
mtab_tumors,Fibroblast,ATAD2,ATAD2,1260,315,0.25,-0.39558705013851375
mtab_tumors,Endothelial cell,ATAD2,ATAD2,519,322,0.6204238921001927,0.1938564566673631
mtab_tumors,Myeloid cell,ATAD2,ATAD2,639,169,0.2644757433489828,-0.3745926609000315
mtab_tumors,Progenitor cell,ATAD2,ATAD2,237,150,0.6329113924050633,0.30134858724504776
mtab_tumors,Epithelial cell,ATAD2,ATAD2,1431,1034,0.7225716282320056,0.9494673570181913
mtab_tumors,Natural killer cell,ATAD2,ATAD2,1427,1018,0.713384723195515,0.8984888034108155
mtab_tumors,Cycling cell,ATAD2,ATAD2,351,293,0.8347578347578347,0.9316901720572717
