sample_id,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,ACRBP,ACRBP,17964,48,0.0026720106880427524,-0.022345754249124467
mtab_tumors,ATAD2,ATAD2,17964,7431,0.4136606546426186,6.202020761922941e-16
mtab_tumors,BORIS,CTCFL,17964,963,0.053607214428857713,3.480725937813895e-17
mtab_tumors,CEP55,CEP55,17964,4695,0.26135604542418167,6.486807429562259e-17
mtab_tumors,GAGE,GAGE12C,17964,17,0.0009463371186818081,-0.015635132194784584
mtab_tumors,GAGE,GAGE12E,17964,17,0.0009463371186818081,-0.015635132194784584
mtab_tumors,GAGE,GAGE12F,17964,28,0.0015586729013582722,-0.019261404980388072
mtab_tumors,GAGE,GAGE12J,17964,11,0.000612335782676464,-0.01212775181485191
mtab_tumors,GAGE,GAGE13,17964,11,0.000612335782676464,-0.01212775181485191
mtab_tumors,HAGE,DDX43,17964,205,0.01141171231351592,-0.00825138498727311
mtab_tumors,HSPB9,HSPB9,17964,11,0.000612335782676464,-0.01645101459673226
mtab_tumors,IL13RA,IL13RA2,17964,497,0.02766644399910933,-0.002356603295049425
mtab_tumors,LY6K,LY6K,17964,7214,0.40158093965709196,3.164296307103541e-17
mtab_tumors,MAGEA,MAGEA4,17964,418,0.023268759741705634,-0.00036806469808788457
mtab_tumors,NY-ESO-1,CTAG2,17964,11,0.000612335782676464,-0.014763543333449109
mtab_tumors,PAGE-5,PAGE2,17964,3,0.00016700066800267202,-0.010449221549706586
mtab_tumors,SPANX,SPANXB1,17964,23,0.001280338454687152,-0.018645082508187395
mtab_tumors,TEX15,TEX15,17964,698,0.03885548875528835,-0.00039696683449925925
mtab_tumors,TMEFF,TMEFF2,17964,657,0.03657314629258517,-0.0005730798292504433
mtab_tumors,ZNF165,ZNF165,17964,305,0.01697840124693832,-0.006305417244558869
