sample_id,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,ACRBP,ACRBP,17964,48,0.0026720106880427524,-0.022345754249124467
mtab_tumors,ACTL8,ACTL8,17964,0,0.0,0.0
mtab_tumors,ADAM2,ADAM2,17964,0,0.0,0.0
mtab_tumors,ADAM29,ADAM29,17964,0,0.0,0.0
mtab_tumors,AKAP3,AKAP3,17964,0,0.0,0.0
mtab_tumors,AKAP4,AKAP4,17964,0,0.0,0.0
mtab_tumors,ANKRD45,ANKRD45,17964,0,0.0,0.0
mtab_tumors,ARMC3,ARMC3,17964,0,0.0,0.0
mtab_tumors,ARX,ARX,17964,0,0.0,0.0
mtab_tumors,ATAD2,ATAD2,17964,7431,0.4136606546426186,6.202020761922941e-16
mtab_tumors,BAGE,BAGE,17964,0,0.0,0.0
mtab_tumors,BAGE,BAGE2,17964,0,0.0,0.0
mtab_tumors,BAGE,BAGE3,17964,0,0.0,0.0
mtab_tumors,BAGE,BAGE4,17964,0,0.0,0.0
mtab_tumors,BAGE,BAGE5,17964,0,0.0,0.0
mtab_tumors,BRDT,BRDT,17964,0,0.0,0.0
mtab_tumors,KP-OVA52,C15orf60,17964,0,0.0,0.0
mtab_tumors,C21orf99,C21orf99,17964,0,0.0,0.0
mtab_tumors,CABYR,CABYR,17964,0,0.0,0.0
mtab_tumors,CAGE1,CAGE1,17964,0,0.0,0.0
mtab_tumors,CALR3,CALR3,17964,0,0.0,0.0
mtab_tumors,AF15q14,CASC5,17964,0,0.0,0.0
mtab_tumors,CCDC110,CCDC110,17964,0,0.0,0.0
mtab_tumors,CCDC33,CCDC33,17964,0,0.0,0.0
mtab_tumors,CCDC36,CCDC36,17964,0,0.0,0.0
mtab_tumors,CCDC62,CCDC62,17964,0,0.0,0.0
mtab_tumors,CCDC83,CCDC83,17964,0,0.0,0.0
mtab_tumors,CDCA1,CDCA1,17964,0,0.0,0.0
mtab_tumors,CEP290,CEP290,17964,0,0.0,0.0
mtab_tumors,CEP55,CEP55,17964,4695,0.26135604542418167,6.486807429562259e-17
mtab_tumors,COX6B2,COX6B2,17964,0,0.0,0.0
mtab_tumors,CPXCR1,CPXCR1,17964,0,0.0,0.0
mtab_tumors,TPX1,CRISP2,17964,0,0.0,0.0
mtab_tumors,CSAGE,CSAG1,17964,0,0.0,0.0
mtab_tumors,CSAGE,CSAG2,17964,0,0.0,0.0
mtab_tumors,CSAGE,CSAG3B,17964,0,0.0,0.0
mtab_tumors,PAGE-5,CT16.2,17964,0,0.0,0.0
mtab_tumors,CT45,CT45A1,17964,0,0.0,0.0
mtab_tumors,CT45,CT45A2,17964,0,0.0,0.0
mtab_tumors,CT45,CT45A3,17964,0,0.0,0.0
mtab_tumors,CT45,CT45A4,17964,0,0.0,0.0
