group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
8-cell stage cell (Blastomere),DDIT3,12.211315,4.186921,2.704798615897134e-34,6.249707681891917e-30,0.8658536585365854,0.19220445140364611
8-cell stage cell (Blastomere),EIF5,11.293809,2.2732625,1.40800115171757e-29,8.437798285715904e-26,0.9390243902439024,0.6363382172016553
8-cell stage cell (Blastomere),PPP1R15A,11.28652,3.3174324,1.5297403786539865e-29,8.437798285715904e-26,0.8292682926829268,0.2791634045408791
8-cell stage cell (Blastomere),RP9,10.713953,3.103501,8.75417707329814e-27,2.0227401545562684e-23,0.8170731707317073,0.27899563807180405
8-cell stage cell (Blastomere),ODC1,10.278059,2.3399913,8.849201212503075e-25,1.4604974515435432e-21,0.8658536585365854,0.5258360362375574
8-cell stage cell (Blastomere),TAF1D,9.779574,2.3226366,1.37788288331562e-22,1.7687423278828175e-19,0.8780487804878049,0.6559668940834359
8-cell stage cell (Blastomere),CIRBP,9.391339,2.575524,5.924188854186244e-21,5.703512819367806e-18,0.7804878048780488,0.33581254893188683
8-cell stage cell (Blastomere),GARS1,9.098445,2.270458,9.163414134238382e-20,6.829995064055227e-17,0.8414634146341463,0.574320545800246
8-cell stage cell (Blastomere),TRIB3,8.991387,4.137395,2.4412950298430294e-19,1.4844358673566589e-16,0.6341463414634146,0.11508779778548262
8-cell stage cell (Blastomere),ATF3,8.847469,5.5695114,8.95264072157816e-19,4.925231345542499e-16,0.5853658536585366,0.03148417402975059
8-cell stage cell (Blastomere),BRD2,8.7246275,2.245999,2.670579848728085e-18,1.3414438692328506e-15,0.8414634146341463,0.4994407784364165
8-cell stage cell (Blastomere),NOP58,8.680095,2.331413,3.954391971104301e-18,1.7915721742026664e-15,0.7560975609756098,0.3567274354099094
8-cell stage cell (Blastomere),MED10,8.503126,2.093036,1.8455144908135602e-17,7.614724611560378e-15,0.7682926829268293,0.35370763896655855
