cancer_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Breast Cancer,4545,871,0.20028416738342675,CTCF,0.19163916391639163
Normal,12232,3905,0.2811076020801823,CTCF,0.3192446043165468
Recurrent renal cell carcinoma,295,112,0.274705301433236,CTCF,0.37966101694915255
Triple-negative breast cancer,892,479,0.4650616663492555,CTCF,0.5369955156950673
Breast Cancer,4545,768,0.18584117373480943,CTCFL,0.16897689768976898
Normal,12232,185,0.012621270517548413,CTCFL,0.01512426422498365
Recurrent renal cell carcinoma,295,4,0.010329815638925294,CTCFL,0.013559322033898305
Triple-negative breast cancer,892,6,0.003980895847449196,CTCFL,0.006726457399103139
Breast Cancer,4545,1151,0.29891888442760467,DPEP3,0.25324532453245324
Normal,12232,57,0.0038581843987796492,DPEP3,0.004659908436886854
Recurrent renal cell carcinoma,295,0,0.0,DPEP3,0.0
Triple-negative breast cancer,892,0,0.0,DPEP3,0.0
