cancer_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Breast Cancer,598,191,0.26246138775623484,CTCF,0.3193979933110368
Normal,14811,4393,0.269435287850971,CTCF,0.2966038754979407
Pancreatic Ductal Adenocarcinoma,227,77,0.23975052448666914,CTCF,0.3392070484581498
Pediatric ependymoma,2328,706,0.27607022010797727,CTCF,0.30326460481099654
Breast Cancer,598,7,0.009865498860496896,CTCFL,0.011705685618729096
Normal,14811,888,0.06357243557062423,CTCFL,0.0599554385254203
Pancreatic Ductal Adenocarcinoma,227,1,0.0024944087578300665,CTCFL,0.004405286343612335
Pediatric ependymoma,2328,67,0.024739101358096514,CTCFL,0.028780068728522335
Breast Cancer,598,0,0.0,DPEP3,0.0
Normal,14811,1208,0.09491456628784929,DPEP3,0.08156100195800418
Pancreatic Ductal Adenocarcinoma,227,0,0.0,DPEP3,0.0
Pediatric ependymoma,2328,0,0.0,DPEP3,0.0
