predicted_cell_type,n_cells,n_pos,mean_expr,gene,fraction_pos
8-cell stage cell (Blastomere),79,23,0.22979738836066985,CTCF,0.2911392405063291
AXL+SIGLEC6+ dendritic cell,1058,381,0.32429697045037925,CTCF,0.3601134215500945
Cancer-associated fibroblast,99,35,0.27350440855798963,CTCF,0.35353535353535354
Classical monocyte,59,15,0.27537921951563654,CTCF,0.2542372881355932
Columnar epithelial cell,1671,434,0.2344328620020414,CTCF,0.2597247157390784
Endothelial cell,515,169,0.2740796544713586,CTCF,0.32815533980582523
Epithelial cell,1131,548,0.4329238559180741,CTCF,0.484526967285588
Exhausted CD8+ T cell,3862,763,0.21169055987504856,CTCF,0.1975660279647851
Fibroblast,1264,226,0.15531138250726223,CTCF,0.1787974683544304
Granulosa cell,97,23,0.2212845543982965,CTCF,0.23711340206185566
Indistinct epithelial cell,295,112,0.274705301433236,CTCF,0.37966101694915255
Mesenchymal cell,683,108,0.13578711349961492,CTCF,0.1581259150805271
Naive CD8+ T cell,613,194,0.2601717543284973,CTCF,0.3164763458401305
Natural regulatory T cell,577,115,0.1938106190412977,CTCF,0.19930675909878684
Neural progenitor cell,127,46,0.31279150049620763,CTCF,0.36220472440944884
Pelvic epithelial cell,1818,558,0.2385660128951597,CTCF,0.3069306930693069
Proliferating T cell,793,444,0.4889761285451386,CTCF,0.5598991172761665
Proliferative cell,2005,989,0.4176271448647997,CTCF,0.49326683291770573
Stromal cell,1218,184,0.1958975791941845,CTCF,0.1510673234811166
8-cell stage cell (Blastomere),79,1,0.012951046681988721,CTCFL,0.012658227848101266
AXL+SIGLEC6+ dendritic cell,1058,5,0.0034753334156187505,CTCFL,0.004725897920604915
Cancer-associated fibroblast,99,3,0.01959459573754316,CTCFL,0.030303030303030304
Classical monocyte,59,6,0.09056995769609308,CTCFL,0.1016949152542373
Columnar epithelial cell,1671,41,0.021542617224329017,CTCFL,0.024536205864751647
Endothelial cell,515,19,0.03076435685701053,CTCFL,0.036893203883495145
Epithelial cell,1131,10,0.006708956592096767,CTCFL,0.008841732979664015
Exhausted CD8+ T cell,3862,768,0.21870744034818976,CTCFL,0.19886069394096323
Fibroblast,1264,10,0.00576658252119949,CTCFL,0.007911392405063292
Granulosa cell,97,22,0.20527680234219445,CTCFL,0.2268041237113402
Indistinct epithelial cell,295,4,0.010329815638925294,CTCFL,0.013559322033898305
Mesenchymal cell,683,0,0.0,CTCFL,0.0
Naive CD8+ T cell,613,8,0.01051304075334144,CTCFL,0.013050570962479609
Natural regulatory T cell,577,0,0.0,CTCFL,0.0
Neural progenitor cell,127,0,0.0,CTCFL,0.0
Pelvic epithelial cell,1818,9,0.0045537788562236454,CTCFL,0.0049504950495049506
Proliferating T cell,793,3,0.0020316445370843752,CTCFL,0.0037831021437578815
Proliferative cell,2005,54,0.0214396293664356,CTCFL,0.026932668329177057
Stromal cell,1218,0,0.0,CTCFL,0.0
8-cell stage cell (Blastomere),79,0,0.0,DPEP3,0.0
AXL+SIGLEC6+ dendritic cell,1058,1,0.000918868256767393,DPEP3,0.000945179584120983
Cancer-associated fibroblast,99,0,0.0,DPEP3,0.0
Classical monocyte,59,16,0.2855634611499616,DPEP3,0.2711864406779661
Columnar epithelial cell,1671,0,0.0,DPEP3,0.0
Endothelial cell,515,27,0.03960019778262444,DPEP3,0.05242718446601942
Epithelial cell,1131,0,0.0,DPEP3,0.0
Exhausted CD8+ T cell,3862,1151,0.3517830993587424,DPEP3,0.2980321077162092
Fibroblast,1264,13,0.007103483294551777,DPEP3,0.010284810126582278
Granulosa cell,97,0,0.0,DPEP3,0.0
Indistinct epithelial cell,295,0,0.0,DPEP3,0.0
Mesenchymal cell,683,0,0.0,DPEP3,0.0
Naive CD8+ T cell,613,0,0.0,DPEP3,0.0
Natural regulatory T cell,577,0,0.0,DPEP3,0.0
Neural progenitor cell,127,0,0.0,DPEP3,0.0
Pelvic epithelial cell,1818,0,0.0,DPEP3,0.0
Proliferating T cell,793,0,0.0,DPEP3,0.0
Proliferative cell,2005,0,0.0,DPEP3,0.0
Stromal cell,1218,0,0.0,DPEP3,0.0
