predicted_cell_type,n_cells,n_pos,mean_expr,gene,fraction_pos
8-cell stage cell (Blastomere),82,26,0.24423553975620765,CTCF,0.3170731707317073
Alveolar cell Type 1,811,486,0.4526157323114591,CTCF,0.5992601726263872
Alveolar cell Type 2,1809,552,0.23718666607328628,CTCF,0.30514096185737977
Basal-like cell,227,77,0.23975052448666914,CTCF,0.3392070484581498
Cardiosphere-derived cell,515,90,0.16866737818886193,CTCF,0.17475728155339806
Cartilage progenitor cell,351,191,0.47696855955071316,CTCF,0.5441595441595442
Dividing cardiomyocyte,624,271,0.40063014651053425,CTCF,0.4342948717948718
Endothelial cell,756,254,0.2878960058710058,CTCF,0.335978835978836
Hepatic progenitor cell,1204,580,0.43203372989497524,CTCF,0.48172757475083056
Interferon responsive secretory cell,3211,620,0.21139525146521798,CTCF,0.1930862659607599
Interstitial cell,1216,185,0.19676827076284023,CTCF,0.15213815789473684
Interstitial macrophage,708,158,0.21893525951136336,CTCF,0.2231638418079096
Lake et al.Science.In1,1427,601,0.37284295110521176,CTCF,0.42116327960756833
Leydig precursor cell,198,59,0.25142583672450997,CTCF,0.29797979797979796
Luminal epithelial cell,598,191,0.26246138775623484,CTCF,0.3193979933110368
Natural regulatory T cell,1260,226,0.1558044345152218,CTCF,0.17936507936507937
Supratentorial-radial-glia-like cell,2328,706,0.27607022010797727,CTCF,0.30326460481099654
Vascular smooth muscle cell(VSMC),639,94,0.1269741809407555,CTCF,0.14710485133020346
8-cell stage cell (Blastomere),82,1,0.012477227900940354,CTCFL,0.012195121951219513
Alveolar cell Type 1,811,17,0.015905570805045625,CTCFL,0.02096177558569667
Alveolar cell Type 2,1809,9,0.004576434472423763,CTCFL,0.004975124378109453
Basal-like cell,227,1,0.0024944087578300665,CTCFL,0.004405286343612335
Cardiosphere-derived cell,515,0,0.0,CTCFL,0.0
Cartilage progenitor cell,351,2,0.0026942845674776845,CTCFL,0.005698005698005698
Dividing cardiomyocyte,624,15,0.018458517412969836,CTCFL,0.02403846153846154
Endothelial cell,756,19,0.02095720076899527,CTCFL,0.02513227513227513
Hepatic progenitor cell,1204,10,0.006348080729605626,CTCFL,0.008305647840531562
Interferon responsive secretory cell,3211,614,0.21291742008265016,CTCFL,0.19121768919339768
Interstitial cell,1216,0,0.0,CTCFL,0.0
Interstitial macrophage,708,160,0.23490667548501223,CTCFL,0.22598870056497175
Lake et al.Science.In1,1427,6,0.003004235245735214,CTCFL,0.004204625087596356
Leydig precursor cell,198,25,0.11036219598590723,CTCFL,0.12626262626262627
Luminal epithelial cell,598,7,0.009865498860496896,CTCFL,0.011705685618729096
Natural regulatory T cell,1260,10,0.005784889132377901,CTCFL,0.007936507936507936
Supratentorial-radial-glia-like cell,2328,67,0.024739101358096514,CTCFL,0.028780068728522335
Vascular smooth muscle cell(VSMC),639,0,0.0,CTCFL,0.0
8-cell stage cell (Blastomere),82,0,0.0,DPEP3,0.0
Alveolar cell Type 1,811,0,0.0,DPEP3,0.0
Alveolar cell Type 2,1809,0,0.0,DPEP3,0.0
Basal-like cell,227,0,0.0,DPEP3,0.0
Cardiosphere-derived cell,515,0,0.0,DPEP3,0.0
Cartilage progenitor cell,351,0,0.0,DPEP3,0.0
Dividing cardiomyocyte,624,0,0.0,DPEP3,0.0
Endothelial cell,756,26,0.026552891554101357,DPEP3,0.03439153439153439
Hepatic progenitor cell,1204,0,0.0,DPEP3,0.0
Interferon responsive secretory cell,3211,946,0.35312800865898974,DPEP3,0.29461227032077236
Interstitial cell,1216,0,0.0,DPEP3,0.0
Interstitial macrophage,708,222,0.34161109317859556,DPEP3,0.3135593220338983
Lake et al.Science.In1,1427,1,0.0006812632205044862,DPEP3,0.000700770847932726
Leydig precursor cell,198,0,0.0,DPEP3,0.0
Luminal epithelial cell,598,0,0.0,DPEP3,0.0
Natural regulatory T cell,1260,13,0.007126034035169401,DPEP3,0.010317460317460317
Supratentorial-radial-glia-like cell,2328,0,0.0,DPEP3,0.0
Vascular smooth muscle cell(VSMC),639,0,0.0,DPEP3,0.0
