predicted_cell_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Columnar epithelial cell,1701,443,0.23554410753633226,CTCF,0.260435038212816
Cycling cell,351,191,0.47696855955071316,CTCF,0.5441595441595442
Endothelial cell,519,169,0.27196728719219593,CTCF,0.325626204238921
Epithelial cell,1431,657,0.4015317818672426,CTCF,0.4591194968553459
Fibroblast,1260,226,0.1558044345152218,CTCF,0.17936507936507937
Granulocyte,2271,339,0.17436183805084868,CTCF,0.14927344782034346
Granulosa cell,198,59,0.25142583672450997,CTCF,0.29797979797979796
Meiotic prophase fetal germ cell,1730,465,0.264651963141845,CTCF,0.26878612716763006
Myeloid cell,639,94,0.1269741809407555,CTCF,0.14710485133020346
Natural killer cell,1427,601,0.37284295110521176,CTCF,0.42116327960756833
Neutrophil,515,90,0.16866737818886193,CTCF,0.17475728155339806
Pericyte,1216,185,0.19676827076284023,CTCF,0.15213815789473684
Pre-tubular aggregate cell,1809,552,0.23718666607328628,CTCF,0.30514096185737977
Progenitor cell,237,85,0.32277788348409564,CTCF,0.35864978902953587
Proliferative cell,2062,1020,0.4166321609210653,CTCF,0.49466537342386036
Recent bone marrow B-cell emigrant(RBE),598,191,0.26246138775623484,CTCF,0.3193979933110368
Columnar epithelial cell,1701,42,0.021483032948309784,CTCFL,0.024691358024691357
Cycling cell,351,2,0.0026942845674776845,CTCFL,0.005698005698005698
Endothelial cell,519,19,0.03052725198720698,CTCFL,0.036608863198458574
Epithelial cell,1431,11,0.005736771479016491,CTCFL,0.007686932215234102
Fibroblast,1260,10,0.005784889132377901,CTCFL,0.007936507936507936
Granulocyte,2271,393,0.20196066290014614,CTCFL,0.17305151915455746
Granulosa cell,198,25,0.11036219598590723,CTCFL,0.12626262626262627
Meiotic prophase fetal germ cell,1730,382,0.2267989765146957,CTCFL,0.2208092485549133
Myeloid cell,639,0,0.0,CTCFL,0.0
Natural killer cell,1427,6,0.003004235245735214,CTCFL,0.004204625087596356
Neutrophil,515,0,0.0,CTCFL,0.0
Pericyte,1216,0,0.0,CTCFL,0.0
Pre-tubular aggregate cell,1809,9,0.004576434472423763,CTCFL,0.004975124378109453
Progenitor cell,237,0,0.0,CTCFL,0.0
Proliferative cell,2062,57,0.022050204512686186,CTCFL,0.027643064985451018
Recent bone marrow B-cell emigrant(RBE),598,7,0.009865498860496896,CTCFL,0.011705685618729096
Columnar epithelial cell,1701,0,0.0,DPEP3,0.0
Cycling cell,351,0,0.0,DPEP3,0.0
Endothelial cell,519,26,0.038678200414066714,DPEP3,0.05009633911368015
Epithelial cell,1431,0,0.0,DPEP3,0.0
Fibroblast,1260,13,0.007126034035169401,DPEP3,0.010317460317460317
Granulocyte,2271,631,0.35483190967523215,DPEP3,0.277851166886834
Granulosa cell,198,0,0.0,DPEP3,0.0
Meiotic prophase fetal germ cell,1730,537,0.3294401288450923,DPEP3,0.31040462427745663
Myeloid cell,639,0,0.0,DPEP3,0.0
Natural killer cell,1427,1,0.0006812632205044862,DPEP3,0.000700770847932726
Neutrophil,515,0,0.0,DPEP3,0.0
Pericyte,1216,0,0.0,DPEP3,0.0
Pre-tubular aggregate cell,1809,0,0.0,DPEP3,0.0
Progenitor cell,237,0,0.0,DPEP3,0.0
Proliferative cell,2062,0,0.0,DPEP3,0.0
Recent bone marrow B-cell emigrant(RBE),598,0,0.0,DPEP3,0.0
