tissue_class,n_cells,n_pos,mean_expr,gene,fraction_pos
Blood,4096,900,0.21435021203634752,CTCF,0.2197265625
Gonad,2447,693,0.2651333199671412,CTCF,0.28320392317123005
Kidney,8460,3105,0.3216239932434812,CTCF,0.3670212765957447
Ovary,1260,226,0.1558044345152218,CTCF,0.17936507936507937
Uterine cervix,1701,443,0.23554410753633226,CTCF,0.260435038212816
Blood,4096,402,0.11364695499218597,CTCFL,0.09814453125
Gonad,2447,426,0.17574891211973584,CTCFL,0.17409072333469555
Kidney,8460,83,0.00783010110495393,CTCFL,0.009810874704491726
Ovary,1260,10,0.005784889132377901,CTCFL,0.007936507936507936
Uterine cervix,1701,42,0.021483032948309784,CTCFL,0.024691358024691357
Blood,4096,631,0.19673419601378228,DPEP3,0.154052734375
Gonad,2447,563,0.24111377560968952,DPEP3,0.23007764609726195
Kidney,8460,1,0.00011491283873048485,DPEP3,0.00011820330969267139
Ovary,1260,13,0.007126034035169401,DPEP3,0.010317460317460317
Uterine cervix,1701,0,0.0,DPEP3,0.0
