tissue_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Blood,1635,496,0.2782476586687034,CTCF,0.3033639143730887
Breast,6568,1898,0.27630381062493187,CTCF,0.2889768574908648
Embryo,79,23,0.22979738836066985,CTCF,0.2911392405063291
Embryonic Kidney,2005,989,0.4176271448647997,CTCF,0.49326683291770573
Embryonic brain,127,46,0.31279150049620763,CTCF,0.36220472440944884
Fetal gonad,612,192,0.265711803642785,CTCF,0.3137254901960784
Kidney,4595,1080,0.20667419245133864,CTCF,0.235038084874864
Peripheral blood,672,209,0.2615069335636777,CTCF,0.31101190476190477
Uterine cervix,1671,434,0.2344328620020414,CTCF,0.2597247157390784
Blood,1635,5,0.0022488701857643046,CTCFL,0.0030581039755351682
Breast,6568,784,0.13029642564346758,CTCFL,0.11936662606577345
Embryo,79,1,0.012951046681988721,CTCFL,0.012658227848101266
Embryonic Kidney,2005,54,0.0214396293664356,CTCFL,0.026932668329177057
Embryonic brain,127,0,0.0,CTCFL,0.0
Fetal gonad,612,41,0.058424009164302744,CTCFL,0.06699346405228758
Kidney,4595,23,0.004051148178649337,CTCFL,0.00500544069640914
Peripheral blood,672,14,0.01754184744920803,CTCFL,0.020833333333333332
Uterine cervix,1671,41,0.021542617224329017,CTCFL,0.024536205864751647
Blood,1635,1,0.0005945948719632427,DPEP3,0.0006116207951070336
Breast,6568,1151,0.20684931938542375,DPEP3,0.1752436053593179
Embryo,79,0,0.0,DPEP3,0.0
Embryonic Kidney,2005,0,0.0,DPEP3,0.0
Embryonic brain,127,0,0.0,DPEP3,0.0
Fetal gonad,612,27,0.033323695846489525,DPEP3,0.04411764705882353
Kidney,4595,13,0.001954037624442534,DPEP3,0.0028291621327529923
Peripheral blood,672,16,0.025071791975963893,DPEP3,0.023809523809523808
Uterine cervix,1671,0,0.0,DPEP3,0.0
