tissue_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Blood,1260,226,0.1558044345152218,CTCF,0.17936507936507937
Brain,4394,1401,0.2858158546335119,CTCF,0.31884387801547565
Breast,598,191,0.26246138775623484,CTCF,0.3193979933110368
Cartilage,351,191,0.47696855955071316,CTCF,0.5441595441595442
Embryo,82,26,0.24423553975620765,CTCF,0.3170731707317073
Fetal gonad,954,313,0.2803267254821104,CTCF,0.3280922431865828
Fetal kidney,1216,185,0.19676827076284023,CTCF,0.15213815789473684
Heart,515,90,0.16866737818886193,CTCF,0.17475728155339806
Liver,1204,580,0.43203372989497524,CTCF,0.48172757475083056
Lung,3328,1196,0.2858017432587781,CTCF,0.359375
Pancreas,227,77,0.23975052448666914,CTCF,0.3392070484581498
Undefined,3835,891,0.24218601404886267,CTCF,0.23233376792698826
Blood,1260,10,0.005784889132377901,CTCFL,0.007936507936507936
Brain,4394,73,0.014082765511450348,CTCFL,0.016613563950842056
Breast,598,7,0.009865498860496896,CTCFL,0.011705685618729096
Cartilage,351,2,0.0026942845674776845,CTCFL,0.005698005698005698
Embryo,82,1,0.012477227900940354,CTCFL,0.012195121951219513
Fetal gonad,954,44,0.03951295449326002,CTCFL,0.04612159329140461
Fetal kidney,1216,0,0.0,CTCFL,0.0
Heart,515,0,0.0,CTCFL,0.0
Liver,1204,10,0.006348080729605626,CTCFL,0.008305647840531562
Lung,3328,186,0.05633777467755267,CTCFL,0.05588942307692308
Pancreas,227,1,0.0024944087578300665,CTCFL,0.004405286343612335
Undefined,3835,629,0.18127664947876995,CTCFL,0.16401564537157756
Blood,1260,13,0.007126034035169401,DPEP3,0.010317460317460317
Brain,4394,1,0.00022124775049155707,DPEP3,0.0002275830678197542
Breast,598,0,0.0,DPEP3,0.0
Cartilage,351,0,0.0,DPEP3,0.0
Embryo,82,0,0.0,DPEP3,0.0
Fetal gonad,954,26,0.021041914061740698,DPEP3,0.027253668763102725
Fetal kidney,1216,0,0.0,DPEP3,0.0
Heart,515,0,0.0,DPEP3,0.0
Liver,1204,0,0.0,DPEP3,0.0
Lung,3328,222,0.07267447535169641,DPEP3,0.06670673076923077
Pancreas,227,0,0.0,DPEP3,0.0
Undefined,3835,946,0.2956698919958321,DPEP3,0.24667535853976533
