tissue_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Adrenal gland,237,85,0.32277788348409564,CTCF,0.35864978902953587
Blood,949,382,0.34179965677611035,CTCF,0.40252897787144365
Embryonic Kidney,3871,1572,0.3327734938635524,CTCF,0.4060966158615345
Fetal gonad,2447,693,0.2651333199671412,CTCF,0.28320392317123005
Fetal kidney,1427,601,0.37284295110521176,CTCF,0.42116327960756833
Kidney,4422,1158,0.24808672192584377,CTCF,0.2618724559023066
Peripheral blood,2910,433,0.16395609478852924,CTCF,0.14879725085910653
Uterine cervix,1701,443,0.23554410753633226,CTCF,0.260435038212816
Adrenal gland,237,0,0.0,CTCFL,0.0
Blood,949,9,0.0072131319302021196,CTCFL,0.009483667017913594
Embryonic Kidney,3871,66,0.013884342977466674,CTCFL,0.017049857917850686
Fetal gonad,2447,426,0.17574891211973584,CTCFL,0.17409072333469555
Fetal kidney,1427,6,0.003004235245735214,CTCFL,0.004204625087596356
Kidney,4422,21,0.0035048123684461225,CTCFL,0.0047489823609226595
Peripheral blood,2910,393,0.1576125998097017,CTCFL,0.13505154639175257
Uterine cervix,1701,42,0.021483032948309784,CTCFL,0.024691358024691357
Adrenal gland,237,0,0.0,DPEP3,0.0
Blood,949,0,0.0,DPEP3,0.0
Embryonic Kidney,3871,0,0.0,DPEP3,0.0
Fetal gonad,2447,563,0.24111377560968952,DPEP3,0.23007764609726195
Fetal kidney,1427,1,0.0006812632205044862,DPEP3,0.000700770847932726
Kidney,4422,13,0.0020304845961812406,DPEP3,0.002939846223428313
Peripheral blood,2910,631,0.27691521198366054,DPEP3,0.2168384879725086
Uterine cervix,1701,0,0.0,DPEP3,0.0
