gene,fraction_expressing,mean_expression
XAGE2,0.004119349810732576,0.0032376253239505145
XAGE3,0.00038966822533956805,0.0003729694306520701
PAGE2,0.00016700066800267202,0.0001705145623577572
IL13RA2,0.02766644399910933,0.031912043845530855
CTCFL,0.053607214428857713,0.05598028113475666
ZNF165,0.01697840124693832,0.012948266629147382
CCDC62,0.0035070140280561123,0.0029453321843797547
CEP55,0.2614117123135159,0.2740723747419347
TMEFF2,0.03657314629258517,0.040159844109319165
ATAD2,0.4288020485415275,0.5404304634171831
