group,names,scores,logfoldchanges,pvals,pvals_adj
0,TPX2,36.061184,2.9894857,9.212399857148316e-285,1.842479971429663e-281
0,CENPF,35.536526,3.1069229,1.3417743294295016e-276,1.3417743294295016e-273
0,RPS21,31.951218,1.562858,5.196323133002599e-224,3.4642154220017325e-221
0,AKAP12,31.375895,2.1430297,4.315322123885146e-216,2.1576610619425727e-213
0,KRT81,30.426872,3.4648523,2.423681713612988e-203,9.694726854451952e-201
0,UBE2S,29.567465,1.9653496,3.9166943173198835e-192,1.1190555192342525e-189
0,IGF2,27.857752,2.67251,8.677111460125058e-171,1.928246991138902e-168
0,ASPM,27.795652,2.3613467,4.8956435697408786e-170,9.791287139481758e-168
0,PRR11,27.568047,2.1013694,2.6894602671860844e-167,4.889927758520154e-165
0,FOSL1,27.125542,2.389434,4.921788694029071e-162,8.202981156715119e-160
1,TGFBI,48.917904,2.8160834,0.0,0.0
1,COL1A1,47.183376,3.953718,0.0,0.0
1,IGFBP4,47.033188,3.3307471,0.0,0.0
1,TAGLN,46.040768,3.9133723,0.0,0.0
1,VIM,45.370926,1.9350336,0.0,0.0
1,SERPINE1,45.354145,2.7249794,0.0,0.0
1,LGALS1,45.24837,2.4567986,0.0,0.0
1,CCDC80,44.59067,2.8717153,0.0,0.0
1,MT2A,40.165657,2.0192547,0.0,0.0
1,TPM2,39.33552,1.9215164,0.0,0.0
2,DIRAS3,61.76182,5.0538855,0.0,0.0
2,IGFBP4,57.83946,3.3611317,0.0,0.0
2,BNIP3,53.94677,2.419471,0.0,0.0
2,ALDH1A3,53.09605,3.517164,0.0,0.0
2,SH3BGRL3,52.896393,1.974668,0.0,0.0
2,LGALS1,52.436707,2.421179,0.0,0.0
2,TIMP1,52.090385,3.5703094,0.0,0.0
2,SERPINE1,51.13671,2.5493252,0.0,0.0
2,TAGLN,50.69534,3.3712611,0.0,0.0
2,WNT5A,50.180466,2.965416,0.0,0.0
3,AKAP12,67.87566,2.7411816,0.0,0.0
3,KRT81,67.55935,4.922593,0.0,0.0
3,RPS21,65.40721,1.8351855,0.0,0.0
3,IGF2,64.30859,3.7031848,0.0,0.0
3,KRT18,57.189022,1.81178,0.0,0.0
3,ENSG00000223367,53.507683,0.93827534,0.0,0.0
3,KISS1,50.32221,3.9647706,0.0,0.0
3,ACTG1,49.19844,1.4247975,0.0,0.0
3,ENSG00000237550,48.712242,1.6636095,0.0,0.0
3,MFAP5,48.125214,2.896731,0.0,0.0
4,KRT81,36.264114,4.633012,5.954589476042527e-288,1.1909178952085054e-284
4,RPS21,35.62055,1.7675507,6.735435951578166e-278,6.735435951578166e-275
4,KISS1,33.304123,4.072,3.3651594655205356e-243,1.6825797327602678e-240
4,ENSG00000223367,30.392956,1.0169771,6.805909658357314e-203,2.2686365527857714e-200
4,ENSG00000282046,29.044092,3.0216186,1.8272506825033848e-185,5.220716235723957e-183
4,RPS2,28.334152,0.83847505,1.3123281171863624e-176,3.280820292965906e-174
4,HAPLN1,27.493391,5.2350264,2.105990073822375e-166,4.6799779418275e-164
4,DUSP23,26.798744,2.1827803,3.3420149804552707e-158,6.076390873555038e-156
4,ENSG00000237550,26.254765,1.5618808,6.30596885944817e-152,9.701490552997185e-150
4,RPS18,25.958101,0.77446884,1.473018877160593e-148,1.8412735964507412e-146
5,SERPINE1,53.781116,3.1811464,0.0,0.0
5,CXCL8,48.704525,4.148457,0.0,0.0
5,WNT5A,48.298668,3.3161635,0.0,0.0
5,LGALS1,47.774372,2.4594824,0.0,0.0
5,IGFBP7,47.629333,2.7128212,0.0,0.0
5,FGF2,46.974552,3.177826,0.0,0.0
5,MYL6,46.312202,1.5110435,0.0,0.0
5,VIM,45.70543,1.8418185,0.0,0.0
5,TIMP1,45.075645,3.4739928,0.0,0.0
5,IL1B,44.203056,4.281174,0.0,0.0
6,CAMK2N1,50.66041,4.0006385,0.0,0.0
6,MAL2,47.79515,4.7158093,0.0,0.0
6,SLC7A5,46.5494,3.1077814,0.0,0.0
6,CD24,46.040348,3.3866248,0.0,0.0
6,KRT19,45.30683,3.8232641,0.0,0.0
6,S100A2,44.506054,3.6167552,0.0,0.0
6,RARRES2,43.857044,5.0229163,0.0,0.0
6,S100A6,43.431667,1.3553997,0.0,0.0
6,MUC1,43.154034,4.2868543,0.0,0.0
6,KRT7,42.153908,2.0074918,0.0,0.0
7,RPL9,49.920975,3.305125,0.0,0.0
7,DNAJC15,48.341873,3.5587997,0.0,0.0
7,RARRES1,43.429512,2.7756379,0.0,0.0
7,TGFBR1,41.839085,3.4814298,0.0,0.0
7,CNR1,40.178535,2.9001014,0.0,0.0
7,ENSG00000227739,37.946762,2.4780967,0.0,0.0
7,TPM4,35.73097,1.3632485,1.3068148438778025e-279,2.1780247397963373e-277
7,CENPW,35.474552,2.0806367,1.2135585656498122e-275,1.867013177922788e-273
7,ZBTB16,32.03102,2.0148718,4.034851783920416e-225,5.3798023785605544e-223
7,PALLD,31.925968,1.9105227,1.1648036040627383e-223,1.4560045050784228e-221
8,FN1,81.91745,4.2720475,0.0,0.0
8,SPINT2,74.57647,4.1243687,0.0,0.0
8,ENSG00000288411,73.7071,5.061265,0.0,0.0
8,TGM2,70.220894,2.8929453,0.0,0.0
8,PMEPA1,68.37843,3.2683682,0.0,0.0
8,SLPI,68.07519,3.868739,0.0,0.0
8,SAA2,60.88004,4.9567614,0.0,0.0
8,LCN2,60.13946,3.853824,0.0,0.0
8,S100A2,58.034523,2.877341,0.0,0.0
8,CXCL1,57.614147,3.697947,0.0,0.0
9,ISG15,90.40155,5.0185943,0.0,0.0
9,ENSG00000275214,89.06648,4.3636346,0.0,0.0
9,IFI6,89.047104,7.0824127,0.0,0.0
9,SERPINE2,86.51042,5.0736423,0.0,0.0
9,IFITM1,84.39561,5.1585183,0.0,0.0
9,SNCG,81.843254,5.7594404,0.0,0.0
9,BST2,81.73572,4.534732,0.0,0.0
9,IFI27,81.167404,3.9394426,0.0,0.0
9,B2M,80.036545,2.7282307,0.0,0.0
9,MT1M,63.750687,3.6177042,0.0,0.0
