celltype_leiden_res_0.5,PRDM1,KIT
Activated fibroblasts,0.042399769252956444,0.0005768676088837611
Activated myeloid/APC,0.18122977346278318,0.0
Antigen-presenting cells,0.2334696659850034,0.012474437627811861
B cells,0.045599489795918366,0.005420918367346939
Ciliated epithelial cells,0.042488619119878605,0.004046535154274153
Classical fibroblasts / CAFs,0.24298590834073885,0.004633743811095594
Complement-high CAFs,0.010287335934728628,0.0008868393047179851
EMT / developmental signature,0.2085235920852359,0.013089802130898021
EMT hybrid / transitioning tumor cells,0.0006346519991537973,0.0002115506663845991
EMT-like / activated CAFs,0.2136317395727365,0.001017293997965412
Endothelial cells,0.4138518748063217,0.056244189649829565
HGSOC signature (FOLR1+),0.1141552511415525,0.0073059360730593605
Inflammatory CAFs,0.41005034856700234,0.005906274206041828
Inflammatory/secretory phenotype,0.0003700962250185048,0.0
Malignant epithelial cells,0.04024908145249797,0.003745765138140001
Mast cells,0.008746355685131196,0.37755102040816324
Myeloid,0.20601503759398496,0.0019460415745245466
Myofibroblasts (contractile CAFs),0.16738461538461538,0.009230769230769232
Ovarian lineage tumor cells,0.015224656516895656,0.004208441638816686
Plasma cells,0.6463326071169209,0.0014524328249818446
Secretory CAFs / ECM remodeling,0.16270313119302418,0.03636543797066984
Secretory epithelial,0.13439813011297233,0.3272302298402805
Smooth muscle / pericytes,0.23084994753410285,0.002098635886673662
Stress/proliferation tumor cells,0.008887614678899083,0.0
Stressed / senescent-like population,0.026920315865039485,0.40434314429289303
Stressed tumor cells,0.1420486700622524,0.0
T cells,0.1567200388161087,0.008248423095584668
