sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Geistlinger2020,Macrophage,LY6K,4364,184,0.04216315307057745,-0.16507646846119936
Geistlinger2020,Epithelial cell,LY6K,3305,82,0.02481089258698941,-0.2256846350166601
Geistlinger2020,Fibroblast,LY6K,2039,7,0.0034330554193231977,-0.2622633305849523
Geistlinger2020,T cell,LY6K,3325,232,0.06977443609022556,0.036170488944211876
Geistlinger2020,Endothelial cell,LY6K,865,64,0.07398843930635839,-0.0885248493449214
Geistlinger2020,Plasmacytoid dendritic cell,LY6K,145,1,0.006896551724137931,-0.2579390790408964
Geistlinger2020,Innate lymphoid cell,LY6K,1674,15,0.008960573476702509,-0.2333484912225134
Geistlinger2020,Plasma cell,LY6K,1142,197,0.1725043782837128,0.05500995656404225
Geistlinger2020,Perivascular cell,LY6K,845,20,0.023668639053254437,-0.20477884236485036
Geistlinger2020,B cell,LY6K,527,17,0.03225806451612903,-0.14253718534939805
Geistlinger2020,Germinal center cell,LY6K,161,9,0.055900621118012424,-0.150124886315114
Geistlinger2020,Monocyte,LY6K,1393,9,0.006460875807609476,-0.2564775403654355
Geistlinger2020,Blastomere,LY6K,1511,738,0.4884182660489742,1.8173135893517656
Geistlinger2020,Epithelial progenitor cell,LY6K,743,58,0.07806191117092867,-0.10446120250070669
Geistlinger2020,T-cell lineage,LY6K,918,99,0.10784313725490197,0.16216132028682675
Geistlinger2020,Stromal cell,LY6K,3667,18,0.004908644668666485,-0.25918449757002515
Geistlinger2020,Artery cell,LY6K,3097,4,0.0012915724895059735,-0.2658984351691471
Geistlinger2020,Neutrophil,LY6K,1794,6,0.0033444816053511705,-0.2633824359515376
Geistlinger2020,Granulosa cell,LY6K,113,0,0.0,-0.2718974290337416
Geistlinger2020,Interstitial cell,LY6K,374,15,0.040106951871657755,-0.20821691958237068
Geistlinger2020,Pancreatic progenitor cell,LY6K,216,65,0.30092592592592593,0.11392422005326541
Geistlinger2020,Pre-tubular aggregate cell,LY6K,1123,1000,0.8904719501335708,2.6299268225234864
Geistlinger2020,CD4 T cell,LY6K,1795,0,0.0,-0.2718974290337416
Geistlinger2020,Macrophage,PBK,4364,87,0.01993583868010999,-0.025939668138723018
Geistlinger2020,Epithelial cell,PBK,3305,461,0.1394856278366112,0.38616027648009543
Geistlinger2020,Fibroblast,PBK,2039,73,0.0358018636586562,0.04583879085863856
Geistlinger2020,T cell,PBK,3325,29,0.008721804511278195,-0.06924943054839557
Geistlinger2020,Endothelial cell,PBK,865,16,0.018497109826589597,-0.06939511555448132
Geistlinger2020,Plasmacytoid dendritic cell,PBK,145,1,0.006896551724137931,-0.082794864599078
Geistlinger2020,Innate lymphoid cell,PBK,1674,9,0.005376344086021506,-0.1064646749926035
Geistlinger2020,Plasma cell,PBK,1142,20,0.017513134851138354,-0.09308024900331903
Geistlinger2020,Perivascular cell,PBK,845,16,0.01893491124260355,-0.07103553415130869
Geistlinger2020,B cell,PBK,527,6,0.011385199240986717,-0.05791546145391391
Geistlinger2020,Germinal center cell,PBK,161,47,0.2919254658385093,1.6920541256624548
Geistlinger2020,Monocyte,PBK,1393,10,0.007178750897343862,-0.12749558461885382
Geistlinger2020,Blastomere,PBK,1511,98,0.06485771012574454,0.19730508000778293
Geistlinger2020,Epithelial progenitor cell,PBK,743,87,0.11709286675639301,0.5082517522394662
Geistlinger2020,T-cell lineage,PBK,918,8,0.008714596949891068,-0.0881794516469052
Geistlinger2020,Stromal cell,PBK,3667,20,0.00545404963185165,-0.12631195508840254
Geistlinger2020,Artery cell,PBK,3097,6,0.0019373587342589602,-0.1331446299711723
Geistlinger2020,Neutrophil,PBK,1794,4,0.002229654403567447,-0.14121341345694965
Geistlinger2020,Granulosa cell,PBK,113,3,0.02654867256637168,-0.04225151328060067
Geistlinger2020,Interstitial cell,PBK,374,6,0.016042780748663103,-0.10317124456197124
Geistlinger2020,Pancreatic progenitor cell,PBK,216,23,0.10648148148148148,0.06662494201291465
Geistlinger2020,Pre-tubular aggregate cell,PBK,1123,80,0.07123775601068566,-0.002373713856237124
Geistlinger2020,CD4 T cell,PBK,1795,3,0.001671309192200557,-0.13810552022523995
