sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Izar2020,Platelet,GAGE1,1135,0,0.0,-0.03475709231682553
Izar2020,Macrophage,GAGE1,317,0,0.0,-0.03475709231682553
Izar2020,Hepatic stellate cell,GAGE1,533,0,0.0,-0.03475709231682554
Izar2020,Interneuron,GAGE1,1086,0,0.0,-0.03475709231682553
Izar2020,Secretory epithelial cell,GAGE1,878,0,0.0,-0.03475709231682554
Izar2020,Renal progenitor cell,GAGE1,407,0,0.0,-0.03475709231682554
Izar2020,CD4 T cell,GAGE1,150,0,0.0,-0.034757092316825534
Izar2020,Columnar epithelial cell,GAGE1,119,12,0.10084033613445378,0.9043437642520084
Izar2020,Luminal epithelial cell,GAGE1,141,1,0.0070921985815602835,0.011912517927468289
Izar2020,Antigen-presenting cell,GAGE1,120,0,0.0,-0.03475709231682554
Izar2020,Beta cell,GAGE1,149,0,0.0,-0.034757092316825534
Izar2020,T-cell lineage,GAGE1,132,0,0.0,-0.034757092316825534
Izar2020,Monocyte,GAGE1,1199,0,0.0,-0.034757092316825534
Izar2020,Lymphoid progenitor cell,GAGE1,714,0,0.0,-0.034757092316825534
Izar2020,Osteoblast,GAGE1,571,0,0.0,-0.03475709231682553
Izar2020,Mitotic fetal germ cell,GAGE1,217,0,0.0,-0.03475709231682554
Izar2020,Plasmacytoid dendritic cell,GAGE1,21,0,0.0,-0.034757092316825534
Izar2020,Recent thymic T-cell emigrant,GAGE1,78,0,0.0,-0.03475709231682554
Izar2020,Malignant cell,GAGE1,34,0,0.0,-0.03475709231682552
Izar2020,Plasma cell,GAGE1,233,0,0.0,-0.034757092316825534
Izar2020,Epithelial cell,GAGE1,130,0,0.0,-0.03475709231682553
Izar2020,Platelet,GAGE2A,1135,0,0.0,-0.06808892844791771
Izar2020,Macrophage,GAGE2A,317,0,0.0,-0.06808892844791771
Izar2020,Hepatic stellate cell,GAGE2A,533,0,0.0,-0.06808892844791771
Izar2020,Interneuron,GAGE2A,1086,0,0.0,-0.06808892844791771
Izar2020,Secretory epithelial cell,GAGE2A,878,0,0.0,-0.0680889284479177
Izar2020,Renal progenitor cell,GAGE2A,407,5,0.012285012285012284,-0.029169014210042917
Izar2020,CD4 T cell,GAGE2A,150,0,0.0,-0.06808892844791772
Izar2020,Columnar epithelial cell,GAGE2A,119,42,0.35294117647058826,3.1752233983815077
