sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Nath2021,CD8 T cell,ATAD2,839,76,0.09058402860548272,-0.3291418509421005
Nath2021,T cell,ATAD2,374,27,0.07219251336898395,-0.4319928391722674
Nath2021,Meiotic prophase fetal germ cell,ATAD2,1443,606,0.41995841995842,0.7000830033639646
Nath2021,Interneuron,ATAD2,2007,684,0.34080717488789236,0.003063718598010232
Nath2021,Ciliated epithelial cell,ATAD2,312,154,0.4935897435897436,0.21084474734483769
Nath2021,Fibroblast,ATAD2,3588,575,0.16025641025641027,-0.30704362367238663
Nath2021,Blastomere,ATAD2,1350,461,0.3414814814814815,-0.013132854926194794
Nath2021,Natural killer cell,ATAD2,1320,706,0.5348484848484848,0.4605711289790094
Nath2021,Venous cell,ATAD2,1364,522,0.38269794721407624,0.16399677071822186
Nath2021,Theca cell,ATAD2,112,10,0.08928571428571429,-0.4261197045488461
Nath2021,Cardiac progenitor cell,ATAD2,1424,342,0.2401685393258427,-0.21281451645389246
Nath2021,Tubular cell,ATAD2,1751,130,0.07424328954882924,-0.45443356404242313
Nath2021,Epithelial cell,ATAD2,3762,210,0.05582137161084529,-0.47859358574997257
Nath2021,Renal cell,ATAD2,1698,366,0.21554770318021202,-0.19744188409236405
Nath2021,Endothelial cell,ATAD2,58,3,0.05172413793103448,-0.46496703626740044
Nath2021,Syncytiotrophoblast,ATAD2,323,71,0.21981424148606812,-0.126852922955691
Nath2021,Pre-tubular aggregate cell,ATAD2,1105,350,0.3167420814479638,0.18059577320981715
Nath2021,Precursor cell,ATAD2,579,239,0.41278065630397237,0.12406437095191297
Nath2021,Lymphoid progenitor cell,ATAD2,1003,296,0.2951146560319043,0.2230944176845132
Nath2021,Breast cancer stem-like cell,ATAD2,1071,203,0.1895424836601307,-0.2214401490788865
Nath2021,Proliferative cell,ATAD2,465,341,0.7333333333333333,1.1817306657165518
Nath2021,Plasma cell,ATAD2,1989,576,0.2895927601809955,-0.13981144023890546
Nath2021,Trophectoderm cell,ATAD2,1410,464,0.32907801418439714,0.048005576195826065
Nath2021,Epithelial-mesenchymal transition cell,ATAD2,1090,498,0.45688073394495415,0.13349738867586816
Nath2021,Smooth muscle cell,ATAD2,4439,2002,0.4510024780355936,0.30145332899158966
Nath2021,Cycling cell,ATAD2,285,230,0.8070175438596491,1.26097134184969
Nath2021,Corticotroph tumor cell,ATAD2,1602,745,0.46504369538077406,0.3454007769048568
Nath2021,CD8 T cell,CSAG1,839,0,0.0,-0.07324905288560767
Nath2021,T cell,CSAG1,374,0,0.0,-0.07324905288560767
Nath2021,Meiotic prophase fetal germ cell,CSAG1,1443,1,0.000693000693000693,-0.06626828431118936
Nath2021,Interneuron,CSAG1,2007,23,0.0114598903836572,0.020749847838543115
Nath2021,Ciliated epithelial cell,CSAG1,312,1,0.003205128205128205,-0.04096299822892302
Nath2021,Fibroblast,CSAG1,3588,1,0.0002787068004459309,-0.07129915566733823
