sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Olalekan2021,Early hemangioblast,ARMC3,990,71,0.07171717171717172,0.21026947903200466
Olalekan2021,Mesenchymal cell,ARMC3,471,5,0.010615711252653927,-0.11488172280870937
Olalekan2021,Cycling cell,ARMC3,245,6,0.024489795918367346,-0.07595554666607103
Olalekan2021,Neural crest cell,ARMC3,209,13,0.06220095693779904,0.11992301118413619
Olalekan2021,Fibroblast,ARMC3,559,1,0.0017889087656529517,-0.17221433106631012
Olalekan2021,Perivascular cell,ARMC3,178,2,0.011235955056179775,-0.11499712388674035
Olalekan2021,Dendritic cell,ARMC3,678,2,0.0029498525073746312,-0.1639113875275499
Olalekan2021,Cardiomyocyte,ARMC3,514,2,0.0038910505836575876,-0.15841355821217656
Olalekan2021,Stromal cell,ARMC3,290,1,0.0034482758620689655,-0.1579440272204846
Olalekan2021,Endothelial cell,ARMC3,161,2,0.012422360248447204,-0.14104554167561337
Olalekan2021,Epithelial progenitor cell,ARMC3,365,48,0.13150684931506848,0.48777124184771775
Olalekan2021,Plasma cell,ARMC3,303,0,0.0,-0.1766642557756586
Olalekan2021,Lymphocyte,ARMC3,231,0,0.0,-0.17666425577565864
Olalekan2021,CD8 T cell,ARMC3,672,0,0.0,-0.1766642557756586
Olalekan2021,Plasmacytoid dendritic cell,ARMC3,48,0,0.0,-0.1766642557756586
Olalekan2021,Pericyte,ARMC3,265,3,0.011320754716981131,-0.12610303041446316
Olalekan2021,B cell,ARMC3,347,1,0.002881844380403458,-0.15504739784440505
Olalekan2021,Epithelial cell,ARMC3,1556,45,0.02892030848329049,-0.0650226957277264
Olalekan2021,Renal progenitor cell,ARMC3,226,8,0.035398230088495575,-0.0758108381825408
Olalekan2021,Mast cell,ARMC3,29,0,0.0,-0.17666425577565872
Olalekan2021,Theca cell,ARMC3,117,2,0.017094017094017096,-0.0975806047075947
Olalekan2021,Ciliated epithelial cell,ARMC3,13,2,0.15384615384615385,1.001604501845441
Olalekan2021,Luminal epithelial cell,ARMC3,332,11,0.03313253012048193,-0.03464007895779508
Olalekan2021,Epicardial progenitor cell,ARMC3,436,109,0.25,1.0978436969287046
Olalekan2021,Early hemangioblast,CCDC33,990,31,0.031313131313131314,0.09732964846873932
Olalekan2021,Mesenchymal cell,CCDC33,471,4,0.008492569002123142,-0.07255005304192697
Olalekan2021,Cycling cell,CCDC33,245,4,0.0163265306122449,-0.1064308057980917
Olalekan2021,Neural crest cell,CCDC33,209,3,0.014354066985645933,-0.04779714489555092
Olalekan2021,Fibroblast,CCDC33,559,2,0.0035778175313059034,-0.1066271314241903
Olalekan2021,Perivascular cell,CCDC33,178,0,0.0,-0.1365557329456497
Olalekan2021,Dendritic cell,CCDC33,678,2,0.0029498525073746312,-0.11981606037296919
Olalekan2021,Cardiomyocyte,CCDC33,514,5,0.009727626459143969,-0.09694517324565924
Olalekan2021,Stromal cell,CCDC33,290,1,0.0034482758620689655,-0.11625304548383644
Olalekan2021,Endothelial cell,CCDC33,161,0,0.0,-0.13655573294564968
Olalekan2021,Epithelial progenitor cell,CCDC33,365,35,0.0958904109589041,0.35592347047365086
Olalekan2021,Plasma cell,CCDC33,303,1,0.0033003300330033004,-0.1249176244347442
Olalekan2021,Lymphocyte,CCDC33,231,0,0.0,-0.13655573294564968
Olalekan2021,CD8 T cell,CCDC33,672,1,0.001488095238095238,-0.12147157262876629
Olalekan2021,Plasmacytoid dendritic cell,CCDC33,48,0,0.0,-0.13655573294564968
Olalekan2021,Pericyte,CCDC33,265,4,0.01509433962264151,-0.021418086729872627
Olalekan2021,B cell,CCDC33,347,1,0.002881844380403458,-0.11012890503332458
Olalekan2021,Epithelial cell,CCDC33,1556,26,0.016709511568123392,-0.06739851898233923
Olalekan2021,Renal progenitor cell,CCDC33,226,7,0.030973451327433628,-0.01692269885270584
Olalekan2021,Mast cell,CCDC33,29,0,0.0,-0.13655573294564965
Olalekan2021,Theca cell,CCDC33,117,2,0.017094017094017096,-0.030358368450332712
Olalekan2021,Ciliated epithelial cell,CCDC33,13,2,0.15384615384615385,1.42291437981522
Olalekan2021,Luminal epithelial cell,CCDC33,332,66,0.19879518072289157,0.8133125379921726
Olalekan2021,Epicardial progenitor cell,CCDC33,436,29,0.06651376146788991,0.2297185783642386
Olalekan2021,Early hemangioblast,CEP55,990,9,0.00909090909090909,-0.19381944700843537
Olalekan2021,Mesenchymal cell,CEP55,471,9,0.01910828025477707,-0.14792538708555772
Olalekan2021,Cycling cell,CEP55,245,97,0.39591836734693875,1.2990100608329096
Olalekan2021,Neural crest cell,CEP55,209,0,0.0,-0.2308773804783439
Olalekan2021,Fibroblast,CEP55,559,0,0.0,-0.23087738047834394
Olalekan2021,Perivascular cell,CEP55,178,9,0.05056179775280899,-0.054233192112558705
Olalekan2021,Dendritic cell,CEP55,678,30,0.04424778761061947,-0.05361199330188372
Olalekan2021,Cardiomyocyte,CEP55,514,3,0.005836575875486381,-0.21742048515595394
Olalekan2021,Stromal cell,CEP55,290,0,0.0,-0.2308773804783439
Olalekan2021,Endothelial cell,CEP55,161,3,0.018633540372670808,-0.1961858900354848
Olalekan2021,Epithelial progenitor cell,CEP55,365,28,0.07671232876712329,0.028935712940690847
Olalekan2021,Plasma cell,CEP55,303,10,0.033003300330033,-0.1096840731214086
Olalekan2021,Lymphocyte,CEP55,231,48,0.2077922077922078,0.8671179990273905
Olalekan2021,CD8 T cell,CEP55,672,31,0.046130952380952384,-0.0043257892970541304
Olalekan2021,Plasmacytoid dendritic cell,CEP55,48,0,0.0,-0.23087738047834394
Olalekan2021,Pericyte,CEP55,265,3,0.011320754716981131,-0.19584322939259644
Olalekan2021,B cell,CEP55,347,0,0.0,-0.23087738047834394
Olalekan2021,Epithelial cell,CEP55,1556,100,0.06426735218508997,-0.05392232407584023
Olalekan2021,Renal progenitor cell,CEP55,226,149,0.6592920353982301,2.431244448433524
Olalekan2021,Mast cell,CEP55,29,0,0.0,-0.23087738047834386
Olalekan2021,Theca cell,CEP55,117,3,0.02564102564102564,-0.1430817081550335
Olalekan2021,Ciliated epithelial cell,CEP55,13,0,0.0,-0.23087738047834394
Olalekan2021,Luminal epithelial cell,CEP55,332,27,0.08132530120481928,-0.034836125903072473
