sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Olbrecht2021,Theca cell,ARX,509,0,0.0,-0.17332741751757533
Olbrecht2021,Vasculature cell,ARX,319,0,0.0,-0.17332741751757538
Olbrecht2021,Mesenchymal cell,ARX,83,0,0.0,-0.17332741751757536
Olbrecht2021,Epiblast cell,ARX,570,0,0.0,-0.1733274175175754
Olbrecht2021,Interstitial cell,ARX,882,2,0.0022675736961451248,-0.16512710183809304
Olbrecht2021,Pre-tubular aggregate cell,ARX,790,13,0.016455696202531647,-0.12321546044942153
Olbrecht2021,Macrophage,ARX,402,7,0.017412935323383085,-0.10471396651961576
Olbrecht2021,Mast cell,ARX,505,0,0.0,-0.17332741751757533
Olbrecht2021,Microglial cell,ARX,538,0,0.0,-0.17332741751757536
Olbrecht2021,Germinal center cell,ARX,185,0,0.0,-0.1733274175175754
Olbrecht2021,Antigen-presenting cell,ARX,811,4,0.004932182490752158,-0.15251635540603956
Olbrecht2021,Renal progenitor cell,ARX,147,0,0.0,-0.17332741751757536
Olbrecht2021,Lymphocyte,ARX,398,11,0.02763819095477387,-0.031854354289663205
Olbrecht2021,Perivascular cell,ARX,293,1,0.0034129692832764505,-0.15874020492401197
Olbrecht2021,Granulosa cell,ARX,147,0,0.0,-0.17332741751757536
Olbrecht2021,Endothelial cell,ARX,61,0,0.0,-0.17332741751757533
Olbrecht2021,Hematopoietic stem cell,ARX,191,0,0.0,-0.17332741751757544
Olbrecht2021,Fibroblast,ARX,285,0,0.0,-0.17332741751757538
Olbrecht2021,Smooth muscle cell,ARX,695,11,0.015827338129496403,-0.10636803000763341
Olbrecht2021,B cell,ARX,254,7,0.027559055118110236,-0.0956542873752892
Olbrecht2021,Neutrophil,ARX,179,0,0.0,-0.17332741751757538
Olbrecht2021,Hepatic stellate cell,ARX,71,9,0.1267605633802817,0.6219207174108164
Olbrecht2021,Plasmacytoid dendritic cell,ARX,38,0,0.0,-0.1733274175175754
Olbrecht2021,Pericyte,ARX,83,18,0.21686746987951808,0.8576057106258275
Olbrecht2021,Meiotic prophase fetal germ cell,ARX,55,2,0.03636363636363636,0.008498360240987905
Olbrecht2021,Zona fasciculata cell,ARX,1356,345,0.25442477876106195,1.2696588150532417
Olbrecht2021,Secretory epithelial cell,ARX,97,1,0.010309278350515464,-0.12631280610137938
Olbrecht2021,Columnar epithelial cell,ARX,616,0,0.0,-0.17332741751757538
Olbrecht2021,Mesothelial cell,ARX,160,12,0.075,0.006037452721837122
Olbrecht2021,Purkinje cell,ARX,719,0,0.0,-0.1733274175175754
Olbrecht2021,Pancreatic progenitor cell,ARX,716,0,0.0,-0.17332741751757538
Olbrecht2021,Tubular cell,ARX,61,4,0.06557377049180328,-0.11771517406869293
Olbrecht2021,Basal epithelial cell,ARX,41,0,0.0,-0.17332741751757538
Olbrecht2021,Epithelial cell,ARX,456,0,0.0,-0.17332741751757533
Olbrecht2021,Retinal ganglion cell,ARX,950,0,0.0,-0.17332741751757538
Olbrecht2021,Theca cell,CSAG1,509,0,0.0,-0.026744297005109722
Olbrecht2021,Vasculature cell,CSAG1,319,0,0.0,-0.02674429700510972
Olbrecht2021,Mesenchymal cell,CSAG1,83,0,0.0,-0.026744297005109725
Olbrecht2021,Epiblast cell,CSAG1,570,0,0.0,-0.026744297005109722
Olbrecht2021,Interstitial cell,CSAG1,882,0,0.0,-0.026744297005109725
Olbrecht2021,Pre-tubular aggregate cell,CSAG1,790,1,0.0012658227848101266,-0.014052215616495653
Olbrecht2021,Macrophage,CSAG1,402,0,0.0,-0.026744297005109725
Olbrecht2021,Mast cell,CSAG1,505,0,0.0,-0.026744297005109725
Olbrecht2021,Microglial cell,CSAG1,538,0,0.0,-0.026744297005109722
Olbrecht2021,Germinal center cell,CSAG1,185,0,0.0,-0.026744297005109725
Olbrecht2021,Antigen-presenting cell,CSAG1,811,0,0.0,-0.026744297005109722
Olbrecht2021,Renal progenitor cell,CSAG1,147,0,0.0,-0.026744297005109725
Olbrecht2021,Lymphocyte,CSAG1,398,0,0.0,-0.026744297005109722
Olbrecht2021,Perivascular cell,CSAG1,293,5,0.017064846416382253,0.14436055447961915
Olbrecht2021,Granulosa cell,CSAG1,147,0,0.0,-0.026744297005109725
Olbrecht2021,Endothelial cell,CSAG1,61,0,0.0,-0.026744297005109725
Olbrecht2021,Hematopoietic stem cell,CSAG1,191,0,0.0,-0.026744297005109722
Olbrecht2021,Fibroblast,CSAG1,285,0,0.0,-0.026744297005109722
Olbrecht2021,Smooth muscle cell,CSAG1,695,0,0.0,-0.026744297005109725
Olbrecht2021,B cell,CSAG1,254,0,0.0,-0.026744297005109722
Olbrecht2021,Neutrophil,CSAG1,179,0,0.0,-0.026744297005109722
Olbrecht2021,Hepatic stellate cell,CSAG1,71,0,0.0,-0.026744297005109725
Olbrecht2021,Plasmacytoid dendritic cell,CSAG1,38,0,0.0,-0.02674429700510973
Olbrecht2021,Pericyte,CSAG1,83,0,0.0,-0.026744297005109725
Olbrecht2021,Meiotic prophase fetal germ cell,CSAG1,55,0,0.0,-0.026744297005109725
Olbrecht2021,Zona fasciculata cell,CSAG1,1356,0,0.0,-0.026744297005109725
Olbrecht2021,Secretory epithelial cell,CSAG1,97,0,0.0,-0.026744297005109722
Olbrecht2021,Columnar epithelial cell,CSAG1,616,0,0.0,-0.026744297005109725
Olbrecht2021,Mesothelial cell,CSAG1,160,0,0.0,-0.026744297005109725
Olbrecht2021,Purkinje cell,CSAG1,719,0,0.0,-0.02674429700510972
Olbrecht2021,Pancreatic progenitor cell,CSAG1,716,1,0.0013966480446927375,-0.01274046418806348
Olbrecht2021,Tubular cell,CSAG1,61,0,0.0,-0.026744297005109725
Olbrecht2021,Basal epithelial cell,CSAG1,41,0,0.0,-0.02674429700510973
Olbrecht2021,Epithelial cell,CSAG1,456,7,0.015350877192982455,0.09378533477746462
Olbrecht2021,Retinal ganglion cell,CSAG1,950,0,0.0,-0.026744297005109722
Olbrecht2021,Theca cell,CTCFL,509,0,0.0,-0.15916243337130626
Olbrecht2021,Vasculature cell,CTCFL,319,2,0.006269592476489028,-0.1116461163402078
Olbrecht2021,Mesenchymal cell,CTCFL,83,0,0.0,-0.15916243337130626
Olbrecht2021,Epiblast cell,CTCFL,570,1,0.0017543859649122807,-0.14976445999846702
Olbrecht2021,Interstitial cell,CTCFL,882,1,0.0011337868480725624,-0.15327843372861916
Olbrecht2021,Pre-tubular aggregate cell,CTCFL,790,194,0.24556962025316456,1.0641762973742313
Olbrecht2021,Macrophage,CTCFL,402,2,0.004975124378109453,-0.11631187994961252
Olbrecht2021,Mast cell,CTCFL,505,3,0.005940594059405941,-0.14454280184211218
Olbrecht2021,Microglial cell,CTCFL,538,2,0.0037174721189591076,-0.13738201040967452
Olbrecht2021,Germinal center cell,CTCFL,185,1,0.005405405405405406,-0.13928828935860596
Olbrecht2021,Antigen-presenting cell,CTCFL,811,2,0.002466091245376079,-0.1543187316520751
Olbrecht2021,Renal progenitor cell,CTCFL,147,20,0.1360544217687075,0.5570586435832597
Olbrecht2021,Lymphocyte,CTCFL,398,2,0.005025125628140704,-0.1442030408316131
Olbrecht2021,Perivascular cell,CTCFL,293,0,0.0,-0.15916243337130623
Olbrecht2021,Granulosa cell,CTCFL,147,4,0.027210884353741496,-0.06356422443398435
Olbrecht2021,Endothelial cell,CTCFL,61,0,0.0,-0.1591624333713063
Olbrecht2021,Hematopoietic stem cell,CTCFL,191,0,0.0,-0.15916243337130623
Olbrecht2021,Fibroblast,CTCFL,285,4,0.014035087719298246,-0.09764033526836034
Olbrecht2021,Smooth muscle cell,CTCFL,695,0,0.0,-0.15916243337130623
Olbrecht2021,B cell,CTCFL,254,0,0.0,-0.15916243337130626
Olbrecht2021,Neutrophil,CTCFL,179,0,0.0,-0.15916243337130623
