sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Qian2020,Pericyte,ARMC3,519,1,0.0019267822736030828,-0.18160395397982634
Qian2020,Theca cell,ARMC3,453,1,0.002207505518763797,-0.18351796568338818
Qian2020,Endothelial cell,ARMC3,511,2,0.003913894324853229,-0.17520133828125142
Qian2020,Antigen-presenting cell,ARMC3,918,2,0.002178649237472767,-0.1816538015797862
Qian2020,Neutrophil,ARMC3,731,4,0.005471956224350205,-0.16518338478205916
Qian2020,Myofibroblast,ARMC3,551,1,0.0018148820326678765,-0.1816399355703517
Qian2020,Mesenchymal cell,ARMC3,59,0,0.0,-0.1891741151834913
Qian2020,Pre-tubular aggregate cell,ARMC3,939,112,0.11927582534611289,0.12703508112895293
Qian2020,T cell,ARMC3,121,0,0.0,-0.18917411518349128
Qian2020,Mesothelial cell,ARMC3,444,2,0.0045045045045045045,-0.17843131964462652
Qian2020,Microglial cell,ARMC3,1119,4,0.0035746201966041107,-0.173316519052105
Qian2020,Renal progenitor cell,ARMC3,298,14,0.04697986577181208,-0.06027443422598828
Qian2020,Recent thymic T-cell emigrant,ARMC3,87,0,0.0,-0.1891741151834913
Qian2020,Lymphocyte,ARMC3,388,4,0.010309278350515464,-0.14503924209882058
Qian2020,Perivascular cell,ARMC3,305,0,0.0,-0.18917411518349136
Qian2020,Plasmacytoid dendritic cell,ARMC3,43,0,0.0,-0.18917411518349136
Qian2020,B cell,ARMC3,257,2,0.007782101167315175,-0.17214046876255493
Qian2020,Retinal ganglion cell,ARMC3,528,5,0.00946969696969697,-0.1533863099128433
Qian2020,Interstitial cell,ARMC3,763,2,0.002621231979030144,-0.17583559525461484
Qian2020,Hepatic stellate cell,ARMC3,1033,0,0.0,-0.18917411518349125
Qian2020,Luminal epithelial cell,ARMC3,126,10,0.07936507936507936,0.16540349557239004
Qian2020,Meiotic prophase fetal germ cell,ARMC3,130,92,0.7076923076923077,4.182266242913593
Qian2020,CD4 T cell,ARMC3,37,0,0.0,-0.18917411518349136
Qian2020,Trophoblast cell,ARMC3,872,79,0.09059633027522936,0.11593024652146325
Qian2020,Epithelial cell,ARMC3,292,180,0.6164383561643836,3.426273617871242
Qian2020,Blastomere,ARMC3,720,43,0.059722222222222225,-0.015375148848697616
Qian2020,Pancreatic progenitor cell,ARMC3,1020,61,0.059803921568627454,0.04379104094885133
Qian2020,Proliferative cell,ARMC3,170,9,0.052941176470588235,-0.030527865120704257
Qian2020,Neuron,ARMC3,1124,13,0.011565836298932384,-0.1481561223623406
Qian2020,Corticotroph tumor cell,ARMC3,777,35,0.04504504504504504,-0.04215210245383896
Qian2020,Neural stem cell,ARMC3,109,9,0.08256880733944955,0.08725211635618026
Qian2020,Cycling cell,ARMC3,290,1,0.0034482758620689655,-0.1826935031727316
Qian2020,Pericyte,ARX,519,0,0.0,-0.10717465798176361
Qian2020,Theca cell,ARX,453,0,0.0,-0.1071746579817636
Qian2020,Endothelial cell,ARX,511,0,0.0,-0.10717465798176362
Qian2020,Antigen-presenting cell,ARX,918,4,0.004357298474945534,-0.0804244909445445
Qian2020,Neutrophil,ARX,731,6,0.008207934336525308,-0.055810921507802515
Qian2020,Myofibroblast,ARX,551,2,0.003629764065335753,-0.0891408329219731
Qian2020,Mesenchymal cell,ARX,59,0,0.0,-0.10717465798176362
Qian2020,Pre-tubular aggregate cell,ARX,939,10,0.010649627263045794,-0.0376583050322871
Qian2020,T cell,ARX,121,1,0.008264462809917356,-0.05706280448921037
Qian2020,Mesothelial cell,ARX,444,6,0.013513513513513514,-0.05135269882713904
Qian2020,Microglial cell,ARX,1119,0,0.0,-0.10717465798176361
Qian2020,Renal progenitor cell,ARX,298,0,0.0,-0.10717465798176362
Qian2020,Recent thymic T-cell emigrant,ARX,87,0,0.0,-0.10717465798176362
Qian2020,Lymphocyte,ARX,388,3,0.007731958762886598,-0.049842953445897294
Qian2020,Perivascular cell,ARX,305,1,0.003278688524590164,-0.0878676475436696
Qian2020,Plasmacytoid dendritic cell,ARX,43,0,0.0,-0.10717465798176362
Qian2020,B cell,ARX,257,7,0.027237354085603113,0.01835133781665107
Qian2020,Retinal ganglion cell,ARX,528,0,0.0,-0.10717465798176361
Qian2020,Interstitial cell,ARX,763,0,0.0,-0.10717465798176362
Qian2020,Hepatic stellate cell,ARX,1033,146,0.14133591481122942,1.121150804650085
Qian2020,Luminal epithelial cell,ARX,126,1,0.007936507936507936,-0.03600695108209322
Qian2020,Meiotic prophase fetal germ cell,ARX,130,2,0.015384615384615385,0.0023084438526118378
Qian2020,CD4 T cell,ARX,37,5,0.13513513513513514,0.9206551105979509
Qian2020,Trophoblast cell,ARX,872,0,0.0,-0.10717465798176362
Qian2020,Epithelial cell,ARX,292,0,0.0,-0.1071746579817636
Qian2020,Blastomere,ARX,720,0,0.0,-0.10717465798176361
Qian2020,Pancreatic progenitor cell,ARX,1020,0,0.0,-0.10717465798176361
Qian2020,Proliferative cell,ARX,170,0,0.0,-0.10717465798176361
Qian2020,Neuron,ARX,1124,3,0.0026690391459074734,-0.08840152802283248
Qian2020,Corticotroph tumor cell,ARX,777,0,0.0,-0.10717465798176362
Qian2020,Neural stem cell,ARX,109,0,0.0,-0.10717465798176362
Qian2020,Cycling cell,ARX,290,3,0.010344827586206896,-0.054781830575405074
Qian2020,Pericyte,CALR3,519,0,0.0,-0.011308398898272117
Qian2020,Theca cell,CALR3,453,0,0.0,-0.011308398898272119
Qian2020,Endothelial cell,CALR3,511,0,0.0,-0.011308398898272117
Qian2020,Antigen-presenting cell,CALR3,918,0,0.0,-0.011308398898272119
Qian2020,Neutrophil,CALR3,731,0,0.0,-0.011308398898272117
Qian2020,Myofibroblast,CALR3,551,0,0.0,-0.011308398898272117
Qian2020,Mesenchymal cell,CALR3,59,0,0.0,-0.011308398898272114
Qian2020,Pre-tubular aggregate cell,CALR3,939,1,0.0010649627263045794,-0.0006467286119054845
Qian2020,T cell,CALR3,121,0,0.0,-0.011308398898272119
Qian2020,Mesothelial cell,CALR3,444,0,0.0,-0.011308398898272119
Qian2020,Microglial cell,CALR3,1119,0,0.0,-0.011308398898272117
Qian2020,Renal progenitor cell,CALR3,298,0,0.0,-0.011308398898272117
Qian2020,Recent thymic T-cell emigrant,CALR3,87,0,0.0,-0.011308398898272114
Qian2020,Lymphocyte,CALR3,388,0,0.0,-0.011308398898272117
Qian2020,Perivascular cell,CALR3,305,0,0.0,-0.011308398898272119
Qian2020,Plasmacytoid dendritic cell,CALR3,43,0,0.0,-0.011308398898272115
Qian2020,B cell,CALR3,257,0,0.0,-0.011308398898272117
Qian2020,Retinal ganglion cell,CALR3,528,0,0.0,-0.011308398898272119
Qian2020,Interstitial cell,CALR3,763,0,0.0,-0.011308398898272117
Qian2020,Hepatic stellate cell,CALR3,1033,0,0.0,-0.011308398898272119
Qian2020,Luminal epithelial cell,CALR3,126,0,0.0,-0.011308398898272115
Qian2020,Meiotic prophase fetal germ cell,CALR3,130,0,0.0,-0.011308398898272117
Qian2020,CD4 T cell,CALR3,37,0,0.0,-0.011308398898272115
Qian2020,Trophoblast cell,CALR3,872,0,0.0,-0.011308398898272119
Qian2020,Epithelial cell,CALR3,292,0,0.0,-0.011308398898272117
Qian2020,Blastomere,CALR3,720,0,0.0,-0.011308398898272119
Qian2020,Pancreatic progenitor cell,CALR3,1020,1,0.000980392156862745,-0.0014933906640581284
Qian2020,Proliferative cell,CALR3,170,0,0.0,-0.011308398898272117
Qian2020,Neuron,CALR3,1124,0,0.0,-0.011308398898272117
Qian2020,Corticotroph tumor cell,CALR3,777,0,0.0,-0.011308398898272117
Qian2020,Neural stem cell,CALR3,109,0,0.0,-0.011308398898272115
Qian2020,Cycling cell,CALR3,290,1,0.0034482758620689655,0.023213354201377094
Qian2020,Pericyte,CSAG1,519,0,0.0,-0.022411175379000576
Qian2020,Theca cell,CSAG1,453,0,0.0,-0.022411175379000583
Qian2020,Endothelial cell,CSAG1,511,0,0.0,-0.022411175379000576
Qian2020,Antigen-presenting cell,CSAG1,918,0,0.0,-0.022411175379000576
Qian2020,Neutrophil,CSAG1,731,0,0.0,-0.02241117537900058
Qian2020,Myofibroblast,CSAG1,551,0,0.0,-0.02241117537900058
Qian2020,Mesenchymal cell,CSAG1,59,0,0.0,-0.02241117537900058
Qian2020,Pre-tubular aggregate cell,CSAG1,939,1,0.0010649627263045794,-0.011737681049523465
Qian2020,T cell,CSAG1,121,0,0.0,-0.022411175379000576
Qian2020,Mesothelial cell,CSAG1,444,0,0.0,-0.02241117537900058
Qian2020,Microglial cell,CSAG1,1119,0,0.0,-0.022411175379000583
Qian2020,Renal progenitor cell,CSAG1,298,0,0.0,-0.022411175379000583
Qian2020,Recent thymic T-cell emigrant,CSAG1,87,0,0.0,-0.022411175379000583
Qian2020,Lymphocyte,CSAG1,388,0,0.0,-0.022411175379000583
Qian2020,Perivascular cell,CSAG1,305,6,0.019672131147540985,0.17475101167763551
Qian2020,Plasmacytoid dendritic cell,CSAG1,43,0,0.0,-0.02241117537900058
Qian2020,B cell,CSAG1,257,0,0.0,-0.02241117537900058
Qian2020,Retinal ganglion cell,CSAG1,528,0,0.0,-0.02241117537900058
Qian2020,Interstitial cell,CSAG1,763,0,0.0,-0.022411175379000583
Qian2020,Hepatic stellate cell,CSAG1,1033,0,0.0,-0.022411175379000572
Qian2020,Luminal epithelial cell,CSAG1,126,0,0.0,-0.02241117537900058
Qian2020,Meiotic prophase fetal germ cell,CSAG1,130,0,0.0,-0.02241117537900058
Qian2020,CD4 T cell,CSAG1,37,0,0.0,-0.02241117537900058
Qian2020,Trophoblast cell,CSAG1,872,0,0.0,-0.022411175379000583
Qian2020,Epithelial cell,CSAG1,292,0,0.0,-0.02241117537900058
Qian2020,Blastomere,CSAG1,720,0,0.0,-0.02241117537900058
Qian2020,Pancreatic progenitor cell,CSAG1,1020,1,0.000980392156862745,-0.012585282069805474
Qian2020,Proliferative cell,CSAG1,170,0,0.0,-0.02241117537900058
Qian2020,Neuron,CSAG1,1124,1,0.0008896797153024911,-0.013494439457844884
Qian2020,Corticotroph tumor cell,CSAG1,777,0,0.0,-0.02241117537900058
Qian2020,Neural stem cell,CSAG1,109,0,0.0,-0.022411175379000583
Qian2020,Cycling cell,CSAG1,290,0,0.0,-0.02241117537900058
Qian2020,Pericyte,CTCFL,519,0,0.0,-0.0991507200342068
Qian2020,Theca cell,CTCFL,453,0,0.0,-0.09915072003420679
Qian2020,Endothelial cell,CTCFL,511,0,0.0,-0.0991507200342068
Qian2020,Antigen-presenting cell,CTCFL,918,2,0.002178649237472767,-0.08376292969940663
Qian2020,Neutrophil,CTCFL,731,2,0.0027359781121751026,-0.07387290351225877
Qian2020,Myofibroblast,CTCFL,551,1,0.0018148820326678765,-0.08082195284721184
Qian2020,Mesenchymal cell,CTCFL,59,0,0.0,-0.09915072003420682
Qian2020,Pre-tubular aggregate cell,CTCFL,939,138,0.14696485623003194,0.9808088500099302
Qian2020,T cell,CTCFL,121,0,0.0,-0.09915072003420679
Qian2020,Mesothelial cell,CTCFL,444,1,0.0022522522522522522,-0.09006048178572876
Qian2020,Microglial cell,CTCFL,1119,0,0.0,-0.09915072003420679
Qian2020,Renal progenitor cell,CTCFL,298,13,0.0436241610738255,0.2229936776898848
Qian2020,Recent thymic T-cell emigrant,CTCFL,87,1,0.011494252873563218,-0.01677458684862955
Qian2020,Lymphocyte,CTCFL,388,0,0.0,-0.09915072003420679
