sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Regner2021,Ductal cell,ARMC3,1362,9,0.006607929515418502,-0.13072465285639132
Regner2021,Dark zone cell,ARMC3,482,1,0.002074688796680498,-0.12934205613358668
Regner2021,Endothelial cell,ARMC3,4543,1,0.00022011886418666079,-0.1405649932331063
Regner2021,Smooth muscle cell,ARMC3,2676,3,0.0011210762331838565,-0.13465724008116345
Regner2021,Mesenchymal cell,ARMC3,2922,1,0.00034223134839151266,-0.14020849195607088
Regner2021,Myoepithelial cell,ARMC3,5203,6,0.0011531808571977706,-0.13725032907554788
Regner2021,Dendritic cell,ARMC3,2066,1,0.000484027105517909,-0.13944298070806022
Regner2021,Perivascular cell,ARMC3,921,0,0.0,-0.1413638036934852
Regner2021,Ciliated epithelial cell,ARMC3,1277,1108,0.8676585747846516,5.5652035368768695
Regner2021,Malignant cell,ARMC3,4059,115,0.02833210150283321,-0.06383641826950726
Regner2021,Hypoblast cell,ARMC3,1990,2,0.0010050251256281408,-0.13696831318378386
Regner2021,Leukocyte,ARMC3,908,0,0.0,-0.1413638036934852
Regner2021,Plasma cell,ARMC3,345,1,0.002898550724637681,-0.13505713130679872
Regner2021,Germinal center cell,ARMC3,158,0,0.0,-0.1413638036934852
Regner2021,Proliferative cell,ARMC3,854,24,0.02810304449648712,-0.10140700247564323
Regner2021,Macrophage,ARMC3,2941,0,0.0,-0.1413638036934852
Regner2021,Granulosa cell,ARMC3,3043,0,0.0,-0.1413638036934852
Regner2021,Epithelial cell,ARMC3,4073,40,0.009820770930518046,-0.12004086283873736
Regner2021,Epicardium-derived cell,ARMC3,3982,21,0.00527373179306881,-0.12299110088645025
Regner2021,Antigen-presenting cell,ARMC3,367,0,0.0,-0.1413638036934852
Regner2021,Fibroblast,ARMC3,1383,0,0.0,-0.1413638036934852
Regner2021,Cancer cell,ARMC3,1331,14,0.010518407212622089,-0.12168632728388208
Regner2021,Neural stem cell,ARMC3,1410,0,0.0,-0.14136380369348522
Regner2021,Hepatic stellate cell,ARMC3,852,0,0.0,-0.1413638036934852
Regner2021,Secretory epithelial cell,ARMC3,91,0,0.0,-0.1413638036934852
Regner2021,Decidual cell,ARMC3,2473,0,0.0,-0.1413638036934852
Regner2021,Primitive endoderm cell,ARMC3,1946,2,0.0010277492291880781,-0.1399495508394925
Regner2021,T-cell lineage,ARMC3,352,2,0.005681818181818182,-0.12408273268111131
Regner2021,Immature erythroid cell,ARMC3,1091,17,0.015582034830430797,-0.09613510142534995
Regner2021,Columnar epithelial cell,ARMC3,2411,49,0.020323517212774783,-0.10689429041513322
Regner2021,Ductal cell,CTAG2,1362,0,0.0,-0.19346680264540964
Regner2021,Dark zone cell,CTAG2,482,0,0.0,-0.19346680264540964
Regner2021,Endothelial cell,CTAG2,4543,3,0.0006603565925599824,-0.19124898134173599
Regner2021,Smooth muscle cell,CTAG2,2676,1,0.0003736920777279522,-0.19243209822089696
Regner2021,Mesenchymal cell,CTAG2,2922,1,0.00034223134839151266,-0.1922324265960949
Regner2021,Myoepithelial cell,CTAG2,5203,0,0.0,-0.19346680264540964
Regner2021,Dendritic cell,CTAG2,2066,1,0.000484027105517909,-0.19174332748922215
Regner2021,Perivascular cell,CTAG2,921,0,0.0,-0.19346680264540964
Regner2021,Ciliated epithelial cell,CTAG2,1277,0,0.0,-0.19346680264540964
Regner2021,Malignant cell,CTAG2,4059,1,0.0002463661000246366,-0.19256802188881988
Regner2021,Hypoblast cell,CTAG2,1990,10,0.005025125628140704,-0.16976838878074424
Regner2021,Leukocyte,CTAG2,908,0,0.0,-0.19346680264540966
Regner2021,Plasma cell,CTAG2,345,1,0.002898550724637681,-0.18530051182086152
Regner2021,Germinal center cell,CTAG2,158,1,0.006329113924050633,-0.16184316291265974
Regner2021,Proliferative cell,CTAG2,854,0,0.0,-0.19346680264540964
Regner2021,Macrophage,CTAG2,2941,7,0.0023801428085685142,-0.18327635819592392
Regner2021,Granulosa cell,CTAG2,3043,0,0.0,-0.19346680264540966
Regner2021,Epithelial cell,CTAG2,4073,2212,0.5430886324576479,2.4914525622375003
