sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Shih2018,Theca cell,ARMC3,140,0,0.0,-0.1211569645952187
Shih2018,Macrophage,ARMC3,232,0,0.0,-0.12115696459521867
Shih2018,Columnar epithelial cell,ARMC3,162,1,0.006172839506172839,-0.05868068703598895
Shih2018,Leukocyte,ARMC3,356,0,0.0,-0.12115696459521869
Shih2018,Epithelial cell,ARMC3,712,11,0.01544943820224719,-0.05430996565883354
Shih2018,Perivascular cell,ARMC3,212,0,0.0,-0.12115696459521869
Shih2018,CD8 T cell,ARMC3,95,0,0.0,-0.1211569645952187
Shih2018,Endothelial cell,ARMC3,132,0,0.0,-0.12115696459521871
Shih2018,Podocyte,ARMC3,43,0,0.0,-0.12115696459521871
Shih2018,Primitive endoderm cell,ARMC3,167,0,0.0,-0.1211569645952187
Shih2018,Ciliated epithelial cell,ARMC3,151,33,0.2185430463576159,1.5162237943391552
Shih2018,Cardiomyocyte,ARMC3,207,0,0.0,-0.1211569645952187
Shih2018,B cell,ARMC3,112,0,0.0,-0.12115696459521867
Shih2018,Mesenchymal stem cell,ARMC3,70,0,0.0,-0.12115696459521873
Shih2018,Luminal epithelial cell,ARMC3,61,5,0.08196721311475409,0.3158481215583109
Shih2018,Theca cell,CASC5,140,0,0.0,-0.03261983933495592
Shih2018,Macrophage,CASC5,232,1,0.004310344827586207,0.010624211696660262
Shih2018,Columnar epithelial cell,CASC5,162,0,0.0,-0.03261983933495593
Shih2018,Leukocyte,CASC5,356,0,0.0,-0.03261983933495593
Shih2018,Epithelial cell,CASC5,712,4,0.0056179775280898875,0.007563337037466235
Shih2018,Perivascular cell,CASC5,212,0,0.0,-0.03261983933495593
Shih2018,CD8 T cell,CASC5,95,0,0.0,-0.032619839334955915
Shih2018,Endothelial cell,CASC5,132,0,0.0,-0.03261983933495592
Shih2018,Podocyte,CASC5,43,0,0.0,-0.03261983933495593
Shih2018,Primitive endoderm cell,CASC5,167,0,0.0,-0.03261983933495592
Shih2018,Ciliated epithelial cell,CASC5,151,0,0.0,-0.03261983933495592
Shih2018,Cardiomyocyte,CASC5,207,0,0.0,-0.03261983933495592
Shih2018,B cell,CASC5,112,0,0.0,-0.03261983933495593
Shih2018,Mesenchymal stem cell,CASC5,70,0,0.0,-0.03261983933495591
Shih2018,Luminal epithelial cell,CASC5,61,0,0.0,-0.03261983933495593
Shih2018,Theca cell,CEP290,140,2,0.014285714285714285,-0.10919632359335381
Shih2018,Macrophage,CEP290,232,7,0.03017241379310345,-0.05116731996649733
Shih2018,Columnar epithelial cell,CEP290,162,11,0.06790123456790123,0.1153822302887584
Shih2018,Leukocyte,CEP290,356,7,0.019662921348314606,-0.04522407694172416
Shih2018,Epithelial cell,CEP290,712,23,0.032303370786516857,-0.049648165173720386
Shih2018,Perivascular cell,CEP290,212,6,0.02830188679245283,-0.002821526470689817
Shih2018,CD8 T cell,CEP290,95,3,0.031578947368421054,0.04137682521987013
Shih2018,Endothelial cell,CEP290,132,1,0.007575757575757576,-0.13270122695095532
Shih2018,Podocyte,CEP290,43,3,0.06976744186046512,-0.009995282982112993
Shih2018,Primitive endoderm cell,CEP290,167,10,0.059880239520958084,0.0733807463994237
Shih2018,Ciliated epithelial cell,CEP290,151,16,0.10596026490066225,0.4982749184372529
Shih2018,Cardiomyocyte,CEP290,207,7,0.033816425120772944,-0.057825737746452666
Shih2018,B cell,CEP290,112,2,0.017857142857142856,-0.07582652173271306
Shih2018,Mesenchymal stem cell,CEP290,70,3,0.04285714285714286,0.01661681313283986
Shih2018,Luminal epithelial cell,CEP290,61,4,0.06557377049180328,0.06648629460795187
Shih2018,Theca cell,CRISP2,140,0,0.0,-0.0353515445935365
Shih2018,Macrophage,CRISP2,232,0,0.0,-0.0353515445935365
Shih2018,Columnar epithelial cell,CRISP2,162,3,0.018518518518518517,0.1504882988248623
