sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Tang-Huau2018,Monocyte,CTCFL,554,1,0.0018050541516245488,0.006540482153602241
Tang-Huau2018,Interstitial cell,CTCFL,23,0,0.0,-0.011530873213208597
Tang-Huau2018,Innate lymphoid cell,CTCFL,69,0,0.0,-0.011530873213208595
Tang-Huau2018,Neural crest cell,CTCFL,701,0,0.0,-0.0115308732132086
Tang-Huau2018,B cell,CTCFL,1093,0,0.0,-0.011530873213208597
Tang-Huau2018,Antigen-presenting cell,CTCFL,1119,0,0.0,-0.011530873213208599
Tang-Huau2018,Myeloid cell,CTCFL,944,0,0.0,-0.011530873213208597
Tang-Huau2018,Kupffer cell,CTCFL,1849,0,0.0,-0.011530873213208597
Tang-Huau2018,Renal progenitor cell,CTCFL,37,0,0.0,-0.0115308732132086
Tang-Huau2018,Natural killer cell,CTCFL,620,0,0.0,-0.0115308732132086
Tang-Huau2018,Trophectoderm cell,CTCFL,14,0,0.0,-0.011530873213208597
Tang-Huau2018,Stem memory T cell,CTCFL,322,0,0.0,-0.011530873213208599
Tang-Huau2018,Germinal center cell,CTCFL,176,0,0.0,-0.011530873213208599
Tang-Huau2018,Monocyte,GPAT2,554,1,0.0018050541516245488,-0.06194442657930791
Tang-Huau2018,Interstitial cell,GPAT2,23,0,0.0,-0.07518613309959445
Tang-Huau2018,Innate lymphoid cell,GPAT2,69,3,0.043478260869565216,0.13067033633869246
Tang-Huau2018,Neural crest cell,GPAT2,701,2,0.0028530670470756064,-0.04644095155009488
Tang-Huau2018,B cell,GPAT2,1093,7,0.006404391582799634,-0.03893921959275846
Tang-Huau2018,Antigen-presenting cell,GPAT2,1119,6,0.005361930294906166,-0.04309052213450372
Tang-Huau2018,Myeloid cell,GPAT2,944,5,0.005296610169491525,-0.02182179976749912
Tang-Huau2018,Kupffer cell,GPAT2,1849,18,0.009734991887506761,0.022816435604034607
Tang-Huau2018,Renal progenitor cell,GPAT2,37,1,0.02702702702702703,0.1971161948220162
Tang-Huau2018,Natural killer cell,GPAT2,620,5,0.008064516129032258,-0.040765006485760626
Tang-Huau2018,Trophectoderm cell,GPAT2,14,0,0.0,-0.07518613309959445
Tang-Huau2018,Stem memory T cell,GPAT2,322,1,0.003105590062111801,-0.046109665552371074
Tang-Huau2018,Germinal center cell,GPAT2,176,7,0.03977272727272727,0.09403520335223141
Tang-Huau2018,Monocyte,LY6K,554,0,0.0,-0.042492068760742054
Tang-Huau2018,Interstitial cell,LY6K,23,0,0.0,-0.042492068760742054
Tang-Huau2018,Innate lymphoid cell,LY6K,69,0,0.0,-0.042492068760742054
Tang-Huau2018,Neural crest cell,LY6K,701,4,0.005706134094151213,0.014811737623056773
Tang-Huau2018,B cell,LY6K,1093,1,0.0009149130832570906,-0.036679699032909394
Tang-Huau2018,Antigen-presenting cell,LY6K,1119,0,0.0,-0.042492068760742054
Tang-Huau2018,Myeloid cell,LY6K,944,3,0.0031779661016949155,-0.010577369389680387
Tang-Huau2018,Kupffer cell,LY6K,1849,6,0.003244997295835587,-0.009904209154163126
Tang-Huau2018,Renal progenitor cell,LY6K,37,0,0.0,-0.04249206876074203
Tang-Huau2018,Natural killer cell,LY6K,620,1,0.0016129032258064516,-0.026294500907902144
Tang-Huau2018,Trophectoderm cell,LY6K,14,0,0.0,-0.04249206876074206
Tang-Huau2018,Stem memory T cell,LY6K,322,0,0.0,-0.042492068760742054
Tang-Huau2018,Germinal center cell,LY6K,176,0,0.0,-0.042492068760742054
Tang-Huau2018,Monocyte,OTOA,554,3,0.005415162454873646,-0.0955821941919943
Tang-Huau2018,Interstitial cell,OTOA,23,0,0.0,-0.11874256255728838
Tang-Huau2018,Innate lymphoid cell,OTOA,69,1,0.014492753623188406,-0.10402590620862484
Tang-Huau2018,Neural crest cell,OTOA,701,9,0.012838801711840228,-0.0005455611062098963
Tang-Huau2018,B cell,OTOA,1093,3,0.0027447392497712718,-0.11156081932755606
Tang-Huau2018,Antigen-presenting cell,OTOA,1119,4,0.0035746201966041107,-0.10502992796822705
Tang-Huau2018,Myeloid cell,OTOA,944,5,0.005296610169491525,-0.08394440661941956
Tang-Huau2018,Kupffer cell,OTOA,1849,83,0.04488912925905895,0.26658248936469736
Tang-Huau2018,Renal progenitor cell,OTOA,37,1,0.02702702702702703,0.03228998170903652
Tang-Huau2018,Natural killer cell,OTOA,620,3,0.004838709677419355,-0.1035770375830772
Tang-Huau2018,Trophectoderm cell,OTOA,14,0,0.0,-0.11874256255728839
Tang-Huau2018,Stem memory T cell,OTOA,322,1,0.003105590062111801,-0.1062662372260023
Tang-Huau2018,Germinal center cell,OTOA,176,1,0.005681818181818182,-0.11327636416780719
Tang-Huau2018,Monocyte,SPAG17,554,0,0.0,-0.026842234697502652
Tang-Huau2018,Interstitial cell,SPAG17,23,0,0.0,-0.02684223469750266
Tang-Huau2018,Innate lymphoid cell,SPAG17,69,0,0.0,-0.02684223469750265
Tang-Huau2018,Neural crest cell,SPAG17,701,0,0.0,-0.02684223469750265
Tang-Huau2018,B cell,SPAG17,1093,1,0.0009149130832570906,-0.017668545553223145
Tang-Huau2018,Antigen-presenting cell,SPAG17,1119,0,0.0,-0.026842234697502652
Tang-Huau2018,Myeloid cell,SPAG17,944,3,0.0031779661016949155,0.005022730031408909
Tang-Huau2018,Kupffer cell,SPAG17,1849,2,0.001081665765278529,-0.015996542718381496
Tang-Huau2018,Renal progenitor cell,SPAG17,37,0,0.0,-0.026842234697502656
Tang-Huau2018,Natural killer cell,SPAG17,620,0,0.0,-0.026842234697502656
Tang-Huau2018,Trophectoderm cell,SPAG17,14,0,0.0,-0.02684223469750265
Tang-Huau2018,Stem memory T cell,SPAG17,322,0,0.0,-0.026842234697502652
Tang-Huau2018,Germinal center cell,SPAG17,176,0,0.0,-0.026842234697502652
Tang-Huau2018,Monocyte,SPAG8,554,1,0.0018050541516245488,-0.05433815629587438
Tang-Huau2018,Interstitial cell,SPAG8,23,0,0.0,-0.07251959961648176
Tang-Huau2018,Innate lymphoid cell,SPAG8,69,1,0.014492753623188406,0.011762021208817964
Tang-Huau2018,Neural crest cell,SPAG8,701,0,0.0,-0.07251959961648176
Tang-Huau2018,B cell,SPAG8,1093,11,0.010064043915827997,0.007652870601628831
Tang-Huau2018,Antigen-presenting cell,SPAG8,1119,16,0.014298480786416443,0.057241028129333245
Tang-Huau2018,Myeloid cell,SPAG8,944,2,0.00211864406779661,-0.051179515718989224
Tang-Huau2018,Kupffer cell,SPAG8,1849,1,0.0005408328826392645,-0.0670720498059807
Tang-Huau2018,Renal progenitor cell,SPAG8,37,0,0.0,-0.07251959961648172
Tang-Huau2018,Natural killer cell,SPAG8,620,13,0.020967741935483872,0.09980119274134326
Tang-Huau2018,Trophectoderm cell,SPAG8,14,0,0.0,-0.07251959961648177
Tang-Huau2018,Stem memory T cell,SPAG8,322,3,0.009316770186335404,0.021323750690504083
Tang-Huau2018,Germinal center cell,SPAG8,176,5,0.028409090909090908,0.041754609709530294
