sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Zhang2022,Epithelial cell,BRDT,2806,3,0.0010691375623663579,-0.025035312074474243
Zhang2022,Pancreatic progenitor cell,BRDT,3410,0,0.0,-0.028829163271222258
Zhang2022,Macrophage,BRDT,3970,0,0.0,-0.028829163271222258
Zhang2022,Fibroblast,BRDT,1810,2,0.0011049723756906078,-0.0177475840852872
Zhang2022,Plasma cell,BRDT,581,0,0.0,-0.02882916327122225
Zhang2022,T-cell lineage,BRDT,2786,2,0.0007178750897343862,-0.021629716635708094
Zhang2022,Endothelial cell,BRDT,101,0,0.0,-0.028829163271222258
Zhang2022,Mucosa-associated invariant T (MAIT) cell,BRDT,2137,6,0.0028076743097800653,-0.0006714772723325341
Zhang2022,Granulosa cell,BRDT,958,0,0.0,-0.028829163271222254
Zhang2022,Hepatic stellate cell,BRDT,1397,1,0.0007158196134574087,-0.02165033065613906
Zhang2022,Sensory neuron,BRDT,2652,1,0.0003770739064856712,-0.02624472290529963
Zhang2022,Theca cell,BRDT,1124,0,0.0,-0.02882916327122225
Zhang2022,Lung progenitor cell,BRDT,2836,6,0.0021156558533145277,-0.007611612150056056
Zhang2022,Germinal center cell,BRDT,338,2,0.005917159763313609,0.03051302112683231
Zhang2022,Sezary cell,BRDT,2216,0,0.0,-0.02882916327122225
Zhang2022,Lymphocyte,BRDT,3971,1,0.0002518257365902795,-0.026303645980043405
Zhang2022,Cancer stem-like cell,BRDT,4759,18,0.003782307207396512,0.00910294955476682
Zhang2022,Antigen-presenting cell,BRDT,1191,0,0.0,-0.02882916327122225
Zhang2022,B cell,BRDT,2409,0,0.0,-0.028829163271222254
Zhang2022,CD4 T cell,BRDT,367,1,0.0027247956403269754,-0.0015026532895568018
Zhang2022,Neutrophil,BRDT,2218,1,0.0004508566275924256,-0.02430759917596922
Zhang2022,Plasmacytoid dendritic cell,BRDT,303,0,0.0,-0.028829163271222254
Zhang2022,Mast cell,BRDT,627,0,0.0,-0.028829163271222258
Zhang2022,Innate lymphoid cell,BRDT,199,0,0.0,-0.028829163271222254
Zhang2022,Microglial cell,BRDT,212,0,0.0,-0.028829163271222254
Zhang2022,CD8 T cell,BRDT,315,0,0.0,-0.028829163271222258
Zhang2022,Epithelial cell,CTAG2,2806,1,0.0003563791874554526,-0.058219822485918636
Zhang2022,Pancreatic progenitor cell,CTAG2,3410,0,0.0,-0.061805640604451935
Zhang2022,Macrophage,CTAG2,3970,2,0.0005037783375314861,-0.05819971294885637
Zhang2022,Fibroblast,CTAG2,1810,8,0.004419889502762431,-0.019481031780862787
Zhang2022,Plasma cell,CTAG2,581,8,0.013769363166953529,0.04014066670298971
Zhang2022,T-cell lineage,CTAG2,2786,9,0.003230437903804738,-0.029301602282327012
Zhang2022,Endothelial cell,CTAG2,101,2,0.019801980198019802,0.13743803544712124
Zhang2022,Mucosa-associated invariant T (MAIT) cell,CTAG2,2137,1,0.0004679457182966776,-0.05709726173659773
Zhang2022,Granulosa cell,CTAG2,958,4,0.0041753653444676405,-0.024648744953725554
Zhang2022,Hepatic stellate cell,CTAG2,1397,2,0.0014316392269148174,-0.04846477884977695
Zhang2022,Sensory neuron,CTAG2,2652,83,0.03129713423831071,0.2237050051757241
Zhang2022,Theca cell,CTAG2,1124,2,0.0017793594306049821,-0.04739467782672578
Zhang2022,Lung progenitor cell,CTAG2,2836,8,0.0028208744710860366,-0.03342254993984137
Zhang2022,Germinal center cell,CTAG2,338,3,0.008875739644970414,0.02750032661984789
Zhang2022,Sezary cell,CTAG2,2216,4,0.0018050541516245488,-0.04364353656003958
Zhang2022,Lymphocyte,CTAG2,3971,4,0.001007302946361118,-0.05167035413695816
Zhang2022,Cancer stem-like cell,CTAG2,4759,34,0.007144358058415633,0.010033294020633658
Zhang2022,Antigen-presenting cell,CTAG2,1191,3,0.0025188916876574307,-0.04125435700266251
Zhang2022,B cell,CTAG2,2409,7,0.0029057700290577005,-0.03256834733577981
Zhang2022,CD4 T cell,CTAG2,367,4,0.010899182561307902,0.04785981596889359
Zhang2022,Neutrophil,CTAG2,2218,3,0.001352569882777277,-0.048650675558651914
Zhang2022,Plasmacytoid dendritic cell,CTAG2,303,3,0.009900990099009901,0.026805078588652234
Zhang2022,Mast cell,CTAG2,627,1,0.001594896331738437,-0.04575810369758679
Zhang2022,Innate lymphoid cell,CTAG2,199,0,0.0,-0.06180564060445193
Zhang2022,Microglial cell,CTAG2,212,0,0.0,-0.061805640604451935
Zhang2022,CD8 T cell,CTAG2,315,0,0.0,-0.061805640604451935
Zhang2022,Epithelial cell,CTCFL,2806,315,0.11225944404846756,0.5587552898265884
Zhang2022,Pancreatic progenitor cell,CTCFL,3410,234,0.0686217008797654,0.41848918481113745
Zhang2022,Macrophage,CTCFL,3970,1,0.00025188916876574307,-0.09452792764768714
Zhang2022,Fibroblast,CTCFL,1810,10,0.0055248618784530384,-0.04218841239661852
Zhang2022,Plasma cell,CTCFL,581,0,0.0,-0.09707127053699116
Zhang2022,T-cell lineage,CTCFL,2786,0,0.0,-0.09707127053699117
