sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Izar2020,Microglial cell,GAGE1,1588,0,0.0,
Izar2020,Fibroblast,GAGE1,1576,0,0.0,
Izar2020,Squamous cell,GAGE1,1086,0,0.0,
Izar2020,Erythrocyte,GAGE1,106,0,0.0,
Izar2020,CD8+ T cell,GAGE1,72,0,0.0,
Izar2020,Epithelial cell,GAGE1,153,12,0.0784313725490196,9.277993068657443
Izar2020,Luminal progenitor cell,GAGE1,141,1,0.0070921985815602835,6.545657952128599
Izar2020,Zygote,GAGE1,120,0,0.0,
Izar2020,Plasmacytoid dendritic cell,GAGE1,403,0,0.0,
Izar2020,Natural killer (NK) cell,GAGE1,132,0,0.0,
Izar2020,Dendritic cell,GAGE1,760,0,0.0,
Izar2020,Lymphoid progenitor cell,GAGE1,714,0,0.0,
Izar2020,Neutrophil,GAGE1,439,0,0.0,
Izar2020,Macrophage,GAGE1,571,0,0.0,
Izar2020,Mitotic fetal germ cell,GAGE1,217,0,0.0,
Izar2020,CD4+ T cell,GAGE1,156,0,0.0,
Izar2020,Embryonic stem cell,GAGE1,130,0,0.0,
Izar2020,Microglial cell,GAGE2A,1588,0,0.0,
Izar2020,Fibroblast,GAGE2A,1576,4,0.0025380710659898475,3.1804228428007018
Izar2020,Squamous cell,GAGE2A,1086,0,0.0,
Izar2020,Erythrocyte,GAGE2A,106,1,0.009433962264150943,2.778269081372643
Izar2020,CD8+ T cell,GAGE2A,72,0,0.0,
Izar2020,Epithelial cell,GAGE2A,153,42,0.27450980392156865,9.121295997568788
Izar2020,Luminal progenitor cell,GAGE2A,141,2,0.014184397163120567,2.0340876940598753
Izar2020,Zygote,GAGE2A,120,0,0.0,
Izar2020,Plasmacytoid dendritic cell,GAGE2A,403,0,0.0,
Izar2020,Natural killer (NK) cell,GAGE2A,132,0,0.0,
Izar2020,Dendritic cell,GAGE2A,760,0,0.0,
Izar2020,Lymphoid progenitor cell,GAGE2A,714,0,0.0,
Izar2020,Neutrophil,GAGE2A,439,0,0.0,
Izar2020,Macrophage,GAGE2A,571,0,0.0,
Izar2020,Mitotic fetal germ cell,GAGE2A,217,0,0.0,
Izar2020,CD4+ T cell,GAGE2A,156,0,0.0,
Izar2020,Embryonic stem cell,GAGE2A,130,0,0.0,
Izar2020,Microglial cell,IL13RA2,1588,9,0.005667506297229219,2.122848351203965
Izar2020,Fibroblast,IL13RA2,1576,562,0.3565989847715736,2.961488901800992
Izar2020,Squamous cell,IL13RA2,1086,5,0.004604051565377533,2.3293513143640867
Izar2020,Erythrocyte,IL13RA2,106,0,0.0,
Izar2020,CD8+ T cell,IL13RA2,72,0,0.0,
Izar2020,Epithelial cell,IL13RA2,153,22,0.1437908496732026,1.5013823030073616
Izar2020,Luminal progenitor cell,IL13RA2,141,25,0.1773049645390071,1.859468641710225
Izar2020,Zygote,IL13RA2,120,3,0.025,2.028003802630202
Izar2020,Plasmacytoid dendritic cell,IL13RA2,403,0,0.0,
Izar2020,Natural killer (NK) cell,IL13RA2,132,1,0.007575757575757576,2.286765140108537
Izar2020,Dendritic cell,IL13RA2,760,17,0.02236842105263158,1.5536163997986157
Izar2020,Lymphoid progenitor cell,IL13RA2,714,6,0.008403361344537815,1.8293063556304325
Izar2020,Neutrophil,IL13RA2,439,8,0.018223234624145785,1.7811155036145232
Izar2020,Macrophage,IL13RA2,571,21,0.03677758318739054,1.3416639275096858
Izar2020,Mitotic fetal germ cell,IL13RA2,217,124,0.5714285714285714,2.2703767068479745
Izar2020,CD4+ T cell,IL13RA2,156,4,0.02564102564102564,2.1975213791096526
Izar2020,Embryonic stem cell,IL13RA2,130,0,0.0,
Izar2020,Microglial cell,LEMD1,1588,1,0.0006297229219143577,7.927018230666271
Izar2020,Fibroblast,LEMD1,1576,45,0.028553299492385786,4.710427788340307
Izar2020,Squamous cell,LEMD1,1086,0,0.0,
Izar2020,Erythrocyte,LEMD1,106,1,0.009433962264150943,7.237208783306155
Izar2020,CD8+ T cell,LEMD1,72,0,0.0,
Izar2020,Epithelial cell,LEMD1,153,70,0.45751633986928103,6.74392150513774
Izar2020,Luminal progenitor cell,LEMD1,141,12,0.0851063829787234,2.0679898124622684
Izar2020,Zygote,LEMD1,120,1,0.008333333333333333,7.5916762788116845
Izar2020,Plasmacytoid dendritic cell,LEMD1,403,4,0.009925558312655087,4.445980413574425
Izar2020,Natural killer (NK) cell,LEMD1,132,1,0.007575757575757576,7.770306349737502
Izar2020,Dendritic cell,LEMD1,760,7,0.009210526315789473,6.265922210548486
Izar2020,Lymphoid progenitor cell,LEMD1,714,0,0.0,
Izar2020,Neutrophil,LEMD1,439,0,0.0,
Izar2020,Macrophage,LEMD1,571,1,0.0017513134851138354,5.4651380835897525
Izar2020,Mitotic fetal germ cell,LEMD1,217,6,0.027649769585253458,2.388005248926942
Izar2020,CD4+ T cell,LEMD1,156,0,0.0,
Izar2020,Embryonic stem cell,LEMD1,130,54,0.4153846153846154,4.272777350081775
Izar2020,Microglial cell,RQCD1,1588,86,0.05415617128463476,3.742977504986252
Izar2020,Fibroblast,RQCD1,1576,276,0.1751269035532995,2.278679328631067
Izar2020,Squamous cell,RQCD1,1086,44,0.040515653775322284,4.387393396186157
Izar2020,Erythrocyte,RQCD1,106,13,0.12264150943396226,2.4396521360072088
Izar2020,CD8+ T cell,RQCD1,72,7,0.09722222222222222,4.190599723573909
Izar2020,Epithelial cell,RQCD1,153,33,0.21568627450980393,2.0924514081527232
Izar2020,Luminal progenitor cell,RQCD1,141,34,0.24113475177304963,1.2113629838715463
Izar2020,Zygote,RQCD1,120,8,0.06666666666666667,2.773947243483031
Izar2020,Plasmacytoid dendritic cell,RQCD1,403,42,0.10421836228287841,3.261784725404815
Izar2020,Natural killer (NK) cell,RQCD1,132,8,0.06060606060606061,4.153314744490986
Izar2020,Dendritic cell,RQCD1,760,51,0.06710526315789474,3.116284343292177
Izar2020,Lymphoid progenitor cell,RQCD1,714,41,0.05742296918767507,4.1124016723635135
Izar2020,Neutrophil,RQCD1,439,29,0.06605922551252848,3.398775996941864
Izar2020,Macrophage,RQCD1,571,57,0.09982486865148861,2.566082355534678
Izar2020,Mitotic fetal germ cell,RQCD1,217,77,0.3548387096774194,1.4883059640490286
Izar2020,CD4+ T cell,RQCD1,156,4,0.02564102564102564,2.6351791352764105
Izar2020,Embryonic stem cell,RQCD1,130,44,0.3384615384615385,1.1545555352710544
Izar2020,Microglial cell,SPAG4,1588,31,0.01952141057934509,3.8972210596919696
Izar2020,Fibroblast,SPAG4,1576,195,0.12373096446700507,2.6456015674517412
Izar2020,Squamous cell,SPAG4,1086,13,0.011970534069981584,4.487609508965334
Izar2020,Erythrocyte,SPAG4,106,2,0.018867924528301886,3.1518833757218427
Izar2020,CD8+ T cell,SPAG4,72,0,0.0,
Izar2020,Epithelial cell,SPAG4,153,26,0.16993464052287582,2.028096359820404
Izar2020,Luminal progenitor cell,SPAG4,141,34,0.24113475177304963,1.6890977113093844
Izar2020,Zygote,SPAG4,120,1,0.008333333333333333,3.430116251335067
Izar2020,Plasmacytoid dendritic cell,SPAG4,403,164,0.40694789081885857,4.563538939049104
Izar2020,Natural killer (NK) cell,SPAG4,132,0,0.0,
Izar2020,Dendritic cell,SPAG4,760,3,0.003947368421052632,2.695751816044019
Izar2020,Lymphoid progenitor cell,SPAG4,714,12,0.01680672268907563,3.997950509251226
Izar2020,Neutrophil,SPAG4,439,2,0.004555808656036446,3.787787925894449
