sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Nath2021,T cell,ATAD2,839,76,0.09058402860548272,1.9731311866425028
Nath2021,Microglial cell,ATAD2,374,27,0.07219251336898395,1.1933949600789322
Nath2021,Meiotic prophase fetal germ cell,ATAD2,1802,700,0.38845726970033295,2.4922002577381743
Nath2021,Erythroid progenitor,ATAD2,2007,684,0.34080717488789236,1.038454086065333
Nath2021,Mitotic arrest phase fetal germ cell,ATAD2,1178,235,0.199490662139219,1.1307336797721776
Nath2021,Fibroblast,ATAD2,3588,575,0.16025641025641027,1.0033775007161774
Nath2021,Gonadal mitotic phase fetal germ cell,ATAD2,1350,461,0.3414814814814815,0.96700094793248
Nath2021,Oocyte,ATAD2,1320,706,0.5348484848484848,1.2804383758634177
Nath2021,Natural killer (NK) cell,ATAD2,1476,532,0.3604336043360434,1.2291638159989435
Nath2021,Mesenchymal cell,ATAD2,1424,342,0.2401685393258427,0.7023444039120533
Nath2021,CD4+ T cell,ATAD2,1751,130,0.07424328954882924,0.842745150206921
Nath2021,Trophectoderm cell,ATAD2,5172,674,0.13031709203402939,1.1084070033568243
Nath2021,Epithelial cell,ATAD2,2021,437,0.21622958931222167,1.1384283648409141
Nath2021,Endothelial cell,ATAD2,58,3,0.05172413793103448,1.2491427911364592
Nath2021,Platelet,ATAD2,579,239,0.41278065630397237,1.0619443872646341
Nath2021,Lymphoid progenitor cell,ATAD2,1003,296,0.2951146560319043,2.088307314713978
Nath2021,Squamous cell,ATAD2,2659,1039,0.39074840165475744,1.1890460862210963
Nath2021,Hemangioblast,ATAD2,746,256,0.34316353887399464,1.3078232004981836
Nath2021,Granulocyte-monocyte progenitor,ATAD2,1090,498,0.45688073394495415,0.8999670858215325
Nath2021,Basal epithelial cell,ATAD2,4724,2232,0.4724809483488569,1.373881578508283
Nath2021,Retinoid acid signaling-responsive fetal germ cell,ATAD2,1602,745,0.46504369538077406,1.3639457745809442
Nath2021,T cell,CSAG1,839,0,0.0,
Nath2021,Microglial cell,CSAG1,374,0,0.0,
Nath2021,Meiotic prophase fetal germ cell,CSAG1,1802,1,0.0005549389567147614,10.0
Nath2021,Erythroid progenitor,CSAG1,2007,23,0.0114598903836572,8.129176762478332
Nath2021,Mitotic arrest phase fetal germ cell,CSAG1,1178,1,0.0008488964346349745,10.0
Nath2021,Fibroblast,CSAG1,3588,1,0.0002787068004459309,6.922982166265126
Nath2021,Gonadal mitotic phase fetal germ cell,CSAG1,1350,0,0.0,
Nath2021,Oocyte,CSAG1,1320,1,0.0007575757575757576,2.5028244613661936
Nath2021,Natural killer (NK) cell,CSAG1,1476,1,0.0006775067750677507,3.6604590282850324
Nath2021,Mesenchymal cell,CSAG1,1424,0,0.0,
Nath2021,CD4+ T cell,CSAG1,1751,0,0.0,
Nath2021,Trophectoderm cell,CSAG1,5172,3,0.000580046403712297,6.1612123439892725
Nath2021,Epithelial cell,CSAG1,2021,0,0.0,
Nath2021,Endothelial cell,CSAG1,58,0,0.0,
Nath2021,Platelet,CSAG1,579,0,0.0,
Nath2021,Lymphoid progenitor cell,CSAG1,1003,0,0.0,
Nath2021,Squamous cell,CSAG1,2659,7,0.0026325686348251222,6.715910327190691
Nath2021,Hemangioblast,CSAG1,746,0,0.0,
Nath2021,Granulocyte-monocyte progenitor,CSAG1,1090,221,0.20275229357798166,7.770272045687564
Nath2021,Basal epithelial cell,CSAG1,4724,2,0.0004233700254022015,9.219194301320277
Nath2021,Retinoid acid signaling-responsive fetal germ cell,CSAG1,1602,7,0.004369538077403246,7.3743022230575885
Nath2021,T cell,CTAG2,839,0,0.0,
Nath2021,Microglial cell,CTAG2,374,0,0.0,
Nath2021,Meiotic prophase fetal germ cell,CTAG2,1802,0,0.0,
Nath2021,Erythroid progenitor,CTAG2,2007,0,0.0,
Nath2021,Mitotic arrest phase fetal germ cell,CTAG2,1178,0,0.0,
