sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Olalekan2021,Natural killer (NK) cell,ARMC3,990,71,0.07171717171717172,5.218608947880491
Olalekan2021,Fibroblast,ARMC3,2216,14,0.00631768953068592,4.755358434529303
Olalekan2021,Endothelial cell,ARMC3,233,4,0.017167381974248927,3.433300148096376
Olalekan2021,Gonadal mitotic phase fetal germ cell,ARMC3,209,13,0.06220095693779904,4.591546420731813
Olalekan2021,Basal epithelial cell,ARMC3,178,2,0.011235955056179775,5.311710482338066
Olalekan2021,Dendritic cell,ARMC3,678,2,0.0029498525073746312,4.1465580803331825
Olalekan2021,Epithelial cell,ARMC3,986,59,0.059837728194726165,4.705460310150174
Olalekan2021,Plasmacytoid dendritic cell,ARMC3,351,0,0.0,
Olalekan2021,T cell,ARMC3,932,0,0.0,
Olalekan2021,B cell,ARMC3,347,1,0.002881844380403458,7.324385446369329
Olalekan2021,Retinoid acid signaling-responsive fetal germ cell,ARMC3,226,8,0.035398230088495575,2.6724447912299203
Olalekan2021,Luminal epithelial cell,ARMC3,1371,143,0.10430342815463166,4.605666807557162
Olalekan2021,Meiotic prophase fetal germ cell,ARMC3,173,4,0.023121387283236993,3.8154330158413687
Olalekan2021,Oogenesis phase fetal germ cell,ARMC3,13,2,0.15384615384615385,7.482082668761489
Olalekan2021,Luminal progenitor cell,ARMC3,332,11,0.03313253012048193,4.109883626363496
Olalekan2021,Natural killer (NK) cell,CCDC33,990,31,0.031313131313131314,7.332687092868711
Olalekan2021,Fibroblast,CCDC33,2216,18,0.008122743682310469,6.311274179721192
Olalekan2021,Endothelial cell,CCDC33,233,0,0.0,
Olalekan2021,Gonadal mitotic phase fetal germ cell,CCDC33,209,3,0.014354066985645933,6.046959234544565
Olalekan2021,Basal epithelial cell,CCDC33,178,0,0.0,
Olalekan2021,Dendritic cell,CCDC33,678,2,0.0029498525073746312,5.538193269193046
Olalekan2021,Epithelial cell,CCDC33,986,48,0.0486815415821501,4.740959402367381
Olalekan2021,Plasmacytoid dendritic cell,CCDC33,351,1,0.002849002849002849,3.389791145858714
Olalekan2021,T cell,CCDC33,932,1,0.001072961373390558,10.0
Olalekan2021,B cell,CCDC33,347,1,0.002881844380403458,9.03355355263117
Olalekan2021,Retinoid acid signaling-responsive fetal germ cell,CCDC33,226,7,0.030973451327433628,3.725882224912251
Olalekan2021,Luminal epithelial cell,CCDC33,1371,42,0.030634573304157548,4.933406348269627
Olalekan2021,Meiotic prophase fetal germ cell,CCDC33,173,4,0.023121387283236993,1.7085960548422778
Olalekan2021,Oogenesis phase fetal germ cell,CCDC33,13,2,0.15384615384615385,10.0
Olalekan2021,Luminal progenitor cell,CCDC33,332,66,0.19879518072289157,4.641569508741577
Olalekan2021,Natural killer (NK) cell,CEP55,990,9,0.00909090909090909,3.8454953012115993
Olalekan2021,Fibroblast,CEP55,2216,18,0.008122743682310469,3.4104213297028325
Olalekan2021,Endothelial cell,CEP55,233,43,0.18454935622317598,3.9732564808756154
Olalekan2021,Gonadal mitotic phase fetal germ cell,CEP55,209,0,0.0,
Olalekan2021,Basal epithelial cell,CEP55,178,9,0.05056179775280899,3.2627521227560745
Olalekan2021,Dendritic cell,CEP55,678,30,0.04424778761061947,3.775320369709656
Olalekan2021,Epithelial cell,CEP55,986,102,0.10344827586206896,2.937153416613099
Olalekan2021,Plasmacytoid dendritic cell,CEP55,351,10,0.02849002849002849,3.441279832436796
Olalekan2021,T cell,CEP55,932,79,0.08476394849785408,4.906839099770408
Olalekan2021,B cell,CEP55,347,0,0.0,
Olalekan2021,Retinoid acid signaling-responsive fetal germ cell,CEP55,226,149,0.6592920353982301,3.8069718365289185
Olalekan2021,Luminal epithelial cell,CEP55,1371,33,0.024070021881838075,1.7515463000224558
Olalekan2021,Meiotic prophase fetal germ cell,CEP55,173,57,0.32947976878612717,3.2714032694223074
Olalekan2021,Oogenesis phase fetal germ cell,CEP55,13,0,0.0,
Olalekan2021,Luminal progenitor cell,CEP55,332,27,0.08132530120481928,2.179703972076846
Olalekan2021,Natural killer (NK) cell,CTCFL,990,0,0.0,
Olalekan2021,Fibroblast,CTCFL,2216,13,0.0058664259927797835,6.347045275837625
Olalekan2021,Endothelial cell,CTCFL,233,2,0.008583690987124463,5.963138042739741
Olalekan2021,Gonadal mitotic phase fetal germ cell,CTCFL,209,0,0.0,
Olalekan2021,Basal epithelial cell,CTCFL,178,0,0.0,
Olalekan2021,Dendritic cell,CTCFL,678,2,0.0029498525073746312,4.695096999366882
Olalekan2021,Epithelial cell,CTCFL,986,42,0.04259634888438134,5.1297765817325445
Olalekan2021,Plasmacytoid dendritic cell,CTCFL,351,1,0.002849002849002849,6.981621208668767
Olalekan2021,T cell,CTCFL,932,1,0.001072961373390558,6.475040428147682
Olalekan2021,B cell,CTCFL,347,2,0.005763688760806916,7.345650127497702
Olalekan2021,Retinoid acid signaling-responsive fetal germ cell,CTCFL,226,1,0.004424778761061947,2.4305418608520415
Olalekan2021,Luminal epithelial cell,CTCFL,1371,120,0.087527352297593,4.478856443152472
Olalekan2021,Meiotic prophase fetal germ cell,CTCFL,173,28,0.16184971098265896,4.4785421401137695
Olalekan2021,Oogenesis phase fetal germ cell,CTCFL,13,0,0.0,
Olalekan2021,Luminal progenitor cell,CTCFL,332,105,0.31626506024096385,4.4068188640398605
Olalekan2021,Natural killer (NK) cell,DDX43,990,5,0.005050505050505051,9.234996660259416
Olalekan2021,Fibroblast,DDX43,2216,12,0.005415162454873646,8.364445932572663
Olalekan2021,Endothelial cell,DDX43,233,5,0.02145922746781116,7.846074865725629
Olalekan2021,Gonadal mitotic phase fetal germ cell,DDX43,209,2,0.009569377990430622,9.862639582071612
Olalekan2021,Basal epithelial cell,DDX43,178,4,0.02247191011235955,7.76036961287072
Olalekan2021,Dendritic cell,DDX43,678,6,0.008849557522123894,10.0
Olalekan2021,Epithelial cell,DDX43,986,3,0.0030425963488843813,5.934616615818249
Olalekan2021,Plasmacytoid dendritic cell,DDX43,351,2,0.005698005698005698,9.803892224986274
Olalekan2021,T cell,DDX43,932,6,0.006437768240343348,10.0
Olalekan2021,B cell,DDX43,347,3,0.008645533141210375,10.0
Olalekan2021,Retinoid acid signaling-responsive fetal germ cell,DDX43,226,0,0.0,
Olalekan2021,Luminal epithelial cell,DDX43,1371,6,0.00437636761487965,5.396144390795096
Olalekan2021,Meiotic prophase fetal germ cell,DDX43,173,3,0.017341040462427744,9.178646394598005
Olalekan2021,Oogenesis phase fetal germ cell,DDX43,13,0,0.0,
Olalekan2021,Luminal progenitor cell,DDX43,332,0,0.0,
Olalekan2021,Natural killer (NK) cell,ELOVL4,990,25,0.025252525252525252,7.9763120128023095
