sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
Olbrecht2021,Mesenchymal cell,ARX,1523,0,0.0,
Olbrecht2021,Hemangioblast,ARX,215,0,0.0,
Olbrecht2021,Hematopoietic stem cell,ARX,294,0,0.0,
Olbrecht2021,Fibroblast,ARX,1155,1,0.0008658008658008658,4.089951558387228
Olbrecht2021,Basal epithelial cell,ARX,1285,13,0.010116731517509728,3.9636131257687595
Olbrecht2021,Oocyte,ARX,849,13,0.015312131919905771,2.8719376658548517
Olbrecht2021,Mesodermal embryonic stem cell,ARX,104,0,0.0,
Olbrecht2021,Monocyte,ARX,402,7,0.017412935323383085,3.7670450540795337
Olbrecht2021,Luminal progenitor cell,ARX,1077,16,0.014856081708449397,1.8323429630254142
Olbrecht2021,Macrophage,ARX,538,0,0.0,
Olbrecht2021,Microglial cell,ARX,739,3,0.0040595399188092015,4.155168799896073
Olbrecht2021,Dendritic cell,ARX,436,1,0.0022935779816513763,3.718955302697025
Olbrecht2021,T cell,ARX,398,11,0.02763819095477387,4.945425233819611
Olbrecht2021,Granulocyte-monocyte progenitor,ARX,88,0,0.0,
Olbrecht2021,Mesenchymal stem cell,ARX,97,0,0.0,
Olbrecht2021,Endothelial cell,ARX,252,0,0.0,
Olbrecht2021,Mitotic fetal germ cell,ARX,50,0,0.0,
Olbrecht2021,Plasma cell,ARX,254,7,0.027559055118110236,2.6450975905025227
Olbrecht2021,Oogenesis phase fetal germ cell,ARX,10,0,0.0,
Olbrecht2021,Epithelial-mesenchymal cell,ARX,112,9,0.08035714285714286,6.100296758028628
Olbrecht2021,Plasmacytoid dendritic cell,ARX,38,0,0.0,
Olbrecht2021,CD4+ T cell,ARX,1536,364,0.23697916666666666,5.449796753661825
Olbrecht2021,Meiotic prophase fetal germ cell,ARX,55,2,0.03636363636363636,4.826881470842914
Olbrecht2021,Trophectoderm cell,ARX,616,0,0.0,
Olbrecht2021,Luminal epithelial cell,ARX,1435,0,0.0,
Olbrecht2021,Epithelial cell,ARX,105,0,0.0,
Olbrecht2021,Mesenchymal cell,CSAG1,1523,0,0.0,
Olbrecht2021,Hemangioblast,CSAG1,215,0,0.0,
Olbrecht2021,Hematopoietic stem cell,CSAG1,294,0,0.0,
Olbrecht2021,Fibroblast,CSAG1,1155,0,0.0,
Olbrecht2021,Basal epithelial cell,CSAG1,1285,5,0.0038910505836575876,10.0
Olbrecht2021,Oocyte,CSAG1,849,1,0.001177856301531213,10.0
Olbrecht2021,Mesodermal embryonic stem cell,CSAG1,104,0,0.0,
Olbrecht2021,Monocyte,CSAG1,402,0,0.0,
Olbrecht2021,Luminal progenitor cell,CSAG1,1077,7,0.0064995357474466105,7.824900287688304
Olbrecht2021,Macrophage,CSAG1,538,0,0.0,
Olbrecht2021,Microglial cell,CSAG1,739,0,0.0,
Olbrecht2021,Dendritic cell,CSAG1,436,0,0.0,
Olbrecht2021,T cell,CSAG1,398,0,0.0,
Olbrecht2021,Granulocyte-monocyte progenitor,CSAG1,88,0,0.0,
Olbrecht2021,Mesenchymal stem cell,CSAG1,97,0,0.0,
Olbrecht2021,Endothelial cell,CSAG1,252,0,0.0,
Olbrecht2021,Mitotic fetal germ cell,CSAG1,50,0,0.0,
Olbrecht2021,Plasma cell,CSAG1,254,0,0.0,
Olbrecht2021,Oogenesis phase fetal germ cell,CSAG1,10,0,0.0,
